SoftwareID;SeedObjectCount;CallGraphTime_ms;CryptoAnalysisTime_ms;CallGraphReachableMethods;CallGraphReachableMethods_ActiveBodies;DataflowVisitedMethod;Timeouts;BoomerangQueries;Timeouts_BoomerangQueries;ConstraintError_sum;ConstraintError_AlgorithmParameters;ConstraintError_Cipher;ConstraintError_DHGenParameterSpec;ConstraintError_DHParameterSpec;ConstraintError_DSAGenParameterSpec;ConstraintError_DSAParameterSpec;ConstraintError_GCMParameterSpec;ConstraintError_HMACParameterSpec;ConstraintError_IvParameterSpec;ConstraintError_KeyGenerator;ConstraintError_KeyPair;ConstraintError_KeyPairGenerator;ConstraintError_KeyStore;ConstraintError_Mac;ConstraintError_MessageDigest;ConstraintError_PBEKeySpec;ConstraintError_PBEParameterSpec;ConstraintError_RSAKeyGenParameterSpec;ConstraintError_SecretKey;ConstraintError_SecretKeyFactory;ConstraintError_SecretKeySpec;ConstraintError_SecureRandom;ConstraintError_Signature;TypestateError_sum;TypestateError_AlgorithmParameters;TypestateError_Cipher;TypestateError_DHGenParameterSpec;TypestateError_DHParameterSpec;TypestateError_DSAGenParameterSpec;TypestateError_DSAParameterSpec;TypestateError_GCMParameterSpec;TypestateError_HMACParameterSpec;TypestateError_IvParameterSpec;TypestateError_KeyGenerator;TypestateError_KeyPair;TypestateError_KeyPairGenerator;TypestateError_KeyStore;TypestateError_Mac;TypestateError_MessageDigest;TypestateError_PBEKeySpec;TypestateError_PBEParameterSpec;TypestateError_RSAKeyGenParameterSpec;TypestateError_SecretKey;TypestateError_SecretKeyFactory;TypestateError_SecretKeySpec;TypestateError_SecureRandom;TypestateError_Signature;RequiredPredicateError_sum;RequiredPredicateError_AlgorithmParameters;RequiredPredicateError_Cipher;RequiredPredicateError_DHGenParameterSpec;RequiredPredicateError_DHParameterSpec;RequiredPredicateError_DSAGenParameterSpec;RequiredPredicateError_DSAParameterSpec;RequiredPredicateError_GCMParameterSpec;RequiredPredicateError_HMACParameterSpec;RequiredPredicateError_IvParameterSpec;RequiredPredicateError_KeyGenerator;RequiredPredicateError_KeyPair;RequiredPredicateError_KeyPairGenerator;RequiredPredicateError_KeyStore;RequiredPredicateError_Mac;RequiredPredicateError_MessageDigest;RequiredPredicateError_PBEKeySpec;RequiredPredicateError_PBEParameterSpec;RequiredPredicateError_RSAKeyGenParameterSpec;RequiredPredicateError_SecretKey;RequiredPredicateError_SecretKeyFactory;RequiredPredicateError_SecretKeySpec;RequiredPredicateError_SecureRandom;RequiredPredicateError_Signature;IncompleteOperationError_sum;IncompleteOperationError_AlgorithmParameters;IncompleteOperationError_Cipher;IncompleteOperationError_DHGenParameterSpec;IncompleteOperationError_DHParameterSpec;IncompleteOperationError_DSAGenParameterSpec;IncompleteOperationError_DSAParameterSpec;IncompleteOperationError_GCMParameterSpec;IncompleteOperationError_HMACParameterSpec;IncompleteOperationError_IvParameterSpec;IncompleteOperationError_KeyGenerator;IncompleteOperationError_KeyPair;IncompleteOperationError_KeyPairGenerator;IncompleteOperationError_KeyStore;IncompleteOperationError_Mac;IncompleteOperationError_MessageDigest;IncompleteOperationError_PBEKeySpec;IncompleteOperationError_PBEParameterSpec;IncompleteOperationError_RSAKeyGenParameterSpec;IncompleteOperationError_SecretKey;IncompleteOperationError_SecretKeyFactory;IncompleteOperationError_SecretKeySpec;IncompleteOperationError_SecureRandom;IncompleteOperationError_Signature;ImpreciseValueExtractionError_sum;ImpreciseValueExtractionError_AlgorithmParameters;ImpreciseValueExtractionError_Cipher;ImpreciseValueExtractionError_DHGenParameterSpec;ImpreciseValueExtractionError_DHParameterSpec;ImpreciseValueExtractionError_DSAGenParameterSpec;ImpreciseValueExtractionError_DSAParameterSpec;ImpreciseValueExtractionError_GCMParameterSpec;ImpreciseValueExtractionError_HMACParameterSpec;ImpreciseValueExtractionError_IvParameterSpec;ImpreciseValueExtractionError_KeyGenerator;ImpreciseValueExtractionError_KeyPair;ImpreciseValueExtractionError_KeyPairGenerator;ImpreciseValueExtractionError_KeyStore;ImpreciseValueExtractionError_Mac;ImpreciseValueExtractionError_MessageDigest;ImpreciseValueExtractionError_PBEKeySpec;ImpreciseValueExtractionError_PBEParameterSpec;ImpreciseValueExtractionError_RSAKeyGenParameterSpec;ImpreciseValueExtractionError_SecretKey;ImpreciseValueExtractionError_SecretKeyFactory;ImpreciseValueExtractionError_SecretKeySpec;ImpreciseValueExtractionError_SecureRandom;ImpreciseValueExtractionError_Signature;ForbiddenMethodError_sum;ForbiddenMethodError_AlgorithmParameters;ForbiddenMethodError_Cipher;ForbiddenMethodError_DHGenParameterSpec;ForbiddenMethodError_DHParameterSpec;ForbiddenMethodError_DSAGenParameterSpec;ForbiddenMethodError_DSAParameterSpec;ForbiddenMethodError_GCMParameterSpec;ForbiddenMethodError_HMACParameterSpec;ForbiddenMethodError_IvParameterSpec;ForbiddenMethodError_KeyGenerator;ForbiddenMethodError_KeyPair;ForbiddenMethodError_KeyPairGenerator;ForbiddenMethodError_KeyStore;ForbiddenMethodError_Mac;ForbiddenMethodError_MessageDigest;ForbiddenMethodError_PBEKeySpec;ForbiddenMethodError_PBEParameterSpec;ForbiddenMethodError_RSAKeyGenParameterSpec;ForbiddenMethodError_SecretKey;ForbiddenMethodError_SecretKeyFactory;ForbiddenMethodError_SecretKeySpec;ForbiddenMethodError_SecureRandom;ForbiddenMethodError_Signature
activemq-smack-1.5.0;3;1843;32974;2405;1184;181;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ae.teletronics.peers-peers-lib-0.5.4;3;1919;62201;2374;1508;1;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ai.olami-olami-java-client-1.5.0;2;2357;1854;3124;1969;1;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ai.thirdwatch-thirdwatch_api-0.0.2;13;5121;675850;7678;6112;19;0;0;0;3;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
am.ik.aws-aws-apa-0.9.5;3;1758;1419;2628;1909;14;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
am.ik.certificate-certificate-importer-0.0.1;1;803;1008;1215;571;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
asia.redact.bracket.properties-bracket-properties-2.3.0;43;2487;3520;2255;1339;12;0;19;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;3;;;;;;;1;;;;;;;;5;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
asm-asm-all-20070324;3;2455;2328;2787;1917;2;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
asm-asm-commons-3.3.1;3;2268;1911;2015;1305;2;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
asm-asm-debug-all-3.3.1;3;2788;2065;2933;2033;2;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aspectwerkz-aspectwerkz-2.0;4;3236;7115;4922;3771;1;1;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aspectwerkz-aspectwerkz-nodeps-jdk14-2.0;4;7817;14499;12622;10836;1;1;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aspectwerkz-aspectwerkz-nodeps-jdk5-2.0;4;6690;11853;12645;10855;1;1;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
at.crea-doo.homer-hwabstraction.opensprinkler-1.0.11;3;4712;1979;4577;3377;1;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
