Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;EmptyVector;ForwardQuery: (dacapo.antlr.AntlrHarness.iterate $r6 = new Vector,$r6 (AntlrHarness.iterate) Value: new java.util.Vector);<dacapo.antlr.AntlrHarness: void iterate(java.lang.String)>;dacapo.antlr.AntlrHarness;false;false;326;231;252;32;13;2007;
ideal;EmptyVector;ForwardQuery: (antlr.NameSpace.<init> $r2 = new Vector,$r2 (NameSpace.<init>) Value: new java.util.Vector);<antlr.NameSpace: void <init>(java.lang.String)>;antlr.NameSpace;false;false;67;111;40;36;14;2007;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;<antlr.NameSpace: void <init>(java.lang.String)>;antlr.NameSpace;false;true;22102;121;22102;0;13;2007;
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;<dacapo.antlr.AntlrHarness: void iterate(java.lang.String)>;dacapo.antlr.AntlrHarness;false;false;138;215;42;96;12;2007;
ideal;IO;ForwardQuery: (dacapo.Benchmark.unpackZipFileResource $r4.<init>($r5),$r4 (Benchmark.unpackZipFileResource) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;3884;1910;2237;90;49;2007;
ideal;IO;ForwardQuery: (dacapo.Benchmark.unpackZipStream $r8.<init>(r0),$r8 (Benchmark.unpackZipStream) Value: specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0));<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;231;603;192;25;21;2007;
ideal;IO;ForwardQuery: (dacapo.FileDigest.getBinary $r4.<init>($r5),$r4 (FileDigest.getBinary) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;53;214;43;7;15;2007;
ideal;IO;ForwardQuery: (dacapo.Benchmark.copyFile $r5.<init>(r0),$r5 (Benchmark.copyFile) Value: specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0));<dacapo.Benchmark: void copyFile(java.io.File,java.io.File)>;dacapo.Benchmark;false;false;390;622;370;9;44;2007;
ideal;IO;ForwardQuery: (dacapo.FileDigest.getBinary $r5.<init>(r0),$r5 (FileDigest.getBinary) Value: specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0));<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;784;1057;196;25;64;2007;
ideal;IO;ForwardQuery: (antlr.Tool.copyFile $r33.<init>($r34),$r33 (Tool.copyFile) Value: specialinvoke $r33.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r34));<antlr.Tool: void copyFile(java.lang.String,java.lang.String)>;antlr.Tool;false;false;2;37;1;0;1;2007;
