Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/LEGatherer, getLEs(LEDU/purdue/cs/bloat/cfg/Block,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@79957f11;<EDU.purdue.cs.bloat.tree.LEGatherer: java.util.Vector getLEs(EDU.purdue.cs.bloat.cfg.Block)>;EDU.purdue.cs.bloat.tree.LEGatherer;false;false;3311;0;0;0;0;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@28393e82;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;2388;0;0;0;0;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@697a0948;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;false;false;2692;0;0;0;0;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7cf63b9a;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;2499;0;0;0;0;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/trans/Peephole, removeUnreachable(LEDU/purdue/cs/bloat/editor/MethodEditor,Ljava/util/List,)V >:NEW <Application,Ljava/util/Stack>@76 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4776e209;<EDU.purdue.cs.bloat.trans.Peephole: void removeUnreachable(EDU.purdue.cs.bloat.editor.MethodEditor,java.util.List)>;EDU.purdue.cs.bloat.trans.Peephole;false;false;2221;0;0;0;0;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1d6a8386;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;7795;161549;0;0;2614;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@67f9cb52;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;23726;549416;0;0;2690;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/util/UnionFind, findNode(LEDU/purdue/cs/bloat/util/UnionFind$Node,)LEDU/purdue/cs/bloat/util/UnionFind$Node, >:NEW <Application,Ljava/util/Stack>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2de9ca6;<EDU.purdue.cs.bloat.util.UnionFind: EDU.purdue.cs.bloat.util.UnionFind$Node findNode(EDU.purdue.cs.bloat.util.UnionFind$Node)>;EDU.purdue.cs.bloat.util.UnionFind;false;false;2340;5555;0;0;65;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/cfg/FlowGraph, splitReducibleLoops()V >:NEW <Application,Ljava/util/Stack>@15 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@59018eed;<EDU.purdue.cs.bloat.cfg.FlowGraph: void splitReducibleLoops()>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;false;2077;0;0;0;0;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/AscendVisitor, <init>(Ljava/util/Hashtable,Ljava/util/Hashtable,)V >:NEW <Application,Ljava/util/Vector>@15 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2ee39e73;<EDU.purdue.cs.bloat.tree.AscendVisitor: void <init>(java.util.Hashtable,java.util.Hashtable)>;EDU.purdue.cs.bloat.tree.AscendVisitor;false;false;2259;0;0;0;0;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Stack>@30 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@76973a6;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;2181;0;0;0;0;4505;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/editor/CodeArray, buildCode()V >:NEW <Application,Ljava/util/Stack>@996 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71a4f441;<EDU.purdue.cs.bloat.editor.CodeArray: void buildCode()>;EDU.purdue.cs.bloat.editor.CodeArray;false;false;2349;0;0;0;0;4505;0;
