Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/codegen/CodeGenerator, removeEmptyBlocks(LEDU/purdue/cs/bloat/cfg/FlowGraph,)V >:NEW <Application,LEDU/purdue/cs/bloat/util/ImmutableIterator>@312 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@11ede87f;<EDU.purdue.cs.bloat.codegen.CodeGenerator: void removeEmptyBlocks(EDU.purdue.cs.bloat.cfg.FlowGraph)>;EDU.purdue.cs.bloat.codegen.CodeGenerator;false;false;3028;0;0;0;0;4505;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/util/Graph$NodeList, iterator()Ljava/util/Iterator, >:NEW <Application,LEDU/purdue/cs/bloat/util/Graph$3>@27 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1d6a8386;<EDU.purdue.cs.bloat.util.Graph$NodeList: java.util.Iterator iterator()>;EDU.purdue.cs.bloat.util.Graph$NodeList;false;true;0;0;0;0;0;4505;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/cfg/FlowGraph, insertConditionalStores()V >:NEW <Application,LEDU/purdue/cs/bloat/util/ImmutableIterator>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6274f21c;<EDU.purdue.cs.bloat.cfg.FlowGraph: void insertConditionalStores()>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;false;2109;0;0;0;0;4505;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/Tree$StmtList, listIterator(I)Ljava/util/ListIterator, >:NEW <Application,LEDU/purdue/cs/bloat/tree/Tree$1>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@548e43b1;<EDU.purdue.cs.bloat.tree.Tree$StmtList: java.util.ListIterator listIterator(int)>;EDU.purdue.cs.bloat.tree.Tree$StmtList;false;true;0;0;0;0;0;4505;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/trans/SSAPRE$11, iterator()Ljava/util/Iterator, >:NEW <Application,LEDU/purdue/cs/bloat/trans/SSAPRE$12>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@67688110;<EDU.purdue.cs.bloat.trans.SSAPRE$11: java.util.Iterator iterator()>;EDU.purdue.cs.bloat.trans.SSAPRE$11;false;false;2025;0;0;0;0;4505;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/cfg/FlowGraph$7, iterator()Ljava/util/Iterator, >:NEW <Application,LEDU/purdue/cs/bloat/cfg/FlowGraph$8>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@61394494;<EDU.purdue.cs.bloat.cfg.FlowGraph$7: java.util.Iterator iterator()>;EDU.purdue.cs.bloat.cfg.FlowGraph$7;false;true;0;0;0;0;0;4505;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/codegen/Liveness, computeIntersections()V >:NEW <Application,LEDU/purdue/cs/bloat/util/ImmutableIterator>@794 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6cbb7a7d;<EDU.purdue.cs.bloat.codegen.Liveness: void computeIntersections()>;EDU.purdue.cs.bloat.codegen.Liveness;false;false;2166;0;0;0;0;4505;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/Tree$StmtList, iterator()Ljava/util/Iterator, >:NEW <Application,LEDU/purdue/cs/bloat/tree/Tree$2>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1a914089;<EDU.purdue.cs.bloat.tree.Tree$StmtList: java.util.Iterator iterator()>;EDU.purdue.cs.bloat.tree.Tree$StmtList;false;true;0;0;0;0;0;4505;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/codegen/CodeGenerator, removeEmptyBlocks(LEDU/purdue/cs/bloat/cfg/FlowGraph,)V >:NEW <Application,LEDU/purdue/cs/bloat/util/ImmutableIterator>@660 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@43d76a92;<EDU.purdue.cs.bloat.codegen.CodeGenerator: void removeEmptyBlocks(EDU.purdue.cs.bloat.cfg.FlowGraph)>;EDU.purdue.cs.bloat.codegen.CodeGenerator;false;false;2038;0;0;0;0;4505;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/codegen/Liveness, intersections(LEDU/purdue/cs/bloat/tree/VarExpr,)Ljava/util/Iterator, >:NEW <Application,LEDU/purdue/cs/bloat/codegen/Liveness$1>@63 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4a2bf50f;<EDU.purdue.cs.bloat.codegen.Liveness: java.util.Iterator intersections(EDU.purdue.cs.bloat.tree.VarExpr)>;EDU.purdue.cs.bloat.codegen.Liveness;false;false;2042;0;0;0;0;4505;0;
