Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/LEGatherer, getLEs(LEDU/purdue/cs/bloat/cfg/Block,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4017fe2c;<EDU.purdue.cs.bloat.tree.LEGatherer: java.util.Vector getLEs(EDU.purdue.cs.bloat.cfg.Block)>;EDU.purdue.cs.bloat.tree.LEGatherer;false;false;3221;0;0;0;0;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6b37df8e;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;2579;0;0;0;0;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6b63abdc;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;false;false;2598;0;0;0;0;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7b351446;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;2614;0;0;0;0;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/trans/Peephole, removeUnreachable(LEDU/purdue/cs/bloat/editor/MethodEditor,Ljava/util/List,)V >:NEW <Application,Ljava/util/Stack>@76 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5f08fe00;<EDU.purdue.cs.bloat.trans.Peephole: void removeUnreachable(EDU.purdue.cs.bloat.editor.MethodEditor,java.util.List)>;EDU.purdue.cs.bloat.trans.Peephole;false;false;2376;0;0;0;0;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@9df564f;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;7957;188900;0;0;2686;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6a3fbcb1;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;7577;192220;0;0;2704;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/util/UnionFind, findNode(LEDU/purdue/cs/bloat/util/UnionFind$Node,)LEDU/purdue/cs/bloat/util/UnionFind$Node, >:NEW <Application,Ljava/util/Stack>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4c38cd16;<EDU.purdue.cs.bloat.util.UnionFind: EDU.purdue.cs.bloat.util.UnionFind$Node findNode(EDU.purdue.cs.bloat.util.UnionFind$Node)>;EDU.purdue.cs.bloat.util.UnionFind;false;false;2568;2563;0;0;66;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/cfg/FlowGraph, splitReducibleLoops()V >:NEW <Application,Ljava/util/Stack>@15 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@570a62a5;<EDU.purdue.cs.bloat.cfg.FlowGraph: void splitReducibleLoops()>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;false;2293;0;0;0;0;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/AscendVisitor, <init>(Ljava/util/Hashtable,Ljava/util/Hashtable,)V >:NEW <Application,Ljava/util/Vector>@15 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@36224f93;<EDU.purdue.cs.bloat.tree.AscendVisitor: void <init>(java.util.Hashtable,java.util.Hashtable)>;EDU.purdue.cs.bloat.tree.AscendVisitor;false;false;2336;0;0;0;0;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Stack>@30 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1ee5632d;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;2285;0;0;0;0;4505;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/editor/CodeArray, buildCode()V >:NEW <Application,Ljava/util/Stack>@996 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@52a7928a;<EDU.purdue.cs.bloat.editor.CodeArray: void buildCode()>;EDU.purdue.cs.bloat.editor.CodeArray;false;false;2350;0;0;0;0;4505;0;
