Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;IO;$r3 @ specialinvoke $r3.<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>(r1, r2);specialinvoke $r3.<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>(r1, r2);<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;true;1574;1759;1574;0;32;4467;r0[vn, out, lock];268024800;
ideal-ap;IO;r0 @ specialinvoke r0.<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>(r1);specialinvoke r0.<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>(r1);<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeeOutputStream;false;true;1489;1764;1489;0;33;4467;r0[vn, out, lock];266920096;
ideal-ap;IO;$r13 @ specialinvoke $r13.<java.io.DataOutputStream: void <init>(java.io.OutputStream)>($r14);specialinvoke $r13.<java.io.DataOutputStream: void <init>(java.io.OutputStream)>($r14);<EDU.purdue.cs.bloat.optimize.Main: void editClass(java.lang.String)>;EDU.purdue.cs.bloat.optimize.Main;false;true;1401;630;1401;0;16;4467;r0[vn, out, lock];263546232;
ideal-ap;IO;$r1 @ specialinvoke $r1.<java.io.PrintStream: void <init>(java.io.OutputStream)>($r2);specialinvoke $r1.<java.io.PrintStream: void <init>(java.io.OutputStream)>($r2);<EDU.purdue.cs.bloat.cfg.FlowGraph: void printGraph()>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;true;421757;6869087;421757;0;813;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, out, out, psOut];9310204424;
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.DataOutputStream: void <init>(java.io.OutputStream)>(r7);specialinvoke $r5.<java.io.DataOutputStream: void <init>(java.io.OutputStream)>(r7);<EDU.purdue.cs.bloat.file.ClassFile: void commitOnly(java.util.Set,java.util.Set)>;EDU.purdue.cs.bloat.file.ClassFile;false;false;296;1138;54;242;32;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, out, out, psOut];251180168;
ideal-ap;IO;$r14 @ specialinvoke $r14.<java.io.FileOutputStream: void <init>(java.io.File)>(r117);specialinvoke $r14.<java.io.FileOutputStream: void <init>(java.io.File)>(r117);<EDU.purdue.cs.bloat.optimize.Main: void editClass(java.lang.String)>;EDU.purdue.cs.bloat.optimize.Main;false;true;1498;1045;1498;0;25;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, out, out, psOut];253364200;
ideal-ap;IO;$r7 @ specialinvoke $r7.<java.io.FileOutputStream: void <init>(java.io.File)>(r1);specialinvoke $r7.<java.io.FileOutputStream: void <init>(java.io.File)>(r1);<EDU.purdue.cs.bloat.file.ClassFileLoader: java.io.OutputStream outputStreamFor(java.lang.String)>;EDU.purdue.cs.bloat.file.ClassFileLoader;false;true;829;1203;829;0;49;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, out, out, psOut];256156968;
ideal-ap;IO;$r12 @ specialinvoke $r12.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r14, $r13);specialinvoke $r12.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r14, $r13);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;140;826;9;131;18;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, out, out, psOut];248270328;
ideal-ap;IO;$r9 @ specialinvoke $r9.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r11, $r10);specialinvoke $r9.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r11, $r10);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;129;781;9;120;18;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, out, out, psOut];248498024;
ideal-ap;IO;$r15 @ specialinvoke $r15.<java.io.PrintStream: void <init>(java.io.OutputStream)>(r119);specialinvoke $r15.<java.io.PrintStream: void <init>(java.io.OutputStream)>(r119);<EDU.purdue.cs.bloat.optimize.Main: void editClass(java.lang.String)>;EDU.purdue.cs.bloat.optimize.Main;false;false;210;198;1;209;4;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, out, out, psOut];247672752;
