Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, ensureRunBreak(IZ)I >:NEW <Primordial,Ljava/util/Vector>@218 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71bb8b34;<java.text.AttributedString: int ensureRunBreak(int,boolean)>;<Primordial,Ljava.text.AttributedString;false;false;1811;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@36551e97;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;1091;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@685d7ba5;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;false;false;1124;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/jfree/base/config/SystemPropertyConfiguration, getConfigProperties()Ljava/util/Enumeration, >:NEW <Application,Ljava/util/Vector>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@16d41725;<org.jfree.base.config.SystemPropertyConfiguration: java.util.Enumeration getConfigProperties()>;org.jfree.base.config.SystemPropertyConfiguration;false;false;1173;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5f6494c0;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;2323;41721;0;0;528;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@11e17893;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;6254;181517;0;0;1372;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/chart/ChartHarness, iterate(Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@9 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@19eea77c;<dacapo.chart.ChartHarness: void iterate(java.lang.String)>;dacapo.chart.ChartHarness;false;false;976;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <init>(Ljava/lang/Void,Ljava/lang/ClassLoader,)V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6682e6a5;<java.lang.ClassLoader: void <init>(java.lang.Void,java.lang.ClassLoader)>;<Primordial,Ljava.lang.ClassLoader;false;false;985;2125;0;0;62;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, setAttributes(Ljava/util/Map,I)V >:NEW <Primordial,Ljava/util/Vector>@34 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@ac4915e;<java.text.AttributedString: void setAttributes(java.util.Map,int)>;<Primordial,Ljava.text.AttributedString;false;false;1017;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, ensureRunBreak(IZ)I >:NEW <Primordial,Ljava/util/Vector>@234 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@10fb4575;<java.text.AttributedString: int ensureRunBreak(int,boolean)>;<Primordial,Ljava.text.AttributedString;false;false;958;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7cc2c551;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;910;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, addAttributeRunData(Ljava/text/AttributedCharacterIterator$Attribute,Ljava/lang/Object,II)V >:NEW <Primordial,Ljava/util/Vector>@32 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@d84b3a2;<java.text.AttributedString: void addAttributeRunData(java.text.AttributedCharacterIterator$Attribute,java.lang.Object,int,int)>;<Primordial,Ljava.text.AttributedString;false;false;990;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, setAttributes(Ljava/util/Map,I)V >:NEW <Primordial,Ljava/util/Vector>@45 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@23648d2d;<java.text.AttributedString: void setAttributes(java.util.Map,int)>;<Primordial,Ljava.text.AttributedString;false;false;909;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, addAttributeRunData(Ljava/text/AttributedCharacterIterator$Attribute,Ljava/lang/Object,II)V >:NEW <Primordial,Ljava/util/Vector>@23 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@69feb4d9;<java.text.AttributedString: void addAttributeRunData(java.text.AttributedCharacterIterator$Attribute,java.lang.Object,int,int)>;<Primordial,Ljava.text.AttributedString;false;false;901;0;0;0;0;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <init>(Ljava/lang/Void,Ljava/lang/ClassLoader,)V >:NEW <Primordial,Ljava/util/Vector>@53 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@37c1cfa;<java.lang.ClassLoader: void <init>(java.lang.Void,java.lang.ClassLoader)>;<Primordial,Ljava.lang.ClassLoader;false;false;1004;1040;0;0;57;4953;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Stack>@30 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2bcda694;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;922;0;0;0;0;4953;0;
