Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71bb8b34;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;1862;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@36551e97;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;1130;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/PdfImage, <init>(Lcom/lowagie/text/Image,Ljava/lang/String,Lcom/lowagie/text/pdf/PdfIndirectReference,)V >:NEW <Application,Ljava/io/ByteArrayInputStream>@867 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@685d7ba5;<com.lowagie.text.pdf.PdfImage: void <init>(com.lowagie.text.Image,java.lang.String,com.lowagie.text.pdf.PdfIndirectReference)>;com.lowagie.text.pdf.PdfImage;false;false;1108;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@362 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7f4e5a39;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;6518;202914;0;0;1437;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@33de7f3d;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1231;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@30159886;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;1202;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5d66ae3a;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;928;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@50f4b83d;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@8a3ffdf7;false;false;970;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/FileInputStream>@29 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@55222ee9;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;11242;348340;0;0;1224;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/jfree/base/config/PropertyFileConfiguration, load(Ljava/io/InputStream,)V >:NEW <Application,Ljava/io/BufferedInputStream>@12 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3181d4de;<org.jfree.base.config.PropertyFileConfiguration: void load(java.io.InputStream)>;org.jfree.base.config.PropertyFileConfiguration;false;false;900;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/PdfFileSpecification, fileEmbedded(Lcom/lowagie/text/pdf/PdfWriter,Ljava/lang/String,Ljava/lang/String,[B)Lcom/lowagie/text/pdf/PdfFileSpecification, >:NEW <Application,Ljava/io/FileInputStream>@52 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4f64d9cb;<com.lowagie.text.pdf.PdfFileSpecification: com.lowagie.text.pdf.PdfFileSpecification fileEmbedded(com.lowagie.text.pdf.PdfWriter,java.lang.String,java.lang.String,[B[])>;com.lowagie.text.pdf.PdfFileSpecification;false;false;912;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/FileInputStream>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@639c7f9c;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;1012;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFileResource(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@41 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@270d5060;<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;902;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/util/zip/ZipInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1815577b;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;909;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/TeeOutputStream, newLog()V >:NEW <Application,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71bb8b34;<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;false;false;1804;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/chart/Graph, plotGraph(Ljava/net/URL,Ljava/lang/String,Ljava/lang/String,IIIIIZ)V >:NEW <Application,Ljava/io/FileOutputStream>@485 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@36551e97;<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;1068;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/chart/Graph, plotGraph(Ljava/net/URL,Ljava/lang/String,Ljava/lang/String,IIIIIZ)V >:NEW <Application,Ljava/io/BufferedOutputStream>@481 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@685d7ba5;<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;1073;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/PdfFileSpecification, fileEmbedded(Lcom/lowagie/text/pdf/PdfWriter,Ljava/lang/String,Ljava/lang/String,[B)Lcom/lowagie/text/pdf/PdfFileSpecification, >:NEW <Application,Ljava/io/ByteArrayOutputStream>@36 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@16d41725;<com.lowagie.text.pdf.PdfFileSpecification: com.lowagie.text.pdf.PdfFileSpecification fileEmbedded(com.lowagie.text.pdf.PdfWriter,java.lang.String,java.lang.String,[B[])>;com.lowagie.text.pdf.PdfFileSpecification;false;false;1162;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/DocWriter, <init>(Lcom/lowagie/text/Document,Ljava/io/OutputStream,)V >:NEW <Application,Ljava/io/BufferedOutputStream>@29 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3b6c2be6;<com.lowagie.text.DocWriter: void <init>(com.lowagie.text.Document,java.io.OutputStream)>;com.lowagie.text.DocWriter;false;false;962;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/PdfImage, <init>(Lcom/lowagie/text/Image,Ljava/lang/String,Lcom/lowagie/text/pdf/PdfIndirectReference,)V >:NEW <Application,Ljava/io/ByteArrayOutputStream>@1068 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@25533bba;<com.lowagie.text.pdf.PdfImage: void <init>(com.lowagie.text.Image,java.lang.String,com.lowagie.text.pdf.PdfIndirectReference)>;com.lowagie.text.pdf.PdfImage;false;false;1045;0;0;0;0;4953;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/chart/Graph, plotGraph(Ljava/net/URL,Ljava/lang/String,Ljava/lang/String,IIIIIZ)V >:NEW <Application,Ljava/io/BufferedOutputStream>@207 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@26d0ece6;<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;914;0;0;0;0;4953;0;
