Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, reload()V >:NEW <Primordial,Ljava/util/ServiceLoader$LazyIterator>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@33de7f3d;<java.util.ServiceLoader: void reload()>;<Primordial,Ljava.util.ServiceLoader;false;true;0;0;0;0;0;4953;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Collections$UnmodifiableCollection, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Collections$UnmodifiableCollection$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@11e17893;<java.util.Collections$UnmodifiableCollection: java.util.Iterator iterator()>;<Primordial,Ljava.util.Collections$UnmodifiableCollection;false;false;1008;0;0;0;0;4953;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Collections$UnmodifiableList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/Collections$UnmodifiableList$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@19eea77c;<java.util.Collections$UnmodifiableList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.Collections$UnmodifiableList;false;false;4171;121065;0;0;1437;4953;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@439f2d87;<java.util.ArrayList: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.ArrayList;false;false;11379;361967;0;0;1437;4953;0;
fink-apmust;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@147e0734;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;976;0;0;0;0;4953;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$Values, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$ValueIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2bdab835;<java.util.HashMap$Values: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$Values;false;false;1005;0;0;0;0;4953;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@722787b5;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;false;19613;715797;0;0;1437;4953;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/LinkedList$ListItr>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@edb83f8;<java.util.LinkedList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.LinkedList;false;false;6798;201895;0;0;1437;4953;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ServiceLoader$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@41f964f9;<java.util.ServiceLoader: java.util.Iterator iterator()>;<Primordial,Ljava.util.ServiceLoader;false;false;12164;466577;0;0;1437;4953;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7bede4ea;<java.util.ArrayList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.ArrayList;false;false;5114;146699;0;0;1437;4953;0;
