Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3e38c472;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;7110;200892;0;0;1290;4953;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7345f97d;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;1343;0;0;0;0;4953;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/PdfImage, <init>(Lcom/lowagie/text/Image,Ljava/lang/String,Lcom/lowagie/text/pdf/PdfIndirectReference,)V >:NEW <Application,Ljava/io/ByteArrayInputStream>@867 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@554566a8;<com.lowagie.text.pdf.PdfImage: void <init>(com.lowagie.text.Image,java.lang.String,com.lowagie.text.pdf.PdfIndirectReference)>;com.lowagie.text.pdf.PdfImage;false;false;1426;0;0;0;0;4953;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@362 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@66020d69;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;5831;200875;0;0;1290;4953;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3751acd7;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1197;0;0;0;0;4953;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6b832551;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;1191;0;0;0;0;4953;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@150d6eaf;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1104;0;0;0;0;4953;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@63124022;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@8a3ffdf7;false;false;1094;0;0;0;0;4953;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/FileInputStream>@29 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@591f6f83;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;3586;111448;0;0;1490;4953;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/jfree/base/config/PropertyFileConfiguration, load(Ljava/io/InputStream,)V >:NEW <Application,Ljava/io/BufferedInputStream>@12 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2b44605c;<org.jfree.base.config.PropertyFileConfiguration: void load(java.io.InputStream)>;org.jfree.base.config.PropertyFileConfiguration;false;false;1070;0;0;0;0;4953;0;
