Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, reload()V >:NEW <Primordial,Ljava/util/ServiceLoader$LazyIterator>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3e38c472;<java.util.ServiceLoader: void reload()>;<Primordial,Ljava.util.ServiceLoader;false;false;7177;200999;0;0;1290;4953;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Collections$UnmodifiableCollection, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Collections$UnmodifiableCollection$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7345f97d;<java.util.Collections$UnmodifiableCollection: java.util.Iterator iterator()>;<Primordial,Ljava.util.Collections$UnmodifiableCollection;false;false;1282;0;0;0;0;4953;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Collections$UnmodifiableList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/Collections$UnmodifiableList$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@554566a8;<java.util.Collections$UnmodifiableList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.Collections$UnmodifiableList;false;false;1440;2279;0;0;58;4953;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@66020d69;<java.util.ArrayList: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.ArrayList;false;false;7736;250049;0;0;1296;4953;0;
fink-unique;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@6615237;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;1130;0;0;0;0;4953;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$Values, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$ValueIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@eaf8427;<java.util.HashMap$Values: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$Values;false;false;1201;0;0;0;0;4953;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3d40498a;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;true;false;8156;260274;0;0;1296;4953;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/LinkedList$ListItr>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4f26425b;<java.util.LinkedList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.LinkedList;false;false;7839;249684;0;0;1290;4953;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ServiceLoader$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@f03ee8f;<java.util.ServiceLoader: java.util.Iterator iterator()>;<Primordial,Ljava.util.ServiceLoader;false;false;5731;200863;0;0;1290;4953;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@ff0e6d4;<java.util.ArrayList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.ArrayList;false;false;7877;249793;0;0;1290;4953;0;
