Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;IteratorHasNext;ForwardQuery: (drawDomainMarkers r5.iterator(),r7 (CategoryPlot.drawDomainMarkers) Value: interfaceinvoke r5.<java.util.Collection: java.util.Iterator iterator()>());r7 = interfaceinvoke r5.<java.util.Collection: java.util.Iterator iterator()>();<org.jfree.chart.plot.CategoryPlot: void drawDomainMarkers(java.awt.Graphics2D,java.awt.geom.Rectangle2D,int,org.jfree.ui.Layer)>;org.jfree.chart.plot.CategoryPlot;true;false;4139;96;10;2507;true;false;0;195059528;
ideal;IteratorHasNext;ForwardQuery: (drawAxes $r15.iterator(),r45 (XYPlot.drawAxes) Value: interfaceinvoke $r15.<java.util.List: java.util.Iterator iterator()>());r45 = interfaceinvoke $r15.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: java.util.Map drawAxes(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.XYPlot;false;false;2688;65;5;2507;true;false;0;199320056;
ideal;IteratorHasNext;ForwardQuery: (drawRangeMarkers r5.iterator(),r7 (CategoryPlot.drawRangeMarkers) Value: interfaceinvoke r5.<java.util.Collection: java.util.Iterator iterator()>());r7 = interfaceinvoke r5.<java.util.Collection: java.util.Iterator iterator()>();<org.jfree.chart.plot.CategoryPlot: void drawRangeMarkers(java.awt.Graphics2D,java.awt.geom.Rectangle2D,int,org.jfree.ui.Layer)>;org.jfree.chart.plot.CategoryPlot;true;false;1058;96;10;2507;true;false;0;204634240;
ideal;IteratorHasNext;ForwardQuery: (drawAnnotations $r6.iterator(),r3 (CategoryPlot.drawAnnotations) Value: interfaceinvoke $r6.<java.util.List: java.util.Iterator iterator()>());r3 = interfaceinvoke $r6.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.CategoryPlot: void drawAnnotations(java.awt.Graphics2D,java.awt.geom.Rectangle2D)>;org.jfree.chart.plot.CategoryPlot;false;false;902;48;5;2507;true;false;0;206284120;
ideal;IteratorHasNext;ForwardQuery: (draw $r20.iterator(),r5 (BlockContainer.draw) Value: interfaceinvoke $r20.<java.util.List: java.util.Iterator iterator()>());r5 = interfaceinvoke $r20.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.block.BlockContainer: java.lang.Object draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.lang.Object)>;org.jfree.chart.block.BlockContainer;false;false;782;60;5;2507;true;false;0;208016752;
ideal;IteratorHasNext;ForwardQuery: (getIndex $r4.iterator(),r2 (DefaultKeyedValues.getIndex) Value: interfaceinvoke $r4.<java.util.List: java.util.Iterator iterator()>());r2 = interfaceinvoke $r4.<java.util.List: java.util.Iterator iterator()>();<org.jfree.data.DefaultKeyedValues: int getIndex(java.lang.Comparable)>;org.jfree.data.DefaultKeyedValues;false;false;701;50;5;2507;true;false;0;209681368;
ideal;IteratorHasNext;ForwardQuery: (drawDomainMarkers r5.iterator(),r7 (XYPlot.drawDomainMarkers) Value: interfaceinvoke r5.<java.util.Collection: java.util.Iterator iterator()>());r7 = interfaceinvoke r5.<java.util.Collection: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: void drawDomainMarkers(java.awt.Graphics2D,java.awt.geom.Rectangle2D,int,org.jfree.ui.Layer)>;org.jfree.chart.plot.XYPlot;true;false;909;96;10;2507;true;false;0;214993240;
ideal;IteratorHasNext;ForwardQuery: (postIterationCleanup $r5.iterator(),r2 (Benchmark.postIterationCleanup) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;true;false;577;46;5;2507;true;false;0;216069192;
ideal;IteratorHasNext;ForwardQuery: (draw $r39.iterator(),r40 (JFreeChart.draw) Value: interfaceinvoke $r39.<java.util.List: java.util.Iterator iterator()>());r40 = interfaceinvoke $r39.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.JFreeChart: void draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.ChartRenderingInfo)>;org.jfree.chart.JFreeChart;false;false;1474;62;5;2507;true;false;0;217802784;
ideal;IteratorHasNext;ForwardQuery: (drawAxes $r17.iterator(),r48 (XYPlot.drawAxes) Value: interfaceinvoke $r17.<java.util.List: java.util.Iterator iterator()>());r48 = interfaceinvoke $r17.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: java.util.Map drawAxes(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.XYPlot;false;false;8000;49;5;2507;true;false;0;222697936;
ideal;IteratorHasNext;ForwardQuery: (drawAxes $r11.iterator(),r39 (XYPlot.drawAxes) Value: interfaceinvoke $r11.<java.util.List: java.util.Iterator iterator()>());r39 = interfaceinvoke $r11.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: java.util.Map drawAxes(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.XYPlot;false;false;5067;97;5;2507;true;false;0;225322256;
ideal;IteratorHasNext;ForwardQuery: (drawAnnotations $r8.iterator(),r4 (XYPlot.drawAnnotations) Value: interfaceinvoke $r8.<java.util.List: java.util.Iterator iterator()>());r4 = interfaceinvoke $r8.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: void drawAnnotations(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.XYPlot;false;false;1879;48;5;2507;true;false;0;226972232;
ideal;IteratorHasNext;ForwardQuery: (getDataRange r2.iterator(),r3 (CategoryPlot.getDataRange) Value: interfaceinvoke r2.<java.util.List: java.util.Iterator iterator()>());r3 = interfaceinvoke r2.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.CategoryPlot: org.jfree.data.Range getDataRange(org.jfree.chart.axis.ValueAxis)>;org.jfree.chart.plot.CategoryPlot;false;false;11587;49;5;2507;true;false;0;228652624;
ideal;IteratorHasNext;ForwardQuery: (drawAxes $r11.iterator(),r39 (CategoryPlot.drawAxes) Value: interfaceinvoke $r11.<java.util.List: java.util.Iterator iterator()>());r39 = interfaceinvoke $r11.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.CategoryPlot: java.util.Map drawAxes(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.CategoryPlot;false;false;7002;101;5;2507;true;false;0;231334632;
ideal;IteratorHasNext;ForwardQuery: (validate $r5.iterator(),r2 (Benchmark.validate) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;true;false;969;213;5;2507;true;false;0;233570600;
ideal;IteratorHasNext;ForwardQuery: (getDataRange r2.iterator(),r3 (XYPlot.getDataRange) Value: interfaceinvoke r2.<java.util.List: java.util.Iterator iterator()>());r3 = interfaceinvoke r2.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: org.jfree.data.Range getDataRange(org.jfree.chart.axis.ValueAxis)>;org.jfree.chart.plot.XYPlot;false;false;2026;61;5;2507;true;false;0;235329744;
