Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;EmptyVector;ForwardQuery: (dacapo.chart.ChartHarness.iterate $r5 = new Vector,$r5 (ChartHarness.iterate) Value: new java.util.Vector);<dacapo.chart.ChartHarness: void iterate(java.lang.String)>;dacapo.chart.ChartHarness;false;false;415;220;340;34;11;2488;
ideal;EmptyVector;ForwardQuery: (dacapo.parser.ConfigFile.sizeClause $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;142;238;106;29;14;2488;
ideal;EmptyVector;ForwardQuery: (dacapo.parser.ConfigFile.<init> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;241;782;119;116;34;2488;
ideal;EmptyVector;ForwardQuery: (dacapo.TestHarness.vectorise $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;184;240;145;33;14;2488;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;285;254;143;142;13;2488;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;false;633;1608;506;127;32;2488;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;<dacapo.chart.ChartHarness: void iterate(java.lang.String)>;dacapo.chart.ChartHarness;false;false;81;171;25;56;10;2488;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;106;560;25;81;13;2488;
ideal;IteratorHasNext;ForwardQuery: (org.jfree.chart.plot.CategoryPlot.drawAxes $r11.iterator(),r39 (CategoryPlot.drawAxes) Value: interfaceinvoke $r11.<java.util.List: java.util.Iterator iterator()>());<org.jfree.chart.plot.CategoryPlot: java.util.Map drawAxes(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.CategoryPlot;false;false;350;203;287;17;9;2488;
ideal;IteratorHasNext;ForwardQuery: (org.jfree.chart.plot.XYPlot.drawAxes $r17.iterator(),r48 (XYPlot.drawAxes) Value: interfaceinvoke $r17.<java.util.List: java.util.Iterator iterator()>());<org.jfree.chart.plot.XYPlot: java.util.Map drawAxes(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.XYPlot;false;false;431;193;411;8;9;2488;
