Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode, addPath(Ljava/lang/String,)V >:NEW <Application,Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode$Attribute>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@781aff8b;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addPath(java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;0;0;0;0;0;4454;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/util/ManifestElement, getArrayFromList(Ljava/lang/String,)[Ljava/lang/String, >:NEW <Application,Ljava/util/Vector>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5b5f9003;<org.eclipse.osgi.util.ManifestElement: [Ljava.lang.String[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;2572;5616;0;0;82;4454;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/FilterImpl$Parser, parse_or(Lorg/eclipse/osgi/framework/internal/core/FilterImpl,)V >:NEW <Application,Ljava/util/Vector>@43 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7c11d32;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_or(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;19748;520891;0;0;3035;4454;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/ConditionalPermissionAdminImpl, <init>(Lorg/eclipse/osgi/framework/internal/core/Framework,Lorg/eclipse/osgi/framework/adaptor/PermissionStorage,)V >:NEW <Application,Ljava/util/Vector>@50 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2f9dda71;<org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl: void <init>(org.eclipse.osgi.framework.internal.core.Framework,org.eclipse.osgi.framework.adaptor.PermissionStorage)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl;false;false;2346;0;0;0;0;4454;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode, addAttribute(Ljava/lang/String,Ljava/lang/String,)V >:NEW <Application,Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode$Attribute>@59 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@58278366;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;0;0;0;0;0;4454;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/FrameworkSecurityManager, recursiveCheck(Ljava/util/Vector,[Lorg/osgi/service/condpermadmin/Condition,Ljava/util/Hashtable,Ljava/util/Hashtable,Lorg/eclipse/osgi/framework/internal/core/FrameworkSecurityManager$CheckContext,)Z >:NEW <Application,Ljava/util/Vector>@114 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5b8853;<org.eclipse.osgi.framework.internal.core.FrameworkSecurityManager: boolean recursiveCheck(java.util.Vector,[Lorg.osgi.service.condpermadmin.Condition[],java.util.Hashtable,java.util.Hashtable,org.eclipse.osgi.framework.internal.core.FrameworkSecurityManager$CheckContext)>;org.eclipse.osgi.framework.internal.core.FrameworkSecurityManager;false;true;0;0;0;0;0;4454;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/PermissionAdminImpl, getPermissionInfos(Ljava/lang/String,)[Lorg/osgi/service/permissionadmin/PermissionInfo, >:NEW <Application,Ljava/util/Vector>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@595f9916;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: [Lorg.osgi.service.permissionadmin.PermissionInfo[] getPermissionInfos(java.lang.String)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;2369;0;0;0;0;4454;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode, addAttribute(Ljava/lang/String,Ljava/lang/String,)V >:NEW <Application,Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode$Attribute>@17 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2055833f;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;0;0;0;0;0;4454;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/ConditionalPermissions, <init>(Lorg/eclipse/osgi/framework/internal/core/AbstractBundle,Lorg/osgi/service/condpermadmin/ConditionalPermissionAdmin,)V >:NEW <Application,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@17216605;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: void <init>(org.eclipse.osgi.framework.internal.core.AbstractBundle,org.osgi.service.condpermadmin.ConditionalPermissionAdmin)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;true;0;0;0;0;0;4454;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/FilterImpl$Parser, parse_and(Lorg/eclipse/osgi/framework/internal/core/FilterImpl,)V >:NEW <Application,Ljava/util/Vector>@43 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1de5cc88;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_and(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;19708;531938;0;0;3035;4454;0;
