Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71a4f441;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@9d193dee;false;false;3349;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@13866329;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;2650;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInflaterInputStream>@57 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2eda2062;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@9d193dee;false;false;2479;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/Framework, loadVMProfile()V >:NEW <Application,Ljava/io/BufferedInputStream>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1a9ec80e;<org.eclipse.osgi.framework.internal.core.Framework: void loadVMProfile()>;org.eclipse.osgi.framework.internal.core.Framework;false;false;2624;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/jar/Manifest, read(Ljava/io/InputStream,)V >:NEW <Primordial,Ljava/util/jar/Manifest$FastInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@126f8f24;<java.util.jar.Manifest: void read(java.io.InputStream)>;<Primordial,Ljava.util.jar.Manifest;false;false;14272;365402;0;0;3035;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/eclipse/core/runtime/adaptor/LocationManager, computeDefaultUserAreaLocation(Ljava/lang/String,)Ljava/lang/String, >:NEW <Application,Ljava/io/FileInputStream>@66 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@35e98af;<org.eclipse.core.runtime.adaptor.LocationManager: java.lang.String computeDefaultUserAreaLocation(java.lang.String)>;org.eclipse.core.runtime.adaptor.LocationManager;false;false;2347;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInputStream>@54 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@afde064;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@9d193dee;false;false;2567;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/DataInputStream, readLine()Ljava/lang/String, >:NEW <Primordial,Ljava/io/PushbackInputStream>@104 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6b1321b7;<java.io.DataInputStream: java.lang.String readLine()>;<Primordial,Ljava.io.DataInputStream;false;false;9552;215517;0;0;3035;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/jar/JarFile, getInputStream(Ljava/util/zip/ZipEntry,)Ljava/io/InputStream, >:NEW <Primordial,Ljava/util/jar/JarVerifier$VerifierStream>@46 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@12192604;<java.util.jar.JarFile: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;<Primordial,Ljava.util.jar.JarFile;false;true;0;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{synthetic  factory < Primordial, Ljava/lang/reflect/Constructor, newInstance([Ljava/lang/Object,)Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileInputStream>@0 in ReceiverInstanceContext<[ConstantKey:< Primordial, Ljava/io/FileInputStream, <init>(Ljava/lang/String,)V >:class com.ibm.wala.classLoader.ShrikeCTMethod]>};com.ibm.wala.util.collections.NonNullSingletonIterator@6075b369;<java.lang.reflect.Constructor: java.lang.Object newInstance([Ljava.lang.Object[])>;<Primordial,Ljava.lang.reflect.Constructor;false;false;2379;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/PermissionAdminImpl, createProtectionDomain(Lorg/eclipse/osgi/framework/internal/core/AbstractBundle,)Lorg/eclipse/osgi/framework/adaptor/BundleProtectionDomain, >:NEW <Application,Ljava/io/DataInputStream>@74 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@231cdda8;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;2576;4493;0;0;157;4454;0;
fink-apmust;IO;SITE_IN_NODE{synthetic  factory < Primordial, Ljava/lang/reflect/Constructor, newInstance([Ljava/lang/Object,)Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileInputStream>@0 in ReceiverInstanceContext<[ConstantKey:< Primordial, Ljava/io/FileInputStream, <init>(Ljava/io/FileDescriptor,)V >:class com.ibm.wala.classLoader.ShrikeCTMethod]>};com.ibm.wala.util.collections.NonNullSingletonIterator@6b70d1fb;<java.lang.reflect.Constructor: java.lang.Object newInstance([Ljava.lang.Object[])>;<Primordial,Ljava.lang.reflect.Constructor;false;false;2515;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/util/SecureAction$4, run()Ljava/lang/Object, >:NEW <Application,Ljava/io/FileInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3b170235;<org.eclipse.osgi.framework.util.SecureAction$4: java.lang.Object run()>;org.eclipse.osgi.framework.util.SecureAction$4;false;false;27050;710227;0;0;2876;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/jar/JarFile, getManifestFromReference()Ljava/util/jar/Manifest, >:NEW <Primordial,Ljava/io/ByteArrayInputStream>@52 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@63de4fa;<java.util.jar.JarFile: java.util.jar.Manifest getManifestFromReference()>;<Primordial,Ljava.util.jar.JarFile;false;true;0;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/util/zip/ZipInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2cbe455c;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;2597;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/protocol/reference/ReferenceURLConnection, getInputStream()Ljava/io/InputStream, >:NEW <Application,Lorg/eclipse/osgi/framework/internal/core/ReferenceInputStream>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7e747037;<org.eclipse.osgi.framework.internal.protocol.reference.ReferenceURLConnection: java.io.InputStream getInputStream()>;org.eclipse.osgi.framework.internal.protocol.reference.ReferenceURLConnection;false;true;0;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4d0e1a9a;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;2437;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFile(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@25218a4d;<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;2559;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/util/SecureAction, getFileInputStream(Ljava/io/File,)Ljava/io/FileInputStream, >:NEW <Application,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@bf2aa32;<org.eclipse.osgi.framework.util.SecureAction: java.io.FileInputStream getFileInputStream(java.io.File)>;org.eclipse.osgi.framework.util.SecureAction;false;false;2486;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{synthetic  factory < Primordial, Ljava/lang/reflect/Constructor, newInstance([Ljava/lang/Object,)Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileInputStream>@0 in ReceiverInstanceContext<[ConstantKey:< Primordial, Ljava/io/FileInputStream, <init>(Ljava/io/File,)V >:class com.ibm.wala.classLoader.ShrikeCTMethod]>};com.ibm.wala.util.collections.NonNullSingletonIterator@56da96b3;<java.lang.reflect.Constructor: java.lang.Object newInstance([Ljava.lang.Object[])>;<Primordial,Ljava.lang.reflect.Constructor;false;false;2461;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFile(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/FileInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6b3d9c38;<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;2590;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@362 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@426710f0;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;true;0;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5c5a91b4;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;2392;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5e37fb82;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;2453;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@59ec7020;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;2309;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, getInputStream(Ljava/util/zip/ZipEntry,)Ljava/io/InputStream, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInflaterInputStream>@227 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@23f60b7d;<java.util.zip.ZipFile: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;<Primordial,Ljava.util.zip.ZipFile;false;false;2388;190;0;0;18;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, getInputStream(Ljava/util/zip/ZipEntry,)Ljava/io/InputStream, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInputStream>@103 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2ba9f986;<java.util.zip.ZipFile: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;<Primordial,Ljava.util.zip.ZipFile;false;false;2529;383;0;0;28;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/FileInputStream>@29 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1d2def55;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;true;0;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/FileInputStream>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@bd273b2;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;2571;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFileResource(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@41 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@78128dd0;<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;2407;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/jar/JarVerifier, <init>([B)V >:NEW <Primordial,Ljava/io/ByteArrayOutputStream>@129 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7ce29a2d;<java.util.jar.JarVerifier: void <init>([B[])>;<Primordial,Ljava.util.jar.JarVerifier;false;false;12755;216181;0;0;3035;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/TeeOutputStream, newLog()V >:NEW <Application,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@48cb2d73;<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;false;false;2547;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/io/FileOutputStream>@90 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@243bf087;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;2625;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{synthetic  factory < Primordial, Ljava/lang/reflect/Constructor, newInstance([Ljava/lang/Object,)Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileOutputStream>@0 in ReceiverInstanceContext<[ConstantKey:< Primordial, Ljava/io/FileOutputStream, <init>(Ljava/io/FileDescriptor,)V >:class com.ibm.wala.classLoader.ShrikeCTMethod]>};com.ibm.wala.util.collections.NonNullSingletonIterator@3086f480;<java.lang.reflect.Constructor: java.lang.Object newInstance([Ljava.lang.Object[])>;<Primordial,Ljava.lang.reflect.Constructor;false;false;2549;0;0;0;0;4454;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/util/SecureAction$5, run()Ljava/lang/Object, >:NEW <Application,Ljava/io/FileOutputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3a4a5f3c;<org.eclipse.osgi.framework.util.SecureAction$5: java.lang.Object run()>;org.eclipse.osgi.framework.util.SecureAction$5;false;false;22049;524891;0;0;3035;4454;0;
