Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, reload()V >:NEW <Primordial,Ljava/util/ServiceLoader$LazyIterator>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@243bf087;<java.util.ServiceLoader: void reload()>;<Primordial,Ljava.util.ServiceLoader;false;true;0;0;0;0;0;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5b5f9003;<java.util.zip.ZipFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.zip.ZipFile;false;false;19355;504548;0;0;3035;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/concurrent/ConcurrentHashMap, keys()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/concurrent/ConcurrentHashMap$KeyIterator>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7c11d32;<java.util.concurrent.ConcurrentHashMap: java.util.Enumeration keys()>;<Primordial,Ljava.util.concurrent.ConcurrentHashMap;false;false;2497;9673;0;0;141;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/Vector$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2f9dda71;<java.util.Vector: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.Vector;false;false;22834;599989;0;0;3035;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/jar/JarFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/jar/JarFile$JarEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@58278366;<java.util.jar.JarFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.jar.JarFile;false;false;15731;423470;0;0;3035;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Vector$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6b1321b7;<java.util.Vector: java.util.Iterator iterator()>;<Primordial,Ljava.util.Vector;false;true;0;0;0;0;0;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@65f3e805;<java.util.ArrayList: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.ArrayList;false;false;27077;758242;0;0;3035;4454;0;
fink-apmust;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@58c42c8c;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;2336;0;0;0;0;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$Values, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$ValueIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7f12094d;<java.util.HashMap$Values: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$Values;false;true;0;0;0;0;0;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@305552d6;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;true;0;0;0;0;0;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/LinkedList$ListItr>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@61ab6521;<java.util.LinkedList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.LinkedList;false;false;2356;898;0;0;27;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ServiceLoader$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@68fc9167;<java.util.ServiceLoader: java.util.Iterator iterator()>;<Primordial,Ljava.util.ServiceLoader;false;true;0;0;0;0;0;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Hashtable, getIterator(I)Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Hashtable$Enumerator>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2e7bb00e;<java.util.Hashtable: java.util.Iterator getIterator(int)>;<Primordial,Ljava.util.Hashtable;false;true;0;0;0;0;0;4454;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/WeakHashMap$EntrySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/WeakHashMap$EntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1d1cfe4;<java.util.WeakHashMap$EntrySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.WeakHashMap$EntrySet;false;true;0;0;0;0;0;4454;0;
