Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/JceSecurityManager, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@29f3c438;<javax.crypto.JceSecurityManager: void <clinit>()>;<Primordial,Ljavax.crypto.JceSecurityManager;false;false;3797;0;0;0;0;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode, addPath(Ljava/lang/String,)V >:NEW <Application,Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode$Attribute>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@dbddbe3;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addPath(java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;true;false;28934;799884;0;0;3114;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/util/ManifestElement, getArrayFromList(Ljava/lang/String,)[Ljava/lang/String, >:NEW <Application,Ljava/util/Vector>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7a83ccd2;<org.eclipse.osgi.util.ManifestElement: [Ljava.lang.String[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;3002;3710;0;0;82;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPermissionCollection, <init>()V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@44aa2e13;<javax.crypto.CryptoPermissionCollection: void <init>()>;<Primordial,Ljavax.crypto.CryptoPermissionCollection;false;false;28161;803290;0;0;3114;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, <init>()V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@599a9cb2;<javax.crypto.CryptoPolicyParser: void <init>()>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;27312;754190;0;0;2964;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/FilterImpl$Parser, parse_or(Lorg/eclipse/osgi/framework/internal/core/FilterImpl,)V >:NEW <Application,Ljava/util/Vector>@43 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3a1b36a1;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_or(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;12319;284876;0;0;2964;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, getPermissions()[Ljavax/crypto/CryptoPermission, >:NEW <Primordial,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5e1a986c;<javax.crypto.CryptoPolicyParser: [Ljavax.crypto.CryptoPermission[] getPermissions()>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;3067;1931;0;0;66;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <init>(Ljava/lang/Void,Ljava/lang/ClassLoader,)V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4b55ff0a;<java.lang.ClassLoader: void <init>(java.lang.Void,java.lang.ClassLoader)>;<Primordial,Ljava.lang.ClassLoader;false;false;3009;0;0;0;0;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{synthetic  factory < Primordial, Ljava/lang/reflect/Constructor, newInstance([Ljava/lang/Object,)Ljava/lang/Object, >:NEW <Primordial,Ljava/util/Vector>@0 in ReceiverInstanceContext<[ConstantKey:< Primordial, Ljava/util/Vector, <init>(Ljava/util/Collection,)V >:class com.ibm.wala.classLoader.ShrikeCTMethod]>};com.ibm.wala.util.collections.NonNullSingletonIterator@46a795de;<java.lang.reflect.Constructor: java.lang.Object newInstance([Ljava.lang.Object[])>;<Primordial,Ljava.lang.reflect.Constructor;false;false;2991;0;0;0;0;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/ConditionalPermissionAdminImpl, <init>(Lorg/eclipse/osgi/framework/internal/core/Framework,Lorg/eclipse/osgi/framework/adaptor/PermissionStorage,)V >:NEW <Application,Ljava/util/Vector>@50 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1e30db85;<org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl: void <init>(org.eclipse.osgi.framework.internal.core.Framework,org.eclipse.osgi.framework.adaptor.PermissionStorage)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl;false;false;3178;0;0;0;0;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode, addAttribute(Ljava/lang/String,Ljava/lang/String,)V >:NEW <Application,Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode$Attribute>@59 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@538a2f0e;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;true;false;28025;799890;0;0;3114;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, isConsistent(Ljava/lang/String,Ljava/lang/String,Ljava/util/Hashtable,)Z >:NEW <Primordial,Ljava/util/Vector>@24 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@d2708a7;<javax.crypto.CryptoPolicyParser: boolean isConsistent(java.lang.String,java.lang.String,java.util.Hashtable)>;<Primordial,Ljavax.crypto.CryptoPolicyParser;true;false;27763;801454;0;0;3114;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/FrameworkSecurityManager, recursiveCheck(Ljava/util/Vector,[Lorg/osgi/service/condpermadmin/Condition,Ljava/util/Hashtable,Ljava/util/Hashtable,Lorg/eclipse/osgi/framework/internal/core/FrameworkSecurityManager$CheckContext,)Z >:NEW <Application,Ljava/util/Vector>@114 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@508ad266;<org.eclipse.osgi.framework.internal.core.FrameworkSecurityManager: boolean recursiveCheck(java.util.Vector,[Lorg.osgi.service.condpermadmin.Condition[],java.util.Hashtable,java.util.Hashtable,org.eclipse.osgi.framework.internal.core.FrameworkSecurityManager$CheckContext)>;org.eclipse.osgi.framework.internal.core.FrameworkSecurityManager;true;false;28117;801362;0;0;3114;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoAllPermissionCollection, elements()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2313db84;<javax.crypto.CryptoAllPermissionCollection: java.util.Enumeration elements()>;<Primordial,Ljavax.crypto.CryptoAllPermissionCollection;false;false;18997;497685;0;0;2964;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser$GrantEntry, <init>()V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@216372b7;<javax.crypto.CryptoPolicyParser$GrantEntry: void <init>()>;<Primordial,Ljavax.crypto.CryptoPolicyParser$GrantEntry;false;false;27720;801430;0;0;3114;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/PermissionAdminImpl, getPermissionInfos(Ljava/lang/String,)[Lorg/osgi/service/permissionadmin/PermissionInfo, >:NEW <Application,Ljava/util/Vector>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@14b4340c;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: [Lorg.osgi.service.permissionadmin.PermissionInfo[] getPermissionInfos(java.lang.String)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;2855;0;0;0;0;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode, addAttribute(Ljava/lang/String,Ljava/lang/String,)V >:NEW <Application,Lorg/eclipse/osgi/framework/internal/core/BundleNativeCode$Attribute>@17 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@12abcd1e;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;true;false;27968;799890;0;0;3114;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <init>(Ljava/lang/Void,Ljava/lang/ClassLoader,)V >:NEW <Primordial,Ljava/util/Vector>@53 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2fd9fb34;<java.lang.ClassLoader: void <init>(java.lang.Void,java.lang.ClassLoader)>;<Primordial,Ljava.lang.ClassLoader;false;false;2926;0;0;0;0;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPermissions, getMinimum(ILjava/security/PermissionCollection,)[Ljavax/crypto/CryptoPermission, >:NEW <Primordial,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5bfc79cb;<javax.crypto.CryptoPermissions: [Ljavax.crypto.CryptoPermission[] getMinimum(int,java.security.PermissionCollection)>;<Primordial,Ljavax.crypto.CryptoPermissions;false;false;3033;1605;0;0;57;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, isConsistent(Ljava/lang/String,Ljava/lang/String,Ljava/util/Hashtable,)Z >:NEW <Primordial,Ljava/util/Vector>@92 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1537c744;<javax.crypto.CryptoPolicyParser: boolean isConsistent(java.lang.String,java.lang.String,java.util.Hashtable)>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;12128;285892;0;0;2964;4454;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/ConditionalPermissions, <init>(Lorg/eclipse/osgi/framework/internal/core/AbstractBundle,Lorg/osgi/service/condpermadmin/ConditionalPermissionAdmin,)V >:NEW <Application,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3a0896b3;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: void <init>(org.eclipse.osgi.framework.internal.core.AbstractBundle,org.osgi.service.condpermadmin.ConditionalPermissionAdmin)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;true;false;27970;801508;0;0;3114;4454;0;
