Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/Framework, loadVMProfile()V >:NEW <Application,Ljava/io/BufferedInputStream>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@29f3c438;<org.eclipse.osgi.framework.internal.core.Framework: void loadVMProfile()>;org.eclipse.osgi.framework.internal.core.Framework;false;false;3776;0;0;0;0;4454;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/core/runtime/adaptor/LocationManager, computeDefaultUserAreaLocation(Ljava/lang/String,)Ljava/lang/String, >:NEW <Application,Ljava/io/FileInputStream>@66 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@587c5c1;<org.eclipse.core.runtime.adaptor.LocationManager: java.lang.String computeDefaultUserAreaLocation(java.lang.String)>;org.eclipse.core.runtime.adaptor.LocationManager;false;false;2848;0;0;0;0;4454;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/PermissionAdminImpl, createProtectionDomain(Lorg/eclipse/osgi/framework/internal/core/AbstractBundle,)Lorg/eclipse/osgi/framework/adaptor/BundleProtectionDomain, >:NEW <Application,Ljava/io/DataInputStream>@74 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@643ba1ed;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;7266;119568;0;0;2964;4454;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/util/SecureAction$4, run()Ljava/lang/Object, >:NEW <Application,Ljava/io/FileInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3d3a1903;<org.eclipse.osgi.framework.util.SecureAction$4: java.lang.Object run()>;org.eclipse.osgi.framework.util.SecureAction$4;false;false;11394;304238;0;0;3114;4454;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/protocol/reference/ReferenceURLConnection, getInputStream()Ljava/io/InputStream, >:NEW <Application,Lorg/eclipse/osgi/framework/internal/core/ReferenceInputStream>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@26582ca;<org.eclipse.osgi.framework.internal.protocol.reference.ReferenceURLConnection: java.io.InputStream getInputStream()>;org.eclipse.osgi.framework.internal.protocol.reference.ReferenceURLConnection;false;false;25966;799875;0;0;3114;4454;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/util/SecureAction, getFileInputStream(Ljava/io/File,)Ljava/io/FileInputStream, >:NEW <Application,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@153cb763;<org.eclipse.osgi.framework.util.SecureAction: java.io.FileInputStream getFileInputStream(java.io.File)>;org.eclipse.osgi.framework.util.SecureAction;false;false;2753;0;0;0;0;4454;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/util/SecureAction$5, run()Ljava/lang/Object, >:NEW <Application,Ljava/io/FileOutputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6f6cc7da;<org.eclipse.osgi.framework.util.SecureAction$5: java.lang.Object run()>;org.eclipse.osgi.framework.util.SecureAction$5;false;false;12693;304238;0;0;3114;4454;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/util/SecureAction, getFileOutputStream(Ljava/io/File,Z)Ljava/io/FileOutputStream, >:NEW <Application,Ljava/io/FileOutputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@613f7eb7;<org.eclipse.osgi.framework.util.SecureAction: java.io.FileOutputStream getFileOutputStream(java.io.File,boolean)>;org.eclipse.osgi.framework.util.SecureAction;false;false;2776;0;0;0;0;4454;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/core/runtime/internal/adaptor/Locker_JavaNio, lock()Z >:NEW <Application,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@565aa4ac;<org.eclipse.core.runtime.internal.adaptor.Locker_JavaNio: boolean lock()>;org.eclipse.core.runtime.internal.adaptor.Locker_JavaNio;false;false;2890;0;0;0;0;4454;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/core/runtime/adaptor/EclipseLog, getStackTrace(Ljava/lang/Throwable,)Ljava/lang/String, >:NEW <Application,Ljava/io/PrintWriter>@14 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@29f3c438;<org.eclipse.core.runtime.adaptor.EclipseLog: java.lang.String getStackTrace(java.lang.Throwable)>;org.eclipse.core.runtime.adaptor.EclipseLog;false;false;4002;0;0;0;0;4454;0;
