Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, reload()V >:NEW <Primordial,Ljava/util/ServiceLoader$LazyIterator>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@565aa4ac;<java.util.ServiceLoader: void reload()>;<Primordial,Ljava.util.ServiceLoader;false;false;28848;752723;0;0;2964;4454;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@34136bd1;<java.util.zip.ZipFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.zip.ZipFile;false;false;25873;752094;0;0;2964;4454;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/concurrent/ConcurrentHashMap, keys()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/concurrent/ConcurrentHashMap$KeyIterator>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@16d431b4;<java.util.concurrent.ConcurrentHashMap: java.util.Enumeration keys()>;<Primordial,Ljava.util.concurrent.ConcurrentHashMap;false;false;2984;9466;0;0;142;4454;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/Vector$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6c0b51da;<java.util.Vector: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.Vector;false;false;25415;752844;0;0;2964;4454;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/jar/JarFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/jar/JarFile$JarEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7558633;<java.util.jar.JarFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.jar.JarFile;false;false;24980;751988;0;0;2964;4454;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Vector$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5657967b;<java.util.Vector: java.util.Iterator iterator()>;<Primordial,Ljava.util.Vector;false;false;25054;752962;0;0;2964;4454;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@61394494;<java.util.ArrayList: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.ArrayList;false;false;25503;752844;0;0;2964;4454;0;
fink-unique;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@33e4b9c4;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;2783;0;0;0;0;4454;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$Values, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$ValueIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5cff729b;<java.util.HashMap$Values: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$Values;false;false;25889;755859;0;0;2964;4454;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@dada335;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;true;false;25825;755656;0;0;2964;4454;0;
