Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;EmptyVector;ForwardQuery: (parse_substring $r5 = new Vector,$r5 (FilterImpl$Parser.parse_substring) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.Object parse_substring()>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;true;false;8967;210;13;3077;true;false;0;178768728;
ideal;EmptyVector;ForwardQuery: (addAttribute $r6 = new BundleNativeCode$Attribute,$r6 (BundleNativeCode.addAttribute) Value: new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute);$r6 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;false;11918;420;23;3077;true;true;0;188492352;
ideal;EmptyVector;ForwardQuery: (vectorise $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;4673;240;14;3077;true;false;0;192982016;
ideal;EmptyVector;ForwardQuery: (add $r7 = new Vector,$r7 (UnresolvedPermissionCollection.add) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection: void add(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection;false;false;3933;163;12;3077;true;true;0;199658120;
ideal;EmptyVector;ForwardQuery: (getArrayFromList $r7 = new Vector,$r7 (EclipseStarter.getArrayFromList) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.core.runtime.adaptor.EclipseStarter: java.lang.String[] getArrayFromList(java.lang.String,java.lang.String)>;org.eclipse.core.runtime.adaptor.EclipseStarter;false;false;3122;147;14;3077;true;false;0;202371048;
ideal;EmptyVector;ForwardQuery: (getArrayFromList $r5 = new Vector,$r5 (ManifestElement.getArrayFromList) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.eclipse.osgi.util.ManifestElement: java.lang.String[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;2687;147;14;3077;true;false;0;205262064;
ideal;EmptyVector;ForwardQuery: (implies $r20 = new Vector,$r20 (ConditionalPermissions.implies) Value: new java.util.Vector);$r20 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: boolean implies(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;false;3015;239;12;3077;true;false;0;210123440;
ideal;EmptyVector;ForwardQuery: (<init> $r7 = new Vector,$r7 (ConditionalPermissionAdminImpl.<init>) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl: void <init>(org.eclipse.osgi.framework.internal.core.Framework,org.eclipse.osgi.framework.adaptor.PermissionStorage)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl;false;true;607106;37314;1120;3077;true;true;0;875527928;
ideal;EmptyVector;ForwardQuery: (implies $r24 = new Vector,$r24 (ConditionalPermissions.implies) Value: new java.util.Vector);$r24 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: boolean implies(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;false;8206;238;11;3077;true;false;0;880401360;
ideal;EmptyVector;ForwardQuery: (sizeClause $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;8566;238;14;3077;true;false;0;883939096;
ideal;EmptyVector;ForwardQuery: (initAliases $r17 = new Vector,$r17 (AliasMapper.initAliases) Value: new java.util.Vector);$r17 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.AliasMapper: java.util.Hashtable initAliases(java.io.InputStream)>;org.eclipse.osgi.framework.internal.core.AliasMapper;false;false;72984;222;14;3077;true;true;0;1339463168;
