Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_or(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;482;146;84;398;10;3077;null;202815528;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;166;560;80;86;13;3077;null;182926632;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection: void add(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection;false;true;10757;167;10757;0;11;3077;r0[domain, permissions, implied, allPermission, perms, table, array, next, value, permissions];451886392;
ideal-ap;EmptyVector;$r21 @ $r21 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;$r21 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;2761;447;2761;0;20;3077;r0[domain, permissions, implied, allPermission, perms, table, array, next, value, permissions];231710592;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PolicyHandler: java.lang.Object[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.framework.internal.core.PolicyHandler;false;false;84;215;17;67;13;3077;r0[domain, permissions, implied, allPermission, perms, table, array, next, value, permissions];201971080;
ideal-ap;EmptyVector;$r11 @ $r11 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;$r11 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;2312;468;2312;0;22;3077;r0[domain, permissions, implied, allPermission, perms, table, array, next, value, permissions];231763880;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl: void <init>(org.eclipse.osgi.framework.internal.core.Framework,org.eclipse.osgi.framework.adaptor.PermissionStorage)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl;false;true;27292;419785;27292;0;653;3077;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];619680280;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.eclipse.osgi.util.ManifestElement: org.eclipse.osgi.util.ManifestElement[] parseHeader(java.lang.String,java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;1253;1310;695;558;10;3077;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];219118752;
ideal-ap;EmptyVector;$r24 @ $r24 = new java.util.Vector;$r24 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: boolean implies(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;false;1818;253;34;1784;10;3077;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];218408840;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_and(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;2721;146;2091;630;10;3077;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];217958208;
