Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.FilterImpl$Parser.parse_and $r5 = new Vector,$r5 (FilterImpl$Parser.parse_and) Value: new java.util.Vector);<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_and(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;291;109;205;45;11;3055;
ideal;EmptyVector;ForwardQuery: (dacapo.parser.ConfigFile.sizeClause $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;312;238;250;54;14;3055;
ideal;EmptyVector;ForwardQuery: (dacapo.parser.ConfigFile.<init> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;373;782;199;169;34;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.FilterImpl$Parser.parse_or $r5 = new Vector,$r5 (FilterImpl$Parser.parse_or) Value: new java.util.Vector);<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_or(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;141;109;96;32;11;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.ConditionalPermissions.<init> $r5 = new Vector,$r5 (ConditionalPermissions.<init>) Value: new java.util.Vector);<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: void <init>(org.eclipse.osgi.framework.internal.core.AbstractBundle,org.osgi.service.condpermadmin.ConditionalPermissionAdmin)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;true;30008;14550;30005;0;215;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection.add $r7 = new Vector,$r7 (UnresolvedPermissionCollection.add) Value: new java.util.Vector);<org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection: void add(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection;false;false;121;281;85;28;15;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.core.runtime.adaptor.EclipseStarter.getArrayFromList $r7 = new Vector,$r7 (EclipseStarter.getArrayFromList) Value: new java.util.Vector);<org.eclipse.core.runtime.adaptor.EclipseStarter: java.lang.String[] getArrayFromList(java.lang.String,java.lang.String)>;org.eclipse.core.runtime.adaptor.EclipseStarter;false;false;45;147;33;10;14;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl.<init> $r7 = new Vector,$r7 (ConditionalPermissionAdminImpl.<init>) Value: new java.util.Vector);<org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl: void <init>(org.eclipse.osgi.framework.internal.core.Framework,org.eclipse.osgi.framework.adaptor.PermissionStorage)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl;false;true;30004;13768;30001;0;118;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.util.ManifestElement.parseHeader $r7 = new Vector,$r7 (ManifestElement.parseHeader) Value: new java.util.Vector);<org.eclipse.osgi.util.ManifestElement: org.eclipse.osgi.util.ManifestElement[] parseHeader(java.lang.String,java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;74;339;50;21;11;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.FilterImpl$Parser.parse_substring $r5 = new Vector,$r5 (FilterImpl$Parser.parse_substring) Value: new java.util.Vector);<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.Object parse_substring()>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;true;false;105;210;83;13;13;3055;
