Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/JceSecurityManager, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@586486c;<javax.crypto.JceSecurityManager: void <clinit>()>;<Primordial,Ljavax.crypto.JceSecurityManager;false;false;2265;0;0;0;0;3978;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@56ba8e8c;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;1525;0;0;0;0;3978;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@774c5e5c;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;false;false;1770;0;0;0;0;3978;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@78861d9e;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;2262;27781;0;0;314;3978;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPermissionCollection, <init>()V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@46fb9581;<javax.crypto.CryptoPermissionCollection: void <init>()>;<Primordial,Ljavax.crypto.CryptoPermissionCollection;false;false;9429;266250;0;0;1879;3978;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/fop/render/awt/AWTRenderer, <init>(Lorg/apache/fop/viewer/Translator,)V >:NEW <Application,Ljava/util/Vector>@27 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6fcc0a1;<org.apache.fop.render.awt.AWTRenderer: void <init>(org.apache.fop.viewer.Translator)>;org.apache.fop.render.awt.AWTRenderer;false;false;1463;0;0;0;0;3978;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, <init>()V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@29bd056a;<javax.crypto.CryptoPolicyParser: void <init>()>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;11090;368404;0;0;1879;3978;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@11c999da;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;5256;90521;0;0;604;3978;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, getPermissions()[Ljavax/crypto/CryptoPermission, >:NEW <Primordial,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@54f69311;<javax.crypto.CryptoPolicyParser: [Ljavax.crypto.CryptoPermission[] getPermissions()>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;1736;2570;0;0;66;3978;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <init>(Ljava/lang/Void,Ljava/lang/ClassLoader,)V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4ab86b2a;<java.lang.ClassLoader: void <init>(java.lang.Void,java.lang.ClassLoader)>;<Primordial,Ljava.lang.ClassLoader;false;false;1477;2117;0;0;61;3978;0;
