Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@586486c;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;2251;0;0;0;0;3978;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInflaterInputStream>@60 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@56ba8e8c;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@4f2e9865;false;false;1602;0;0;0;0;3978;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljavax/xml/transform/SecuritySupport$3, run()Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@65d6640;<javax.xml.transform.SecuritySupport$3: java.lang.Object run()>;<Primordial,Ljavax.xml.transform.SecuritySupport$3;false;false;9849;267728;0;0;1670;3978;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@672d8370;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;1412;0;0;0;0;3978;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInputStream>@57 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@13137835;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@4f2e9865;false;false;1426;0;0;0;0;3978;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@362 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4dffff9;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;7370;223821;0;0;1879;3978;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/jar/Manifest, read(Ljava/io/InputStream,)V >:NEW <Primordial,Ljava/util/jar/Manifest$FastInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5d3f8661;<java.util.jar.Manifest: void read(java.io.InputStream)>;<Primordial,Ljava.util.jar.Manifest;false;false;6079;168697;0;0;1879;3978;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@114badf0;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1414;0;0;0;0;3978;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@19e8fe55;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;1389;0;0;0;0;3978;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6d7bb5cc;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1356;0;0;0;0;3978;0;
