Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, reload()V >:NEW <Primordial,Ljava/util/ServiceLoader$LazyIterator>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7d5a0b14;<java.util.ServiceLoader: void reload()>;<Primordial,Ljava.util.ServiceLoader;false;true;0;0;0;0;0;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@771cbd13;<java.util.zip.ZipFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.zip.ZipFile;false;false;6213;154192;0;0;1879;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/concurrent/ConcurrentHashMap, keys()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/concurrent/ConcurrentHashMap$KeyIterator>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5d22ed6c;<java.util.concurrent.ConcurrentHashMap: java.util.Enumeration keys()>;<Primordial,Ljava.util.concurrent.ConcurrentHashMap;false;false;1633;9753;0;0;143;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/Vector$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@37c37d67;<java.util.Vector: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.Vector;false;false;2311;3527;0;0;52;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/jar/JarFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/jar/JarFile$JarEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5a4b8e25;<java.util.jar.JarFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.jar.JarFile;false;false;8136;257237;0;0;1879;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Vector$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5831989d;<java.util.Vector: java.util.Iterator iterator()>;<Primordial,Ljava.util.Vector;false;false;6451;185600;0;0;1887;3978;0;
fink-apmust;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@6aa9a93b;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;1345;0;0;0;0;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$Values, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$ValueIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@81dfdee;<java.util.HashMap$Values: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$Values;false;false;6837;129820;0;0;1887;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@14b9df65;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;false;6066;167576;0;0;1879;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ServiceLoader$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@391e5ffa;<java.util.ServiceLoader: java.util.Iterator iterator()>;<Primordial,Ljava.util.ServiceLoader;false;true;0;0;0;0;0;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Hashtable, getIterator(I)Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Hashtable$Enumerator>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5d98364c;<java.util.Hashtable: java.util.Iterator getIterator(int)>;<Primordial,Ljava.util.Hashtable;false;false;1541;6720;0;0;199;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/WeakHashMap$EntrySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/WeakHashMap$EntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@23d23d98;<java.util.WeakHashMap$EntrySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.WeakHashMap$EntrySet;false;false;1696;13420;0;0;201;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/nio/charset/Charset, providers()Ljava/util/Iterator, >:NEW <Primordial,Ljava/nio/charset/Charset$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4f9980e1;<java.nio.charset.Charset: java.util.Iterator providers()>;<Primordial,Ljava.nio.charset.Charset;false;false;17425;555880;0;0;1879;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedHashMap$LinkedEntrySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/LinkedHashMap$LinkedEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@17034458;<java.util.LinkedHashMap$LinkedEntrySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.LinkedHashMap$LinkedEntrySet;false;false;12270;390858;0;0;1879;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Collections, singletonIterator(Ljava/lang/Object,)Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Collections$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3e0e0ba7;<java.util.Collections: java.util.Iterator singletonIterator(java.lang.Object)>;<Primordial,Ljava.util.Collections;false;false;1355;0;0;0;0;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$EntrySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$EntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7df5549e;<java.util.HashMap$EntrySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$EntrySet;false;false;12555;241331;0;0;1887;3978;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$KeySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$KeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@10ec4721;<java.util.HashMap$KeySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$KeySet;false;false;6853;193827;0;0;1887;3978;0;
