Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1b6cad77;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;11357;260512;0;0;1736;3978;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInflaterInputStream>@60 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1280bae3;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@4f2e9865;false;false;2235;0;0;0;0;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljavax/xml/transform/SecuritySupport$3, run()Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@256a5df0;<javax.xml.transform.SecuritySupport$3: java.lang.Object run()>;<Primordial,Ljavax.xml.transform.SecuritySupport$3;false;false;5311;115088;0;0;1736;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1868ed54;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;2145;0;0;0;0;3978;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInputStream>@57 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@131777e8;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@4f2e9865;false;false;2071;0;0;0;0;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@362 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@45790cb;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;9852;260478;0;0;1736;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/jar/Manifest, read(Ljava/io/InputStream,)V >:NEW <Primordial,Ljava/util/jar/Manifest$FastInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@73a5d86c;<java.util.jar.Manifest: void read(java.io.InputStream)>;<Primordial,Ljava.util.jar.Manifest;false;false;3726;56055;0;0;1736;3978;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2cf88901;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1991;0;0;0;0;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4780341;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;2079;0;0;0;0;3978;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3c910acd;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;2027;0;0;0;0;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, getInputStream(Ljava/util/zip/ZipEntry,)Ljava/io/InputStream, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInflaterInputStream>@227 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@612ac38b;<java.util.zip.ZipFile: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;<Primordial,Ljava.util.zip.ZipFile;false;false;10703;307221;0;0;1929;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/jar/JarFile, getInputStream(Ljava/util/zip/ZipEntry,)Ljava/io/InputStream, >:NEW <Primordial,Ljava/util/jar/JarVerifier$VerifierStream>@46 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@fb2c2f3;<java.util.jar.JarFile: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;<Primordial,Ljava.util.jar.JarFile;false;false;9833;261369;0;0;1743;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljavax/xml/parsers/SecuritySupport$3, run()Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6dd2e453;<javax.xml.parsers.SecuritySupport$3: java.lang.Object run()>;<Primordial,Ljavax.xml.parsers.SecuritySupport$3;false;false;5451;115088;0;0;1736;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, getInputStream(Ljava/util/zip/ZipEntry,)Ljava/io/InputStream, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInputStream>@103 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@433b1597;<java.util.zip.ZipFile: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;<Primordial,Ljava.util.zip.ZipFile;false;false;10729;309073;0;0;1929;3978;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5d5cd210;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@4f2e9865;false;false;1945;0;0;0;0;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/FileInputStream>@29 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@14d18029;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;5980;138502;0;0;1929;3978;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/jar/JarFile, getManifestFromReference()Ljava/util/jar/Manifest, >:NEW <Primordial,Ljava/io/ByteArrayInputStream>@52 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6edb1e9c;<java.util.jar.JarFile: java.util.jar.Manifest getManifestFromReference()>;<Primordial,Ljava.util.jar.JarFile;false;false;10474;307115;0;0;1929;3978;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/FileInputStream>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@75d7297d;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;1949;0;0;0;0;3978;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFileResource(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@41 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4e20a985;<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;2116;0;0;0;0;3978;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/util/zip/ZipInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@56e8a8a0;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;1998;0;0;0;0;3978;0;
