Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, reload()V >:NEW <Primordial,Ljava/util/ServiceLoader$LazyIterator>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1b6cad77;<java.util.ServiceLoader: void reload()>;<Primordial,Ljava.util.ServiceLoader;false;false;11113;260647;0;0;1736;3978;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1280bae3;<java.util.zip.ZipFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.zip.ZipFile;false;false;9983;259466;0;0;1736;3978;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/concurrent/ConcurrentHashMap, keys()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/concurrent/ConcurrentHashMap$KeyIterator>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@256a5df0;<java.util.concurrent.ConcurrentHashMap: java.util.Enumeration keys()>;<Primordial,Ljava.util.concurrent.ConcurrentHashMap;false;false;2202;9552;0;0;144;3978;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/Vector$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1868ed54;<java.util.Vector: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.Vector;false;false;2165;4734;0;0;52;3978;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/jar/JarFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/jar/JarFile$JarEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@131777e8;<java.util.jar.JarFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.jar.JarFile;false;false;9883;259360;0;0;1736;3978;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Vector$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@45790cb;<java.util.Vector: java.util.Iterator iterator()>;<Primordial,Ljava.util.Vector;false;false;4650;39840;0;0;252;3978;0;
fink-unique;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@4e26987b;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;1969;0;0;0;0;3978;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$Values, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$ValueIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@50bb1c1f;<java.util.HashMap$Values: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$Values;false;false;2736;4976;0;0;108;3978;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@39342614;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;false;9797;261225;0;0;1736;3978;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ServiceLoader$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7981963f;<java.util.ServiceLoader: java.util.Iterator iterator()>;<Primordial,Ljava.util.ServiceLoader;false;false;9745;260487;0;0;1736;3978;0;
