Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath
ideal;EmptyVector;ForwardQuery: (pushInitializingProxy $r5 = new Stack,$r5 (ThreadState.pushInitializingProxy) Value: new java.util.Stack);$r5 = new java.util.Stack;<org.python.core.ThreadState: void pushInitializingProxy(org.python.core.PyInstance)>;org.python.core.ThreadState;true;false;622;239;24;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r1 = new Vector,$r1 (PyCompoundCallable.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.PyCompoundCallable: void <init>()>;org.python.core.PyCompoundCallable;false;true;30072;4834;1606;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r1 = new Vector,$r1 (CommandLineOptions.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.util.CommandLineOptions: void <init>()>;org.python.util.CommandLineOptions;true;false;408;1235;17;4247;true;true;
ideal;EmptyVector;ForwardQuery: (sizeClause $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;50;238;14;4247;true;false;
ideal;EmptyVector;ForwardQuery: (<init> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;157;800;34;4247;true;true;
ideal;EmptyVector;ForwardQuery: (makeClass $r4 = new Vector,$r4 (MakeProxies.makeClass) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.python.core.MakeProxies: java.lang.Class makeClass(java.lang.Class,java.util.Vector,java.lang.String,java.io.ByteArrayOutputStream)>;org.python.core.MakeProxies;false;false;59;129;15;4247;true;false;
ideal;EmptyVector;ForwardQuery: (<init> $r9 = new Vector,$r9 (ScopeInfo.<init>) Value: new java.util.Vector);$r9 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;30021;12390;1345;4247;true;true;
ideal;EmptyVector;ForwardQuery: (getAccessibleInterfaces $r3 = new Vector,$r3 (PyJavaClass.getAccessibleInterfaces) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.Class[] getAccessibleInterfaces(java.lang.Class)>;org.python.core.PyJavaClass;false;false;39;126;13;4247;true;false;
ideal;EmptyVector;ForwardQuery: (<init> $r9 = new Vector,$r9 (Code.<init>) Value: new java.util.Vector);$r9 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;30023;12559;1866;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r3 = new Stack,$r3 (ScopesCompiler.<init>) Value: new java.util.Stack);$r3 = new java.util.Stack;<org.python.compiler.ScopesCompiler: void <init>(org.python.compiler.CompilationContext,java.util.Hashtable)>;org.python.compiler.ScopesCompiler;false;true;30042;9795;1913;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r8 = new Vector,$r8 (ScopeInfo.<init>) Value: new java.util.Vector);$r8 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;30008;4354;1432;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r14 = new Stack,$r14 (CodeCompiler.<init>) Value: new java.util.Stack);$r14 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;30012;9328;318;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r10 = new Vector,$r10 (Code.<init>) Value: new java.util.Vector);$r10 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;30269;9482;1285;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r7 = new Vector,$r7 (ScopeInfo.<init>) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;30014;8786;1666;4247;true;true;
