Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;IO;ForwardQuery: (getStackTrace $r3 = new PrintStream,$r3 (Py.getStackTrace) Value: new java.io.PrintStream);$r3 = new java.io.PrintStream;<org.python.core.Py: java.lang.String getStackTrace(java.lang.Throwable)>;org.python.core.Py;false;false;3344;75;12;4268;true;false;0;250127664;
ideal;IO;ForwardQuery: (<init> $r9 = new TeePrintStream,$r9 (Benchmark.<init>) Value: new dacapo.TeePrintStream);$r9 = new dacapo.TeePrintStream;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;2421;77;11;4268;true;false;0;251902480;
ideal;IO;ForwardQuery: (<init> $r12 = new TeePrintStream,$r12 (Benchmark.<init>) Value: new dacapo.TeePrintStream);$r12 = new dacapo.TeePrintStream;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;1181;77;11;4268;true;false;0;253742576;
ideal;IO;ForwardQuery: (toString $r4 = new PrintStream,$r4 (PyException.toString) Value: new java.io.PrintStream);$r4 = new java.io.PrintStream;<org.python.core.PyException: java.lang.String toString()>;org.python.core.PyException;false;false;966;75;12;4268;true;false;0;256813936;
ideal;IO;ForwardQuery: (printException $r17 = new PrintWriter,$r17 (Py.printException) Value: new java.io.PrintWriter);$r17 = new java.io.PrintWriter;<org.python.core.Py: void printException(java.lang.Throwable,org.python.core.PyFrame,org.python.core.PyObject)>;org.python.core.Py;false;false;13430;399;24;4268;true;false;0;254781056;
ideal;IO;ForwardQuery: (printException $r15 = new PrintWriter,$r15 (Py.printException) Value: new java.io.PrintWriter);$r15 = new java.io.PrintWriter;<org.python.core.Py: void printException(java.lang.Throwable,org.python.core.PyFrame,org.python.core.PyObject)>;org.python.core.Py;false;false;10286;387;23;4268;true;false;0;262275808;
ideal;IO;ForwardQuery: (enableValidationReport $r2 = new PrintWriter,$r2 (Benchmark.enableValidationReport) Value: new java.io.PrintWriter);$r2 = new java.io.PrintWriter;<dacapo.Benchmark: void enableValidationReport(java.lang.String)>;dacapo.Benchmark;false;false;644496;19400;1373;4268;true;false;0;654367088;
ideal;IO;ForwardQuery: (addJarToPackages $r3.<init>($r4),$r3 (CachedJarsPackageManager.addJarToPackages) Value: specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4));specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);<org.python.core.CachedJarsPackageManager: void addJarToPackages(java.net.URL,java.io.File,boolean)>;org.python.core.CachedJarsPackageManager;false;true;603995;21518;1889;4268;true;true;0;571162248;
ideal;IO;ForwardQuery: (makeStream $r2.<init>(r0),$r2 (imp.makeStream) Value: specialinvoke $r2.<java.io.FileInputStream: void <init>(java.io.File)>(r0));specialinvoke $r2.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<org.python.core.imp: java.io.InputStream makeStream(java.io.File)>;org.python.core.imp;false;false;86120;428;27;4268;true;true;0;668712744;
ideal;IO;ForwardQuery: (compile_flags $r4.<init>($r8),$r4 (Py.compile_flags) Value: specialinvoke $r4.<java.io.StringBufferInputStream: void <init>(java.lang.String)>($r8));specialinvoke $r4.<java.io.StringBufferInputStream: void <init>(java.lang.String)>($r8);<org.python.core.Py: org.python.core.PyCode compile_flags(java.lang.String,java.lang.String,java.lang.String,org.python.core.CompilerFlags)>;org.python.core.Py;false;false;5059;135;13;4268;true;false;0;670942976;
