Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;443;560;255;188;13;4252;null;
ideal-ap;EmptyVector;$r14 @ $r14 = new java.util.Stack;$r14 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;31037;1197651;31037;0;788;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, inFinallyLabels];
ideal-ap;EmptyVector;$r13 @ $r13 = new java.util.Stack;$r13 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;31023;1283023;31023;0;789;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, inFinallyLabels];
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;31019;1275806;31019;0;831;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;$r2 = new java.util.Vector;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;31016;1304371;31016;0;784;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.python.util.CommandLineOptions: void <init>()>;org.python.util.CommandLineOptions;false;false;1030;15712;424;606;16;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;31019;1318376;31019;0;800;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.python.compiler.Module: void <init>(java.lang.String,java.lang.String,boolean)>;org.python.compiler.Module;false;true;31020;1291071;31020;0;809;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r9 @ $r9 = new java.util.Vector;$r9 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;31021;1329153;31021;0;868;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r12 @ $r12 = new java.util.Stack;$r12 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;31015;1243284;31015;0;789;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Stack;$r3 = new java.util.Stack;<org.python.compiler.ScopesCompiler: void <init>(org.python.compiler.CompilationContext,java.util.Hashtable)>;org.python.compiler.ScopesCompiler;false;true;31020;1345304;31020;0;789;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;$r2 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;31022;1307243;31022;0;799;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r12 @ $r12 = new java.util.Vector;$r12 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;true;35814;204;35814;0;13;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;false;392;1631;286;106;32;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r8 @ $r8 = new java.util.Vector;$r8 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;31021;1353131;31021;0;790;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;$r2 = new java.util.Vector;<org.python.compiler.LineNumberTable: void <init>(org.python.compiler.ConstantPool)>;org.python.compiler.LineNumberTable;false;true;69188;150;69188;0;14;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;31026;1368695;31026;0;790;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)>;org.python.compiler.ScopeInfo;true;false;121;1919;43;78;13;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r9 @ $r9 = new java.util.Vector;$r9 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;31021;1335941;31021;0;788;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;31020;1318567;31020;0;800;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;$r6 = new java.util.Vector;<org.python.parser.PythonGrammar: void <init>(org.python.parser.CharStream)>;org.python.parser.PythonGrammar;false;true;60225;9637;60225;0;285;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.python.core.BytecodeLoader: java.util.Vector init()>;org.python.core.BytecodeLoader;false;true;4605;2052;4605;0;27;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r11 @ $r11 = new java.util.Stack;$r11 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;31018;1331176;31018;0;789;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r11 @ $r11 = new java.util.Vector;$r11 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;true;35337;210;35337;0;13;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Stack;$r5 = new java.util.Stack;<org.python.core.ThreadState: void pushInitializingProxy(org.python.core.PyInstance)>;org.python.core.ThreadState;false;false;87;262;24;63;22;4252;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, code_compiler, classfile, methods];
