Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;EmptyVector;ForwardQuery: (org.python.core.CachedJarsPackageManager.addZipEntry $r12 = new Vector,$r12 (CachedJarsPackageManager.addZipEntry) Value: new java.util.Vector);<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;true;30073;5867;30053;0;976;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.ScopeInfo.<init> $r9 = new Vector,$r9 (ScopeInfo.<init>) Value: new java.util.Vector);<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;30037;14375;30029;0;1166;4247;
ideal;EmptyVector;ForwardQuery: (org.python.core.PyCompoundCallable.<init> $r1 = new Vector,$r1 (PyCompoundCallable.<init>) Value: new java.util.Vector);<org.python.core.PyCompoundCallable: void <init>()>;org.python.core.PyCompoundCallable;false;true;30018;7028;30003;0;902;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.Code.<init> $r10 = new Vector,$r10 (Code.<init>) Value: new java.util.Vector);<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;30055;27259;30040;0;1108;4247;
ideal;EmptyVector;ForwardQuery: (org.python.parser.PythonGrammar.<init> $r6 = new Vector,$r6 (PythonGrammar.<init>) Value: new java.util.Vector);<org.python.parser.PythonGrammar: void <init>(org.python.parser.CharStream)>;org.python.parser.PythonGrammar;true;false;167205;9388;136899;692;286;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.ScopesCompiler.<init> $r3 = new Stack,$r3 (ScopesCompiler.<init>) Value: new java.util.Stack);<org.python.compiler.ScopesCompiler: void <init>(org.python.compiler.CompilationContext,java.util.Hashtable)>;org.python.compiler.ScopesCompiler;false;true;30015;14280;30010;0;994;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.ScopeInfo.<init> $r7 = new Vector,$r7 (ScopeInfo.<init>) Value: new java.util.Vector);<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;30009;14429;30002;0;1216;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.CodeCompiler.<init> $r2 = new Vector,$r2 (CodeCompiler.<init>) Value: new java.util.Vector);<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;30015;14648;30008;0;1203;4247;
ideal;EmptyVector;ForwardQuery: (org.python.parser.JJTPythonGrammarState.<init> $r1 = new Stack,$r1 (JJTPythonGrammarState.<init>) Value: new java.util.Stack);<org.python.parser.JJTPythonGrammarState: void <init>()>;org.python.parser.JJTPythonGrammarState;false;true;40539;18421;40306;38432;316;4247;
ideal;EmptyVector;ForwardQuery: (org.python.core.PyJavaClass.getAccessibleFields $r1 = new Vector,$r1 (PyJavaClass.getAccessibleFields) Value: new java.util.Vector);<org.python.core.PyJavaClass: java.lang.reflect.Field[] getAccessibleFields(java.lang.Class)>;org.python.core.PyJavaClass;false;false;37;120;20;9;13;4247;
