Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1860f3be;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1120;0;0;0;0;2496;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4dde8976;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;714;0;0;0;0;2496;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4887de2b;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;618;0;0;0;0;2496;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/apache/lucene/store/FSDirectory, renameFile(Ljava/lang/String,Ljava/lang/String,)V >:NEW <Application,Ljava/io/FileInputStream>@86 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3b4825f0;<org.apache.lucene.store.FSDirectory: void renameFile(java.lang.String,java.lang.String)>;org.apache.lucene.store.FSDirectory;false;false;491;0;0;0;0;2496;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@40ac6b76;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;650;0;0;0;0;2496;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7980cf2c;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@947ae271;false;false;607;0;0;0;0;2496;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@f0020b1;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;558;0;0;0;0;2496;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/FileInputStream>@29 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@74606204;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;2461;73916;0;0;582;2496;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/FileInputStream>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6b6eae52;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;528;0;0;0;0;2496;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFileResource(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@41 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@d4df0e;<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;479;0;0;0;0;2496;0;
