Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, readDeleteableFiles()Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@77f991c;<org.apache.lucene.index.IndexWriter: java.util.Vector readDeleteableFiles()>;org.apache.lucene.index.IndexWriter;false;false;1111;0;0;0;0;2496;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5568c66f;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;826;0;0;0;0;2496;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@e784320;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;false;false;648;0;0;0;0;2496;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/SegmentMerger, createCompoundFile(Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3f6bf8aa;<org.apache.lucene.index.SegmentMerger: java.util.Vector createCompoundFile(java.lang.String)>;org.apache.lucene.index.SegmentMerger;false;false;675;0;0;0;0;2496;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/TermVectorsWriter, <init>(Lorg/apache/lucene/store/Directory,Ljava/lang/String,Lorg/apache/lucene/index/FieldInfos,)V >:NEW <Application,Ljava/util/Vector>@167 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@13c8ac77;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;false;false;686;0;0;0;0;2496;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@78422efb;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1349;21219;0;0;358;2496;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7885776b;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;1456;32056;0;0;461;2496;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/document/Document, <init>()V >:NEW <Application,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@497d4c96;<org.apache.lucene.document.Document: void <init>()>;org.apache.lucene.document.Document;false;false;584;0;0;0;0;2496;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, mergeSegments(II)V >:NEW <Application,Ljava/util/Vector>@32 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3472947a;<org.apache.lucene.index.IndexWriter: void mergeSegments(int,int)>;org.apache.lucene.index.IndexWriter;false;false;635;0;0;0;0;2496;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, deleteFiles(Ljava/util/Vector,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@69d3cf7e;<org.apache.lucene.index.IndexWriter: void deleteFiles(java.util.Vector)>;org.apache.lucene.index.IndexWriter;false;false;608;0;0;0;0;2496;0;
