Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@27abb6ca;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1153;0;0;0;0;2496;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3a7e365;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;843;0;0;0;0;2496;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4cad79bc;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;3232;90792;0;0;631;2496;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/apache/lucene/store/FSDirectory, renameFile(Ljava/lang/String,Ljava/lang/String,)V >:NEW <Application,Ljava/io/FileInputStream>@86 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2c63762b;<org.apache.lucene.store.FSDirectory: void renameFile(java.lang.String,java.lang.String)>;org.apache.lucene.store.FSDirectory;false;false;703;0;0;0;0;2496;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7a9eccc4;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;604;0;0;0;0;2496;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@78422efb;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@947ae271;false;false;620;0;0;0;0;2496;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5f05c8d6;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;604;0;0;0;0;2496;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/FileInputStream>@29 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@68e02f33;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;2227;66012;0;0;887;2496;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/FileInputStream>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@64942607;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;778;0;0;0;0;2496;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFileResource(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@41 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@d48e998;<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;652;0;0;0;0;2496;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/util/zip/ZipInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7cfac39f;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;582;0;0;0;0;2496;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@362 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@158ae284;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;2821;90751;0;0;631;2496;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/TeeOutputStream, newLog()V >:NEW <Application,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@27abb6ca;<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;false;false;1174;0;0;0;0;2496;0;
