Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;EmptyVector;ForwardQuery: (sizeClause $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1940;238;14;2215;true;false;0;150647440;
ideal;EmptyVector;ForwardQuery: (deleteFiles $r3 = new Vector,$r3 (IndexWriter.deleteFiles) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void deleteFiles(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;1703;164;16;2215;true;false;0;154160904;
ideal;EmptyVector;ForwardQuery: (<init> $r1 = new Vector,$r1 (Document.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.apache.lucene.document.Document: void <init>()>;org.apache.lucene.document.Document;false;false;1671;811;27;2215;true;true;0;162313344;
ideal;EmptyVector;ForwardQuery: (<init> $r3 = new Vector,$r3 (StandardTokenizer.<init>) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;true;false;2077;836;34;2215;true;true;0;177687136;
ideal;EmptyVector;ForwardQuery: (readDeleteableFiles $r4 = new Vector,$r4 (IndexWriter.readDeleteableFiles) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: java.util.Vector readDeleteableFiles()>;org.apache.lucene.index.IndexWriter;true;false;1984;184;17;2215;true;false;0;181183944;
ideal;EmptyVector;ForwardQuery: (mergeSegments $r8 = new Vector,$r8 (IndexWriter.mergeSegments) Value: new java.util.Vector);$r8 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void mergeSegments(int,int)>;org.apache.lucene.index.IndexWriter;true;false;2436;409;22;2215;true;true;0;187045000;
ideal;EmptyVector;ForwardQuery: (createCompoundFile $r7 = new Vector,$r7 (SegmentMerger.createCompoundFile) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.apache.lucene.index.SegmentMerger: java.util.Vector createCompoundFile(java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;2892;533;29;2215;true;true;0;197074024;
ideal;EmptyVector;ForwardQuery: (vectorise $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;1076;240;14;2215;true;false;0;200764208;
ideal;EmptyVector;ForwardQuery: (<init> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;1484;800;34;2215;true;true;0;208261448;
ideal;EmptyVector;ForwardQuery: (deleteSegments $r4 = new Vector,$r4 (IndexWriter.deleteSegments) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void deleteSegments(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;1968;194;16;2215;true;false;0;211761096;
ideal;EmptyVector;ForwardQuery: (<init> $r3 = new Vector,$r3 (SegmentMerger.<init>) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.index.SegmentMerger: void <init>(org.apache.lucene.index.IndexWriter,java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;5016;1389;30;2215;true;true;0;226683712;
ideal;EmptyVector;ForwardQuery: (<init> $r7 = new SegmentInfos,$r7 (IndexWriter.<init>) Value: new org.apache.lucene.index.SegmentInfos);$r7 = new org.apache.lucene.index.SegmentInfos;<org.apache.lucene.index.IndexWriter: void <init>(org.apache.lucene.store.Directory,org.apache.lucene.analysis.Analyzer,boolean,boolean)>;org.apache.lucene.index.IndexWriter;true;false;18077;1777;55;2215;true;true;0;269880736;
ideal;EmptyVector;ForwardQuery: (<init> $r22 = new Vector,$r22 (TermVectorsWriter.<init>) Value: new java.util.Vector);$r22 = new java.util.Vector;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;9030;806;30;2215;true;false;0;290472832;
ideal;EmptyVector;ForwardQuery: (<init> $r1 = new Vector,$r1 (RAMFile.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.apache.lucene.store.RAMFile: void <init>()>;org.apache.lucene.store.RAMFile;true;false;101800;5312;85;2215;true;true;0;475966776;
ideal;EmptyVector;ForwardQuery: (<init> $r23 = new Vector,$r23 (TermVectorsWriter.<init>) Value: new java.util.Vector);$r23 = new java.util.Vector;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;13042;901;31;2215;true;false;0;497838624;
