Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1473;1607;1274;199;32;2215;r0[jj_expentries];158404808;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void deleteSegments(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;83;409;22;61;15;2215;r0[jj_expentries];153666472;
ideal-ap;EmptyVector;$r23 @ $r23 = new java.util.Vector;$r23 = new java.util.Vector;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;false;false;1742;4593;867;875;30;2215;r0[jj_expentries];159654168;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;64;254;16;48;13;2215;r0[jj_expentries];153700944;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: java.util.Vector readDeleteableFiles()>;org.apache.lucene.index.IndexWriter;false;false;83;255;30;53;15;2215;r0[jj_expentries];153800296;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void deleteFiles(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;111;223;64;47;15;2215;r0[jj_expentries];153590632;
ideal-ap;EmptyVector;$r8 @ $r8 = new java.util.Vector;$r8 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void mergeSegments(int,int)>;org.apache.lucene.index.IndexWriter;false;true;17345;866;17345;0;21;2215;r24[left, prev, right, parent, next, val$segmentsToDelete];329578352;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.apache.lucene.store.RAMFile: void <init>()>;org.apache.lucene.store.RAMFile;false;true;308061;7879;308061;0;80;2215;r24[left, prev, right, parent, next, val$segmentsToDelete];193310872;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.apache.lucene.document.Document: void <init>()>;org.apache.lucene.document.Document;false;false;72;827;23;49;26;2215;r24[left, prev, right, parent, next, val$segmentsToDelete];176807064;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<org.apache.lucene.index.SegmentMerger: void <init>(org.apache.lucene.index.IndexWriter,java.lang.String)>;org.apache.lucene.index.SegmentMerger;false;false;120;1720;59;61;29;2215;r24[left, prev, right, parent, next, val$segmentsToDelete];179377424;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;false;false;362995;1354;362938;57;31;2215;r24[left, prev, right, parent, next, val$segmentsToDelete];328144064;
ideal-ap;EmptyVector;$r7 @ $r7 = new org.apache.lucene.index.SegmentInfos;$r7 = new org.apache.lucene.index.SegmentInfos;<org.apache.lucene.index.IndexWriter: void <init>(org.apache.lucene.store.Directory,org.apache.lucene.analysis.Analyzer,boolean,boolean)>;org.apache.lucene.index.IndexWriter;false;false;30992;2909;30917;75;53;2215;r24[left, prev, right, parent, next, val$segmentsToDelete];182457648;
ideal-ap;EmptyVector;$r22 @ $r22 = new java.util.Vector;$r22 = new java.util.Vector;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;false;false;259;3299;100;159;29;2215;r24[left, prev, right, parent, next, val$segmentsToDelete];180084696;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;66;560;20;46;13;2215;r24[left, prev, right, parent, next, val$segmentsToDelete];177274144;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.apache.lucene.index.SegmentMerger: java.util.Vector createCompoundFile(java.lang.String)>;org.apache.lucene.index.SegmentMerger;false;true;8219;830;8219;0;28;2215;r24[left, prev, right, parent, next, val$segmentsToDelete];330049272;
