Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.index.TermVectorsWriter.<init> $r22 = new Vector,$r22 (TermVectorsWriter.<init>) Value: new java.util.Vector);<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;3517;979;1618;3133;31;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.index.IndexWriter.<init> $r7 = new SegmentInfos,$r7 (IndexWriter.<init>) Value: new org.apache.lucene.index.SegmentInfos);<org.apache.lucene.index.IndexWriter: void <init>(org.apache.lucene.store.Directory,org.apache.lucene.analysis.Analyzer,boolean,boolean)>;org.apache.lucene.index.IndexWriter;true;false;11362;2080;7928;161;55;2193;
ideal;EmptyVector;ForwardQuery: (dacapo.parser.ConfigFile.sizeClause $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;50;238;37;11;14;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.index.IndexWriter.deleteFiles $r3 = new Vector,$r3 (IndexWriter.deleteFiles) Value: new java.util.Vector);<org.apache.lucene.index.IndexWriter: void deleteFiles(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;76;164;54;17;16;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.index.IndexWriter.mergeSegments $r8 = new Vector,$r8 (IndexWriter.mergeSegments) Value: new java.util.Vector);<org.apache.lucene.index.IndexWriter: void mergeSegments(int,int)>;org.apache.lucene.index.IndexWriter;true;false;166;409;109;29;22;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.store.RAMFile.<init> $r1 = new Vector,$r1 (RAMFile.<init>) Value: new java.util.Vector);<org.apache.lucene.store.RAMFile: void <init>()>;org.apache.lucene.store.RAMFile;true;false;113108;6268;71760;1259;91;2193;
ideal;EmptyVector;ForwardQuery: (dacapo.TestHarness.vectorise $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;50;240;38;9;14;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.analysis.standard.StandardTokenizer.<init> $r3 = new Vector,$r3 (StandardTokenizer.<init>) Value: new java.util.Vector);<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;true;false;93;793;41;48;34;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.index.SegmentMerger.createCompoundFile $r7 = new Vector,$r7 (SegmentMerger.createCompoundFile) Value: new java.util.Vector);<org.apache.lucene.index.SegmentMerger: java.util.Vector createCompoundFile(java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;253;620;136;147;33;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.index.TermVectorsWriter.<init> $r23 = new Vector,$r23 (TermVectorsWriter.<init>) Value: new java.util.Vector);<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;733;901;459;684;31;2193;
ideal;EmptyVector;ForwardQuery: (dacapo.parser.ConfigFile.<init> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;60;782;30;29;34;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.document.Document.<init> $r1 = new Vector,$r1 (Document.<init>) Value: new java.util.Vector);<org.apache.lucene.document.Document: void <init>()>;org.apache.lucene.document.Document;false;false;117;807;64;83;27;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.index.IndexWriter.readDeleteableFiles $r4 = new Vector,$r4 (IndexWriter.readDeleteableFiles) Value: new java.util.Vector);<org.apache.lucene.index.IndexWriter: java.util.Vector readDeleteableFiles()>;org.apache.lucene.index.IndexWriter;true;false;55;184;38;12;17;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.index.IndexWriter.deleteSegments $r4 = new Vector,$r4 (IndexWriter.deleteSegments) Value: new java.util.Vector);<org.apache.lucene.index.IndexWriter: void deleteSegments(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;83;194;66;10;16;2193;
ideal;EmptyVector;ForwardQuery: (org.apache.lucene.index.SegmentMerger.<init> $r3 = new Vector,$r3 (SegmentMerger.<init>) Value: new java.util.Vector);<org.apache.lucene.index.SegmentMerger: void <init>(org.apache.lucene.index.IndexWriter,java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;1352;1389;1121;1255;30;2193;
