Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/queryParser/QueryParser, Query(Ljava/lang/String,)Lorg/apache/lucene/search/Query, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@220c9a63;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Query(java.lang.String)>;org.apache.lucene.queryParser.QueryParser;false;false;1157;0;0;0;0;2830;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6c184d4d;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;728;0;0;0;0;2830;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7645f03e;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;false;false;639;0;0;0;0;2830;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/search/BooleanQuery$BooleanWeight, <init>(Lorg/apache/lucene/search/BooleanQuery,Lorg/apache/lucene/search/Searcher,)V >:NEW <Application,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@158e9f6e;<org.apache.lucene.search.BooleanQuery$BooleanWeight: void <init>(org.apache.lucene.search.BooleanQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.BooleanQuery$BooleanWeight;false;false;495;0;0;0;0;2830;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1c52552f;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1165;21039;0;0;202;2830;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/search/Hits, <init>(Lorg/apache/lucene/search/Searcher,Lorg/apache/lucene/search/Query,Lorg/apache/lucene/search/Filter,)V >:NEW <Application,Ljava/util/Vector>@15 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5dc769f9;<org.apache.lucene.search.Hits: void <init>(org.apache.lucene.search.Searcher,org.apache.lucene.search.Query,org.apache.lucene.search.Filter)>;org.apache.lucene.search.Hits;false;false;581;0;0;0;0;2830;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4faf104;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;2054;66473;0;0;500;2830;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/document/Document, <init>()V >:NEW <Application,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5995851e;<org.apache.lucene.document.Document: void <init>()>;org.apache.lucene.document.Document;false;false;546;0;0;0;0;2830;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/search/PhraseQuery, <init>()V >:NEW <Application,Ljava/util/Vector>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@48a2db72;<org.apache.lucene.search.PhraseQuery: void <init>()>;org.apache.lucene.search.PhraseQuery;false;false;474;0;0;0;0;2830;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/queryParser/QueryParser, getFieldQuery(Ljava/lang/String,Ljava/lang/String,)Lorg/apache/lucene/search/Query, >:NEW <Application,Ljava/util/Vector>@17 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@51bddd98;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query getFieldQuery(java.lang.String,java.lang.String)>;org.apache.lucene.queryParser.QueryParser;false;false;534;0;0;0;0;2830;0;
