Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@220c9a63;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;1110;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/apache/lucene/store/FSDirectory, renameFile(Ljava/lang/String,Ljava/lang/String,)V >:NEW <Application,Ljava/io/FileInputStream>@86 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6c184d4d;<org.apache.lucene.store.FSDirectory: void renameFile(java.lang.String,java.lang.String)>;org.apache.lucene.store.FSDirectory;false;false;749;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7645f03e;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@947ae271;false;false;613;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@158e9f6e;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;520;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@362 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@49fb0bbd;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;3282;97533;0;0;856;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/lang/String,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5489b1f7;<java.io.FileReader: void <init>(java.lang.String)>;<Primordial,Ljava.io.FileReader;false;false;531;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4faf104;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;545;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5995851e;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;548;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@48a2db72;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;488;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/FileInputStream>@29 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@51bddd98;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;2040;76559;0;0;585;2830;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/FileInputStream>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@21c747a;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;526;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFileResource(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@41 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@77d4ac52;<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;577;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/util/zip/ZipInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@29f38091;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;577;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/TeeOutputStream, newLog()V >:NEW <Application,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1b482cbf;<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;false;false;1148;0;0;0;0;2830;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileOutputStream>@9 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7b1e5e55;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@947ae271;false;false;786;0;0;0;0;2830;0;
