Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/queryParser/QueryParser, Query(Ljava/lang/String,)Lorg/apache/lucene/search/Query, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71a3e05c;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Query(java.lang.String)>;org.apache.lucene.queryParser.QueryParser;false;false;1203;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@77db3d02;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;924;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@78d9f51b;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;false;false;719;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/search/BooleanQuery$BooleanWeight, <init>(Lorg/apache/lucene/search/BooleanQuery,Lorg/apache/lucene/search/Searcher,)V >:NEW <Application,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@23ed382c;<org.apache.lucene.search.BooleanQuery$BooleanWeight: void <init>(org.apache.lucene.search.BooleanQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.BooleanQuery$BooleanWeight;false;false;721;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3d9f5016;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1380;21309;0;0;358;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/search/Hits, <init>(Lorg/apache/lucene/search/Searcher,Lorg/apache/lucene/search/Query,Lorg/apache/lucene/search/Filter,)V >:NEW <Application,Ljava/util/Vector>@15 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7e91ed74;<org.apache.lucene.search.Hits: void <init>(org.apache.lucene.search.Searcher,org.apache.lucene.search.Query,org.apache.lucene.search.Filter)>;org.apache.lucene.search.Hits;false;false;762;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4cffcc61;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;1291;32934;0;0;464;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/document/Document, <init>()V >:NEW <Application,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4373f66f;<org.apache.lucene.document.Document: void <init>()>;org.apache.lucene.document.Document;false;false;606;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/search/PhraseQuery, <init>()V >:NEW <Application,Ljava/util/Vector>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@399ca607;<org.apache.lucene.search.PhraseQuery: void <init>()>;org.apache.lucene.search.PhraseQuery;false;false;589;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/queryParser/QueryParser, getFieldQuery(Ljava/lang/String,Ljava/lang/String,)Lorg/apache/lucene/search/Query, >:NEW <Application,Ljava/util/Vector>@17 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@44114b9f;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query getFieldQuery(java.lang.String,java.lang.String)>;org.apache.lucene.queryParser.QueryParser;false;false;719;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexReader$1, doBody()Ljava/lang/Object, >:NEW <Application,Lorg/apache/lucene/index/SegmentInfos>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@76bf1bb8;<org.apache.lucene.index.IndexReader$1: java.lang.Object doBody()>;org.apache.lucene.index.IndexReader$1;false;false;749;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/analysis/standard/StandardTokenizer, <init>(Lorg/apache/lucene/analysis/standard/CharStream,)V >:NEW <Application,Ljava/util/Vector>@12 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2a235b8e;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;false;false;876;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@76536c53;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;655;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/search/MultiPhraseQuery, <init>()V >:NEW <Application,Ljava/util/Vector>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@38d08cb5;<org.apache.lucene.search.MultiPhraseQuery: void <init>()>;org.apache.lucene.search.MultiPhraseQuery;false;false;616;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/queryParser/QueryParser, <init>(Lorg/apache/lucene/queryParser/CharStream,)V >:NEW <Application,Ljava/util/Vector>@83 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@363c32cc;<org.apache.lucene.queryParser.QueryParser: void <init>(org.apache.lucene.queryParser.CharStream)>;org.apache.lucene.queryParser.QueryParser;false;false;655;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/search/BooleanQuery, <init>(Z)V >:NEW <Application,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6f3f0ae;<org.apache.lucene.search.BooleanQuery: void <init>(boolean)>;org.apache.lucene.search.BooleanQuery;false;false;650;0;0;0;0;2830;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Stack>@30 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6baf25d7;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;591;0;0;0;0;2830;0;
