Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;EmptyVector;ForwardQuery: (<init> $r1 = new Vector,$r1 (PhraseQuery.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.apache.lucene.search.PhraseQuery: void <init>()>;org.apache.lucene.search.PhraseQuery;false;true;645715;7563;238;2514;true;true;0;849462496;
ideal;EmptyVector;ForwardQuery: (sizeClause $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;9458;238;14;2514;true;false;0;850625880;
ideal;EmptyVector;ForwardQuery: (<init> $r7 = new Vector,$r7 (QueryParser.<init>) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: void <init>(org.apache.lucene.queryParser.CharStream)>;org.apache.lucene.queryParser.QueryParser;true;false;50847;1764;51;2514;true;true;0;876856104;
ideal;EmptyVector;ForwardQuery: (<init> $r1 = new Vector,$r1 (BooleanQuery.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.apache.lucene.search.BooleanQuery: void <init>(boolean)>;org.apache.lucene.search.BooleanQuery;false;true;605887;7824;230;2514;true;true;0;1511702088;
ideal;EmptyVector;ForwardQuery: (<init> $r4 = new Vector,$r4 (Hits.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.apache.lucene.search.Hits: void <init>(org.apache.lucene.search.Searcher,org.apache.lucene.search.Query,org.apache.lucene.search.Filter)>;org.apache.lucene.search.Hits;true;false;53066;542;25;2514;true;true;0;1519945120;
ideal;EmptyVector;ForwardQuery: (doBody $r3 = new SegmentInfos,$r3 (IndexReader$1.doBody) Value: new org.apache.lucene.index.SegmentInfos);$r3 = new org.apache.lucene.index.SegmentInfos;<org.apache.lucene.index.IndexReader$1: java.lang.Object doBody()>;org.apache.lucene.index.IndexReader$1;true;false;379002;12517;937;2514;true;true;0;2965617912;
ideal;EmptyVector;ForwardQuery: (<init> $r4 = new Vector,$r4 (BooleanQuery$BooleanWeight.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.apache.lucene.search.BooleanQuery$BooleanWeight: void <init>(org.apache.lucene.search.BooleanQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.BooleanQuery$BooleanWeight;false;true;630224;7644;218;2514;true;true;0;3617420920;
ideal;EmptyVector;ForwardQuery: (<init> $r2 = new Vector,$r2 (PhraseQuery.<init>) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.apache.lucene.search.PhraseQuery: void <init>()>;org.apache.lucene.search.PhraseQuery;false;true;610541;7421;236;2514;true;true;0;4135103304;
ideal;EmptyVector;ForwardQuery: (vectorise $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;32284;240;14;2514;true;false;0;4139056576;
ideal;EmptyVector;ForwardQuery: (<init> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;42774;800;34;2514;true;true;0;4146778336;
ideal;EmptyVector;ForwardQuery: (Query $r3 = new Vector,$r3 (QueryParser.Query) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Query(java.lang.String)>;org.apache.lucene.queryParser.QueryParser;true;false;94947;261;17;2514;true;false;0;4152437240;
ideal;EmptyVector;ForwardQuery: (<init> $r2 = new Vector,$r2 (MultiPhraseQuery.<init>) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.apache.lucene.search.MultiPhraseQuery: void <init>()>;org.apache.lucene.search.MultiPhraseQuery;false;true;625348;7619;229;2514;true;true;0;4696731272;
ideal;EmptyVector;ForwardQuery: (<init> $r3 = new Vector,$r3 (StandardTokenizer.<init>) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;true;false;59415;826;34;2514;true;true;0;4713650792;
ideal;EmptyVector;ForwardQuery: (getFieldQuery $r7 = new Vector,$r7 (QueryParser.getFieldQuery) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query getFieldQuery(java.lang.String,java.lang.String)>;org.apache.lucene.queryParser.QueryParser;true;false;63452;301;14;2514;true;false;0;4719421680;
