Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.ConjunctionScorer.skipTo $r2.iterator(),r1 (ConjunctionScorer.skipTo) Value: virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>());r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: boolean skipTo(int)>;org.apache.lucene.search.ConjunctionScorer;false;false;177;72;617;7;10;2497;0;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.Similarity.idf r1.iterator(),r3 (Similarity.idf) Value: interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>());r3 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();<org.apache.lucene.search.Similarity: float idf(java.util.Collection,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.Similarity;false;false;67;67;475;4;9;2497;0;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.ConjunctionScorer.score $r2.iterator(),r1 (ConjunctionScorer.score) Value: virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>());r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: float score()>;org.apache.lucene.search.ConjunctionScorer;false;false;57;68;408;5;10;2497;0;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.DisjunctionSumScorer.initScorerQueue $r3.iterator(),r1 (DisjunctionSumScorer.initScorerQueue) Value: interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>());r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.DisjunctionSumScorer: void initScorerQueue()>;org.apache.lucene.search.DisjunctionSumScorer;false;false;55;71;351;4;9;2497;0;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue.<init> r1.iterator(),r2 (MultipleTermPositions$TermPositionsQueue.<init>) Value: interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>());r2 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue: void <init>(java.util.List)>;org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue;false;false;49;67;297;3;10;2497;0;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.ConjunctionScorer.init $r6.iterator(),r1 (ConjunctionScorer.init) Value: virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>());r1 = virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: void init(boolean)>;org.apache.lucene.search.ConjunctionScorer;false;false;50;72;248;3;10;2497;0;
ideal;IteratorHasNext;ForwardQuery: (dacapo.Benchmark.validate $r5.iterator(),r2 (Benchmark.validate) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;false;false;0;1;0;0;2;2497;0;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.MultiPhraseQuery.toString $r8.iterator(),r3 (MultiPhraseQuery.toString) Value: virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>());r3 = virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery: java.lang.String toString(java.lang.String)>;org.apache.lucene.search.MultiPhraseQuery;false;false;72;96;200;5;9;2497;0;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.BooleanScorer2.countingConjunctionSumScorer r1.iterator(),r3 (BooleanScorer2.countingConjunctionSumScorer) Value: interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>());r3 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.BooleanScorer2: org.apache.lucene.search.Scorer countingConjunctionSumScorer(java.util.List)>;org.apache.lucene.search.BooleanScorer2;false;false;45;64;127;3;9;2497;0;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight.<init> $r6.iterator(),r3 (MultiPhraseQuery$MultiPhraseWeight.<init>) Value: virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>());r3 = virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight: void <init>(org.apache.lucene.search.MultiPhraseQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight;false;false;48;74;83;3;9;2497;0;
ideal;IteratorHasNext;ForwardQuery: (dacapo.Benchmark.postIterationCleanup $r5.iterator(),r2 (Benchmark.postIterationCleanup) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;false;false;0;1;0;0;2;2497;0;
