Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;false;656;1611;510;146;32;2514;r0[jj_expentries];163733512;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.apache.lucene.search.BooleanQuery: void <init>(boolean)>;org.apache.lucene.search.BooleanQuery;false;true;91401;1149634;91401;0;255;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];1224001520;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<org.apache.lucene.search.Hits: void <init>(org.apache.lucene.search.Searcher,org.apache.lucene.search.Query,org.apache.lucene.search.Filter)>;org.apache.lucene.search.Hits;false;false;135;1758;52;83;22;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];187910312;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;65;254;13;52;13;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];185123248;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;$r2 = new java.util.Vector;<org.apache.lucene.search.PhraseQuery: void <init>()>;org.apache.lucene.search.PhraseQuery;false;true;386857;1148808;386857;0;254;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];2188971688;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<org.apache.lucene.search.BooleanQuery$BooleanWeight: void <init>(org.apache.lucene.search.BooleanQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.BooleanQuery$BooleanWeight;false;true;157666;127081;157666;0;161;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];1723137784;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Query(java.lang.String)>;org.apache.lucene.queryParser.QueryParser;true;false;108;736;23;85;16;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];216595120;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query getFieldQuery(java.lang.String,java.lang.String)>;org.apache.lucene.queryParser.QueryParser;true;false;71;529;17;54;13;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];216397704;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: void <init>(org.apache.lucene.queryParser.CharStream)>;org.apache.lucene.queryParser.QueryParser;false;false;271096;1777;270700;396;50;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];439795152;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.apache.lucene.search.PhraseQuery: void <init>()>;org.apache.lucene.search.PhraseQuery;false;true;52824;1149206;52824;0;260;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];1637074064;
ideal-ap;EmptyVector;$r3 @ $r3 = new org.apache.lucene.index.SegmentInfos;$r3 = new org.apache.lucene.index.SegmentInfos;<org.apache.lucene.index.IndexReader$1: java.lang.Object doBody()>;org.apache.lucene.index.IndexReader$1;false;true;2599;7808;2599;0;158;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];211790352;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;false;true;30844;1344;30844;0;31;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];203325280;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;70;560;21;49;13;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];205308624;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;$r2 = new java.util.Vector;<org.apache.lucene.search.MultiPhraseQuery: void <init>()>;org.apache.lucene.search.MultiPhraseQuery;false;true;65707;1148850;65707;0;254;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];1342462480;
