Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;true;false;535;410;385;150;4;2497;r0[parent, config];
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();r3 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();<org.apache.lucene.search.Similarity: float idf(java.util.Collection,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.Similarity;false;false;62;53;15;47;4;2497;r0[parent, config];
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>();r3 = virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery: java.lang.String toString(java.lang.String)>;org.apache.lucene.search.MultiPhraseQuery;false;false;65;82;19;46;4;2497;r0[parent, config];
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>();r1 = virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: void init(boolean)>;org.apache.lucene.search.ConjunctionScorer;false;true;7060;67;7060;0;4;2497;r0[reqScorer, exclScorer, scorers, next, scorer, countingSumScorer, optScorer, scorer, scorers];
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;true;false;114;71;76;38;4;2497;r0[reqScorer, exclScorer, scorers, next, scorer, countingSumScorer, optScorer, scorer, scorers];
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: float score()>;org.apache.lucene.search.ConjunctionScorer;false;true;6306;50;6306;0;4;2497;r0[reqScorer, exclScorer, scorers, next, scorer, countingSumScorer, optScorer, scorer, scorers];
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();r2 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue: void <init>(java.util.List)>;org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue;false;true;60033;49;60033;0;4;2497;r0[heap, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, first, next, item, scorers, next, scorer];
ideal-ap;IteratorHasNext;r1 @ r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.DisjunctionSumScorer: void initScorerQueue()>;org.apache.lucene.search.DisjunctionSumScorer;false;true;60277;57;60277;0;4;2497;r0[heap, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, first, next, item, scorers, next, scorer];
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>();r3 = virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight: void <init>(org.apache.lucene.search.MultiPhraseQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight;false;false;52;60;18;34;4;2497;r0[heap, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, first, next, item, scorers, next, scorer];
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();r3 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.BooleanScorer2: org.apache.lucene.search.Scorer countingConjunctionSumScorer(java.util.List)>;org.apache.lucene.search.BooleanScorer2;false;true;14081;50;14081;0;4;2497;r0[heap, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, first, next, item, scorers, next, scorer];
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: boolean skipTo(int)>;org.apache.lucene.search.ConjunctionScorer;false;true;5963;67;5963;0;4;2497;r0[heap, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, first, next, item, scorers, next, scorer];
