Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;<org.apache.lucene.search.PhraseQuery: void <init>()>;org.apache.lucene.search.PhraseQuery;false;true;49802;1149206;49802;0;260;2492;
ideal-ap;EmptyVector;$r3 @ $r3 = new org.apache.lucene.index.SegmentInfos;<org.apache.lucene.index.IndexReader$1: java.lang.Object doBody()>;org.apache.lucene.index.IndexReader$1;true;false;581;7808;279;302;158;2492;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;99;254;19;80;13;2492;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;false;465;1605;362;103;32;2492;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<org.apache.lucene.search.Hits: void <init>(org.apache.lucene.search.Searcher,org.apache.lucene.search.Query,org.apache.lucene.search.Filter)>;org.apache.lucene.search.Hits;false;false;223;1758;85;138;22;2492;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;<org.apache.lucene.search.PhraseQuery: void <init>()>;org.apache.lucene.search.PhraseQuery;false;true;28054;1148808;28054;0;254;2492;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query getFieldQuery(java.lang.String,java.lang.String)>;org.apache.lucene.queryParser.QueryParser;true;false;75;529;17;58;13;2492;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<org.apache.lucene.search.BooleanQuery$BooleanWeight: void <init>(org.apache.lucene.search.BooleanQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.BooleanQuery$BooleanWeight;false;true;3267;127081;3267;0;161;2492;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;<org.apache.lucene.search.BooleanQuery: void <init>(boolean)>;org.apache.lucene.search.BooleanQuery;false;true;17640;1149634;17640;0;255;2492;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;<org.apache.lucene.search.MultiPhraseQuery: void <init>()>;org.apache.lucene.search.MultiPhraseQuery;false;true;13284;1148850;13284;0;254;2492;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: void <init>(org.apache.lucene.queryParser.CharStream)>;org.apache.lucene.queryParser.QueryParser;false;true;989;1777;989;0;50;2492;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;68;560;24;44;13;2492;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Query(java.lang.String)>;org.apache.lucene.queryParser.QueryParser;true;false;91;801;23;68;16;2492;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;false;true;60035;1344;60035;0;31;2492;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.BooleanScorer2.countingConjunctionSumScorer r1.iterator(),r3 (BooleanScorer2.countingConjunctionSumScorer) Value: interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>());<org.apache.lucene.search.BooleanScorer2: org.apache.lucene.search.Scorer countingConjunctionSumScorer(java.util.List)>;org.apache.lucene.search.BooleanScorer2;false;false;230;64;187;8;9;2492;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.Similarity.idf r1.iterator(),r3 (Similarity.idf) Value: interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>());<org.apache.lucene.search.Similarity: float idf(java.util.Collection,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.Similarity;false;false;95;67;86;5;9;2492;
ideal;IteratorHasNext;ForwardQuery: (dacapo.Benchmark.validate $r5.iterator(),r2 (Benchmark.validate) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;false;false;1;1;0;0;2;2492;
ideal;IteratorHasNext;ForwardQuery: (dacapo.Benchmark.postIterationCleanup $r5.iterator(),r2 (Benchmark.postIterationCleanup) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;false;false;0;1;0;0;2;2492;
