Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/symboltable/ScopeAndDeclarationFinder, <init>()V >:NEW <Application,Ljava/util/Stack>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2152fde5;<net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder: void <init>()>;net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder;false;false;2746;0;0;0;0;5800;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/dfa/variableaccess/VariableAccessVisitor, addVariableAccess(ILnet/sourceforge/pmd/dfa/variableaccess/VariableAccess,Ljava/util/List,)V >:NEW <Application,Ljava/util/Vector>@38 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3a7469ca;<net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor: void addVariableAccess(int,net.sourceforge.pmd.dfa.variableaccess.VariableAccess,java.util.List)>;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;false;false;1997;0;0;0;0;5800;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/ast/JJTJavaParserState, <init>()V >:NEW <Application,Ljava/util/Stack>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1c8e8fed;<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;false;2085;0;0;0;0;5800;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/rules/CloseResource, ensureClosed(Lnet/sourceforge/pmd/ast/ASTLocalVariableDeclaration,Lnet/sourceforge/pmd/ast/ASTVariableDeclaratorId,Ljava/lang/Object,)V >:NEW <Application,Ljava/util/Vector>@53 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@70f98f7a;<net.sourceforge.pmd.rules.CloseResource: void ensureClosed(net.sourceforge.pmd.ast.ASTLocalVariableDeclaration,net.sourceforge.pmd.ast.ASTVariableDeclaratorId,java.lang.Object)>;net.sourceforge.pmd.rules.CloseResource;false;false;1756;0;0;0;0;5800;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/ast/JJTJavaParserState, <init>()V >:NEW <Application,Ljava/util/Stack>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@713e7d9a;<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;false;1918;0;0;0;0;5800;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/jsp/ast/JJTJspParserState, <init>()V >:NEW <Application,Ljava/util/Stack>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@681d704e;<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;false;1906;0;0;0;0;5800;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/rules/sunsecure/ArrayIsStoredDirectly, getArrays(Lnet/sourceforge/pmd/ast/ASTFormalParameters,)[Lnet/sourceforge/pmd/ast/ASTFormalParameter, >:NEW <Application,Ljava/util/Vector>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@846b47;<net.sourceforge.pmd.rules.sunsecure.ArrayIsStoredDirectly: [Lnet.sourceforge.pmd.ast.ASTFormalParameter[] getArrays(net.sourceforge.pmd.ast.ASTFormalParameters)>;net.sourceforge.pmd.rules.sunsecure.ArrayIsStoredDirectly;false;false;1868;0;0;0;0;5800;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/ast/JavaParser, <init>(Lnet/sourceforge/pmd/ast/CharStream,)V >:NEW <Application,Ljava/util/Vector>@61 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3c3ab672;<net.sourceforge.pmd.ast.JavaParser: void <init>(net.sourceforge.pmd.ast.CharStream)>;net.sourceforge.pmd.ast.JavaParser;false;false;2019;0;0;0;0;5800;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/dfa/Structure, <init>()V >:NEW <Application,Ljava/util/Stack>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3e6acec2;<net.sourceforge.pmd.dfa.Structure: void <init>()>;net.sourceforge.pmd.dfa.Structure;false;false;1818;0;0;0;0;5800;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/jsp/ast/JspParser, <init>(Lnet/sourceforge/pmd/jsp/ast/CharStream,)V >:NEW <Application,Ljava/util/Vector>@59 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3d764641;<net.sourceforge.pmd.jsp.ast.JspParser: void <init>(net.sourceforge.pmd.jsp.ast.CharStream)>;net.sourceforge.pmd.jsp.ast.JspParser;false;false;1785;0;0;0;0;5800;0;
