Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2152fde5;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;2636;0;0;0;0;5800;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/Currency$1, run()Ljava/lang/Void, >:NEW <Primordial,Ljava/io/DataInputStream>@43 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@24b3f778;<java.util.Currency$1: java.lang.Void run()>;<Primordial,Ljava.util.Currency$1;false;false;6184;68456;0;0;1026;5800;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/PMD, processFiles(Ljava/util/List,Lnet/sourceforge/pmd/RuleContext,Lnet/sourceforge/pmd/RuleSets,ZZLjava/lang/String,Ljava/lang/String,)V >:NEW <Application,Ljava/io/BufferedInputStream>@82 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@164dea80;<net.sourceforge.pmd.PMD: void processFiles(java.util.List,net.sourceforge.pmd.RuleContext,net.sourceforge.pmd.RuleSets,boolean,boolean,java.lang.String,java.lang.String)>;net.sourceforge.pmd.PMD;false;false;1917;0;0;0;0;5800;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/util/ResourceLoader, loadResourceAsStream(Ljava/lang/String,Ljava/lang/ClassLoader,)Ljava/io/InputStream, >:NEW <Application,Ljava/io/FileInputStream>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4392362c;<net.sourceforge.pmd.util.ResourceLoader: java.io.InputStream loadResourceAsStream(java.lang.String,java.lang.ClassLoader)>;net.sourceforge.pmd.util.ResourceLoader;false;false;1917;0;0;0;0;5800;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/Currency$1, run()Ljava/lang/Void, >:NEW <Primordial,Ljava/io/BufferedInputStream>@47 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@42a05533;<java.util.Currency$1: java.lang.Void run()>;<Primordial,Ljava.util.Currency$1;false;false;7443;106675;0;0;1026;5800;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@17053b5;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;1888;0;0;0;0;5800;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3cad24ae;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@beb00e99;false;false;1872;0;0;0;0;5800;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@362 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@45bf93bb;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;8530;165573;0;0;1238;5800;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6b7c4734;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1869;0;0;0;0;5800;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2f6e92ca;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;1883;0;0;0;0;5800;0;
