Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/oro/text/regex/Perl5Matcher, <init>()V >:NEW <Application,Ljava/util/Stack>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@64665781;<org.apache.oro.text.regex.Perl5Matcher: void <init>()>;org.apache.oro.text.regex.Perl5Matcher;false;false;4890;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/symboltable/ScopeAndDeclarationFinder, <init>()V >:NEW <Application,Ljava/util/Stack>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@430d3021;<net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder: void <init>()>;net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder;false;false;4438;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/dfa/variableaccess/VariableAccessVisitor, addVariableAccess(ILnet/sourceforge/pmd/dfa/variableaccess/VariableAccess,Ljava/util/List,)V >:NEW <Application,Ljava/util/Vector>@38 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@58f290bc;<net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor: void addVariableAccess(int,net.sourceforge.pmd.dfa.variableaccess.VariableAccess,java.util.List)>;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;false;false;4122;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, ensureRunBreak(IZ)I >:NEW <Primordial,Ljava/util/Vector>@234 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3220c28;<java.text.AttributedString: int ensureRunBreak(int,boolean)>;<Primordial,Ljava.text.AttributedString;false;false;4535;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/ast/JJTJavaParserState, <init>()V >:NEW <Application,Ljava/util/Stack>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6ae42248;<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;false;4117;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, addAttributeRunData(Ljava/text/AttributedCharacterIterator$Attribute,Ljava/lang/Object,II)V >:NEW <Primordial,Ljava/util/Vector>@32 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@40c28b0d;<java.text.AttributedString: void addAttributeRunData(java.text.AttributedCharacterIterator$Attribute,java.lang.Object,int,int)>;<Primordial,Ljava.text.AttributedString;false;false;4162;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/rules/CloseResource, ensureClosed(Lnet/sourceforge/pmd/ast/ASTLocalVariableDeclaration,Lnet/sourceforge/pmd/ast/ASTVariableDeclaratorId,Ljava/lang/Object,)V >:NEW <Application,Ljava/util/Vector>@53 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@cf984d9;<net.sourceforge.pmd.rules.CloseResource: void ensureClosed(net.sourceforge.pmd.ast.ASTLocalVariableDeclaration,net.sourceforge.pmd.ast.ASTVariableDeclaratorId,java.lang.Object)>;net.sourceforge.pmd.rules.CloseResource;false;false;3851;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, addAttributeRunData(Ljava/text/AttributedCharacterIterator$Attribute,Ljava/lang/Object,II)V >:NEW <Primordial,Ljava/util/Vector>@23 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1fa98a22;<java.text.AttributedString: void addAttributeRunData(java.text.AttributedCharacterIterator$Attribute,java.lang.Object,int,int)>;<Primordial,Ljava.text.AttributedString;false;false;4029;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/ast/JJTJavaParserState, <init>()V >:NEW <Application,Ljava/util/Stack>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@54941dfd;<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;false;4079;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/jsp/ast/JJTJspParserState, <init>()V >:NEW <Application,Ljava/util/Stack>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5a7e81;<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;false;3901;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/rules/sunsecure/ArrayIsStoredDirectly, getArrays(Lnet/sourceforge/pmd/ast/ASTFormalParameters,)[Lnet/sourceforge/pmd/ast/ASTFormalParameter, >:NEW <Application,Ljava/util/Vector>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4045fd1f;<net.sourceforge.pmd.rules.sunsecure.ArrayIsStoredDirectly: [Lnet.sourceforge.pmd.ast.ASTFormalParameter[] getArrays(net.sourceforge.pmd.ast.ASTFormalParameters)>;net.sourceforge.pmd.rules.sunsecure.ArrayIsStoredDirectly;false;false;3903;0;0;0;0;5800;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, ensureRunBreak(IZ)I >:NEW <Primordial,Ljava/util/Vector>@218 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@13ee97af;<java.text.AttributedString: int ensureRunBreak(int,boolean)>;<Primordial,Ljava.text.AttributedString;false;false;3811;0;0;0;0;5800;0;
