Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@50672905;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;20832;301248;0;0;1792;5800;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/Currency$1, run()Ljava/lang/Void, >:NEW <Primordial,Ljava/io/DataInputStream>@43 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@40c28b0d;<java.util.Currency$1: java.lang.Void run()>;<Primordial,Ljava.util.Currency$1;false;false;6603;37408;0;0;1076;5800;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/PMD, processFiles(Ljava/util/List,Lnet/sourceforge/pmd/RuleContext,Lnet/sourceforge/pmd/RuleSets,ZZLjava/lang/String,Ljava/lang/String,)V >:NEW <Application,Ljava/io/BufferedInputStream>@82 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@cf984d9;<net.sourceforge.pmd.PMD: void processFiles(java.util.List,net.sourceforge.pmd.RuleContext,net.sourceforge.pmd.RuleSets,boolean,boolean,java.lang.String,java.lang.String)>;net.sourceforge.pmd.PMD;false;false;3994;0;0;0;0;5800;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/util/ResourceLoader, loadResourceAsStream(Ljava/lang/String,Ljava/lang/ClassLoader,)Ljava/io/InputStream, >:NEW <Application,Ljava/io/FileInputStream>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1fa98a22;<net.sourceforge.pmd.util.ResourceLoader: java.io.InputStream loadResourceAsStream(java.lang.String,java.lang.ClassLoader)>;net.sourceforge.pmd.util.ResourceLoader;false;false;3965;0;0;0;0;5800;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/Currency$1, run()Ljava/lang/Void, >:NEW <Primordial,Ljava/io/BufferedInputStream>@47 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@54941dfd;<java.util.Currency$1: java.lang.Void run()>;<Primordial,Ljava.util.Currency$1;false;false;13230;178904;0;0;1792;5800;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5a7e81;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;4046;0;0;0;0;5800;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4045fd1f;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@beb00e99;false;false;3811;0;0;0;0;5800;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@362 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@13ee97af;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;18349;301207;0;0;1792;5800;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@67e11bda;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;3897;0;0;0;0;5800;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@341ccfd1;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;10857;160252;0;0;1979;5800;0;
