Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5950054d;<java.util.zip.ZipFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.zip.ZipFile;false;false;4701;0;0;0;0;5800;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, reload()V >:NEW <Primordial,Ljava/util/ServiceLoader$LazyIterator>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@40c28b0d;<java.util.ServiceLoader: void reload()>;<Primordial,Ljava.util.ServiceLoader;false;false;22512;301383;0;0;1792;5800;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/dfa/report/ReportTree, iterator()Ljava/util/Iterator, >:NEW <Application,Lnet/sourceforge/pmd/dfa/report/ReportTree$TreeIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@cf984d9;<net.sourceforge.pmd.dfa.report.ReportTree: java.util.Iterator iterator()>;net.sourceforge.pmd.dfa.report.ReportTree;false;false;4124;0;0;0;0;5800;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Vector$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1fa98a22;<java.util.Vector: java.util.Iterator iterator()>;<Primordial,Ljava.util.Vector;false;false;3925;0;0;0;0;5800;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@54941dfd;<java.util.ArrayList: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.ArrayList;false;false;16265;118231;0;0;583;5800;0;
fink-unique;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@10a0a1e;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;3936;0;0;0;0;5800;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@f591271;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;false;15439;466612;0;0;1979;5800;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/LinkedList$ListItr>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5a583720;<java.util.LinkedList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.LinkedList;false;false;4004;0;0;0;0;5800;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ServiceLoader$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4ed19b69;<java.util.ServiceLoader: java.util.Iterator iterator()>;<Primordial,Ljava.util.ServiceLoader;false;false;10726;301235;0;0;1792;5800;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@59a5bb61;<java.util.ArrayList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.ArrayList;false;false;4191;0;0;0;0;5800;0;
