Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.jsp.ast.JJTJspParserState.<init> $r1 = new Stack,$r1 (JJTJspParserState.<init>) Value: new java.util.Stack);$r1 = new java.util.Stack;<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;true;30020;18436;30005;0;240;3780;0;
ideal;EmptyVector;ForwardQuery: (dacapo.TestHarness.vectorise $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;74;240;182145;12;14;3780;0;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder.<init> $r1 = new Stack,$r1 (ScopeAndDeclarationFinder.<init>) Value: new java.util.Stack);$r1 = new java.util.Stack;<net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder: void <init>()>;net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder;true;false;1171;1769;182084;963;272;3780;0;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.dfa.Structure.<init> $r2 = new Stack,$r2 (Structure.<init>) Value: new java.util.Stack);$r2 = new java.util.Stack;<net.sourceforge.pmd.dfa.Structure: void <init>()>;net.sourceforge.pmd.dfa.Structure;true;false;20227;5013;180938;246;291;3780;0;
ideal;EmptyVector;ForwardQuery: (dacapo.parser.ConfigFile.<init> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;65;782;160715;30;34;3780;0;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.jsp.ast.JspParser.<init> $r6 = new Vector,$r6 (JspParser.<init>) Value: new java.util.Vector);$r6 = new java.util.Vector;<net.sourceforge.pmd.jsp.ast.JspParser: void <init>(net.sourceforge.pmd.jsp.ast.CharStream)>;net.sourceforge.pmd.jsp.ast.JspParser;false;true;30003;18211;30001;0;229;3780;0;
ideal;EmptyVector;ForwardQuery: (dacapo.parser.ConfigFile.sizeClause $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;44;238;130678;10;14;3780;0;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.ast.JavaParser.<init> $r6 = new Vector,$r6 (JavaParser.<init>) Value: new java.util.Vector);$r6 = new java.util.Vector;<net.sourceforge.pmd.ast.JavaParser: void <init>(net.sourceforge.pmd.ast.CharStream)>;net.sourceforge.pmd.ast.JavaParser;false;true;30003;18226;30001;0;229;3780;0;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.jsp.ast.JJTJspParserState.<init> $r2 = new Stack,$r2 (JJTJspParserState.<init>) Value: new java.util.Stack);$r2 = new java.util.Stack;<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;true;30004;18414;30001;0;239;3780;0;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.ast.JJTJavaParserState.<init> $r1 = new Stack,$r1 (JJTJavaParserState.<init>) Value: new java.util.Stack);$r1 = new java.util.Stack;<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;true;30003;18490;30001;0;240;3780;0;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.ast.JJTJavaParserState.<init> $r2 = new Stack,$r2 (JJTJavaParserState.<init>) Value: new java.util.Stack);$r2 = new java.util.Stack;<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;true;30005;17795;30001;0;240;3780;0;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.dfa.Structure.<init> $r3 = new Stack,$r3 (Structure.<init>) Value: new java.util.Stack);$r3 = new java.util.Stack;<net.sourceforge.pmd.dfa.Structure: void <init>()>;net.sourceforge.pmd.dfa.Structure;false;false;10459;4204;10728;10279;287;3780;0;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor.addVariableAccess $r6 = new Vector,$r6 (VariableAccessVisitor.addVariableAccess) Value: new java.util.Vector);$r6 = new java.util.Vector;<net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor: void addVariableAccess(int,net.sourceforge.pmd.dfa.variableaccess.VariableAccess,java.util.List)>;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;false;false;33;166;271;6;22;3780;0;
