Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Stack;$r1 = new java.util.Stack;<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;true;6394;5780;6394;0;162;3795;$r8[array, parent, parser, jjtree, nodes];329398600;
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;$r6 = new java.util.Vector;<net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor: void addVariableAccess(int,net.sourceforge.pmd.dfa.variableaccess.VariableAccess,java.util.List)>;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;false;true;1340;185;1340;0;15;3795;$r8[array, parent, parser, jjtree, nodes];231417168;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;370;560;33;337;13;3795;$r8[array, parent, parser, jjtree, nodes];240044880;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Stack;$r2 = new java.util.Stack;<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;true;334347;5861;334347;0;162;3795;$r8[array, parent, parser, jjtree, nodes];618758584;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Stack;$r3 = new java.util.Stack;<net.sourceforge.pmd.dfa.Structure: void <init>()>;net.sourceforge.pmd.dfa.Structure;false;true;1727;4695;1727;0;283;3795;$r8[array, parent, parser, jjtree, nodes];279853512;
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;$r6 = new java.util.Vector;<net.sourceforge.pmd.jsp.ast.JspParser: void <init>(net.sourceforge.pmd.jsp.ast.CharStream)>;net.sourceforge.pmd.jsp.ast.JspParser;false;true;455520;4797;455520;0;159;3795;$r8[array, parent, parser, jjtree, nodes];624531184;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Stack;$r1 = new java.util.Stack;<net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder: void <init>()>;net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder;false;true;31490;2038;31490;0;270;3795;$r8[array, parent, parser, jjtree, nodes];426166256;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;110;254;17;93;13;3795;$r8[array, parent, parser, jjtree, nodes];238736712;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Stack;$r2 = new java.util.Stack;<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;true;381433;28346;381433;0;733;3795;$r8[array, parent, parser, jjtree, nodes];1066161808;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Stack;$r1 = new java.util.Stack;<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;true;1840;28265;1840;0;733;3795;$r8[array, parent, parser, jjtree, nodes];293585296;
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;$r6 = new java.util.Vector;<net.sourceforge.pmd.ast.JavaParser: void <init>(net.sourceforge.pmd.ast.CharStream)>;net.sourceforge.pmd.ast.JavaParser;false;true;364896;21458;364896;0;730;3795;$r8[array, parent, parser, jjtree, nodes];1104562256;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Stack;$r2 = new java.util.Stack;<net.sourceforge.pmd.dfa.Structure: void <init>()>;net.sourceforge.pmd.dfa.Structure;false;true;933;5502;933;0;287;3795;$r8[array, parent, parser, jjtree, nodes];278385000;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;false;356;1629;257;99;32;3795;$r8[array, parent, parser, jjtree, nodes];269514168;
