Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;IteratorHasNext;r191 @ r191 = interfaceinvoke $r20.<java.util.Set: java.util.Iterator iterator()>();r191 = interfaceinvoke $r20.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.renderers.PapariTextRenderer: java.lang.String render(net.sourceforge.pmd.Report)>;net.sourceforge.pmd.renderers.PapariTextRenderer;false;true;4452;496;4452;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];353151616;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;true;false;515;410;169;346;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];285721528;
ideal-ap;IteratorHasNext;r1 @ r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();<net.sourceforge.pmd.RuleSet: boolean usesDFA()>;net.sourceforge.pmd.RuleSet;false;true;3427;52;3427;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];300951216;
ideal-ap;IteratorHasNext;$r6 @ $r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();$r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.ClassScope: java.util.Map getVariableDeclarations()>;net.sourceforge.pmd.symboltable.ClassScope;false;true;1632;71;1632;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];283510704;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r4.<java.util.Collection: java.util.Iterator iterator()>();r2 = interfaceinvoke $r4.<java.util.Collection: java.util.Iterator iterator()>();<net.sourceforge.pmd.RuleSets: java.util.Set getAllRules()>;net.sourceforge.pmd.RuleSets;false;false;127;51;28;99;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];282916304;
ideal-ap;IteratorHasNext;$r6 @ $r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();$r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.MethodScope: java.util.Map getVariableDeclarations()>;net.sourceforge.pmd.symboltable.MethodScope;true;false;137;71;26;111;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];280202912;
ideal-ap;IteratorHasNext;$r6 @ $r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();$r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.LocalScope: java.util.Map getVariableDeclarations()>;net.sourceforge.pmd.symboltable.LocalScope;true;false;92;71;16;76;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];280314952;
ideal-ap;IteratorHasNext;$r5 @ $r5 = interfaceinvoke $r4.<java.util.Set: java.util.Iterator iterator()>();$r5 = interfaceinvoke $r4.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.MethodScope: java.lang.String toString()>;net.sourceforge.pmd.symboltable.MethodScope;false;true;3038;109;3038;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];302594592;
ideal-ap;IteratorHasNext;$r46 @ $r46 = interfaceinvoke $r45.<java.util.Set: java.util.Iterator iterator()>();$r46 = interfaceinvoke $r45.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.ClassScope: java.lang.String toString()>;net.sourceforge.pmd.symboltable.ClassScope;false;true;3480;424;3480;0;5;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];301968432;
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke r1.<net.sourceforge.pmd.Report: java.util.Iterator iterator()>();r3 = virtualinvoke r1.<net.sourceforge.pmd.Report: java.util.Iterator iterator()>();<net.sourceforge.pmd.renderers.CSVRenderer: java.lang.String render(net.sourceforge.pmd.Report)>;net.sourceforge.pmd.renderers.CSVRenderer;false;false;276;72;122;154;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];290539248;
