Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.ast.JJTJavaParserState.<init> $r2 = new Stack,$r2 (JJTJavaParserState.<init>) Value: new java.util.Stack);<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;true;30042;18614;30020;0;257;3775;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder.<init> $r1 = new Stack,$r1 (ScopeAndDeclarationFinder.<init>) Value: new java.util.Stack);<net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder: void <init>()>;net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder;true;false;1533;1769;530;1212;272;3775;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.ast.JJTJavaParserState.<init> $r1 = new Stack,$r1 (JJTJavaParserState.<init>) Value: new java.util.Stack);<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;true;30059;18614;30057;0;257;3775;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.jsp.ast.JJTJspParserState.<init> $r2 = new Stack,$r2 (JJTJspParserState.<init>) Value: new java.util.Stack);<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;true;30003;18689;30001;0;271;3775;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor.addVariableAccess $r6 = new Vector,$r6 (VariableAccessVisitor.addVariableAccess) Value: new java.util.Vector);<net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor: void addVariableAccess(int,net.sourceforge.pmd.dfa.variableaccess.VariableAccess,java.util.List)>;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;false;false;33;166;24;6;22;3775;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.jsp.ast.JspParser.<init> $r6 = new Vector,$r6 (JspParser.<init>) Value: new java.util.Vector);<net.sourceforge.pmd.jsp.ast.JspParser: void <init>(net.sourceforge.pmd.jsp.ast.CharStream)>;net.sourceforge.pmd.jsp.ast.JspParser;false;true;34486;18317;34483;0;261;3775;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.dfa.Structure.<init> $r2 = new Stack,$r2 (Structure.<init>) Value: new java.util.Stack);<net.sourceforge.pmd.dfa.Structure: void <init>()>;net.sourceforge.pmd.dfa.Structure;true;false;18406;5013;9940;245;291;3775;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.dfa.Structure.<init> $r3 = new Stack,$r3 (Structure.<init>) Value: new java.util.Stack);<net.sourceforge.pmd.dfa.Structure: void <init>()>;net.sourceforge.pmd.dfa.Structure;false;false;13559;4204;7133;13321;287;3775;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.ast.JavaParser.<init> $r6 = new Vector,$r6 (JavaParser.<init>) Value: new java.util.Vector);<net.sourceforge.pmd.ast.JavaParser: void <init>(net.sourceforge.pmd.ast.CharStream)>;net.sourceforge.pmd.ast.JavaParser;false;true;30232;17891;30231;0;253;3775;
ideal;EmptyVector;ForwardQuery: (dacapo.parser.ConfigFile.<init> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;63;782;31;30;34;3775;
ideal;EmptyVector;ForwardQuery: (net.sourceforge.pmd.jsp.ast.JJTJspParserState.<init> $r1 = new Stack,$r1 (JJTJspParserState.<init>) Value: new java.util.Stack);<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;true;30538;18229;30537;0;271;3775;
ideal;EmptyVector;ForwardQuery: (dacapo.parser.ConfigFile.sizeClause $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;52;238;38;11;14;3775;
ideal;EmptyVector;ForwardQuery: (dacapo.TestHarness.vectorise $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;67;240;49;15;14;3775;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Stack;<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;true;60385;5861;60385;0;162;3775;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Stack;<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;true;60561;28265;60561;0;733;3775;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Stack;<net.sourceforge.pmd.ast.JJTJavaParserState: void <init>()>;net.sourceforge.pmd.ast.JJTJavaParserState;false;true;4457;28346;4457;0;733;3775;
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;<net.sourceforge.pmd.jsp.ast.JspParser: void <init>(net.sourceforge.pmd.jsp.ast.CharStream)>;net.sourceforge.pmd.jsp.ast.JspParser;false;true;4218;4797;4218;0;159;3775;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Stack;<net.sourceforge.pmd.dfa.Structure: void <init>()>;net.sourceforge.pmd.dfa.Structure;false;true;3528;5502;3528;0;287;3775;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Stack;<net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder: void <init>()>;net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder;false;true;60115;2038;60115;0;270;3775;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;196;254;19;177;13;3775;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;false;614;1616;469;145;32;3775;
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;<net.sourceforge.pmd.ast.JavaParser: void <init>(net.sourceforge.pmd.ast.CharStream)>;net.sourceforge.pmd.ast.JavaParser;false;true;4938;21458;4938;0;730;3775;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Stack;<net.sourceforge.pmd.dfa.Structure: void <init>()>;net.sourceforge.pmd.dfa.Structure;false;true;645;4695;645;0;283;3775;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;112;560;31;81;13;3775;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Stack;<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;true;60143;5780;60143;0;162;3775;
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;<net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor: void addVariableAccess(int,net.sourceforge.pmd.dfa.variableaccess.VariableAccess,java.util.List)>;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;false;true;694;185;694;0;15;3775;
ideal;IteratorHasNext;ForwardQuery: (net.sourceforge.pmd.symboltable.SourceFileScope.toString $r4.iterator(),$r5 (SourceFileScope.toString) Value: interfaceinvoke $r4.<java.util.Set: java.util.Iterator iterator()>());<net.sourceforge.pmd.symboltable.SourceFileScope: java.lang.String toString()>;net.sourceforge.pmd.symboltable.SourceFileScope;false;false;46;7;13;1;3;3775;
ideal;IteratorHasNext;ForwardQuery: (net.sourceforge.pmd.symboltable.ClassScope.toString $r15.iterator(),$r16 (ClassScope.toString) Value: interfaceinvoke $r15.<java.util.Set: java.util.Iterator iterator()>());<net.sourceforge.pmd.symboltable.ClassScope: java.lang.String toString()>;net.sourceforge.pmd.symboltable.ClassScope;false;false;10;7;1;1;3;3775;
ideal;IteratorHasNext;ForwardQuery: (net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor.markUsages $r20.iterator(),r8 (VariableAccessVisitor.markUsages) Value: interfaceinvoke $r20.<java.util.List: java.util.Iterator iterator()>());<net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor: java.util.List markUsages(net.sourceforge.pmd.dfa.IDataFlowNode)>;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;false;false;373;117;261;92;10;3775;
ideal;IteratorHasNext;ForwardQuery: (net.sourceforge.pmd.RuleSets.usesDFA $r4.iterator(),r2 (RuleSets.usesDFA) Value: interfaceinvoke $r4.<java.util.Collection: java.util.Iterator iterator()>());<net.sourceforge.pmd.RuleSets: boolean usesDFA(net.sourceforge.pmd.Language)>;net.sourceforge.pmd.RuleSets;false;false;132;69;109;19;9;3775;
ideal;IteratorHasNext;ForwardQuery: (net.sourceforge.pmd.renderers.SummaryHTMLRenderer.renderSummary $r11.iterator(),r4 (SummaryHTMLRenderer.renderSummary) Value: interfaceinvoke $r11.<java.util.Set: java.util.Iterator iterator()>());<net.sourceforge.pmd.renderers.SummaryHTMLRenderer: java.lang.String renderSummary(net.sourceforge.pmd.Report)>;net.sourceforge.pmd.renderers.SummaryHTMLRenderer;false;false;1;1;0;0;2;3775;
