Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1cbc5693;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;3326;88660;0;0;626;1796;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljavax/xml/transform/SecuritySupport$3, run()Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@ab2e6d2;<javax.xml.transform.SecuritySupport$3: java.lang.Object run()>;<Primordial,Ljavax.xml.transform.SecuritySupport$3;false;false;2239;64886;0;0;883;1796;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71664560;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;577;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/BufferedInputStream>@362 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4d4436d0;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;2733;88619;0;0;626;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@39da5e49;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;758;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2443abd6;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;766;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@674da77b;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@941319fb;false;false;555;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@bd3eff4;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;557;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/xalan/XalanHarness$XalanWorker, run()V >:NEW <Application,Ljava/io/FileInputStream>@93 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6010d0d1;<dacapo.xalan.XalanHarness$XalanWorker: void run()>;dacapo.xalan.XalanHarness$XalanWorker;false;false;625;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/security/Security, initialize()V >:NEW <Primordial,Ljava/io/FileInputStream>@29 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5934ca1e;<java.security.Security: void initialize()>;<Primordial,Ljava.security.Security;false;false;1915;64878;0;0;883;1796;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/FileInputStream>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5348d83c;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;558;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFileResource(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@41 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@477021ee;<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;564;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/util/zip/ZipInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2180e789;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;622;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Application,Ldacapo/TeeOutputStream>@21 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@733e6df7;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@941319fb;false;false;1111;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/TeeOutputStream, newLog()V >:NEW <Application,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@32227215;<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;false;false;872;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/io/FileOutputStream>@90 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@108e9837;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;621;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, <init>(Ldacapo/parser/Config,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeePrintStream>@84 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@79a201cf;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;674;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/PrintStream>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4e375bba;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;639;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileWriter, <init>(Ljava/lang/String,Z)V >:NEW <Primordial,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2443abd6;<java.io.FileWriter: void <init>(java.lang.String,boolean)>;<Primordial,Ljava.io.FileWriter;false;false;1861;52324;0;0;856;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/TeePrintStream, <init>(Ljava/io/OutputStream,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeeOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@674da77b;<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;false;588;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/FileOutputStream>@9 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@bd3eff4;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;623;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileOutputStream>@9 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6010d0d1;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@941319fb;false;false;586;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/PrintStream>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5934ca1e;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;563;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedOutputStream>@101 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5348d83c;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;651;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, <init>(Ldacapo/parser/Config,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeePrintStream>@37 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@477021ee;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;760;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/FileOutputStream>@7 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2180e789;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;790;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/xalan/XalanHarness$XalanWorker, run()V >:NEW <Application,Ljava/io/FileOutputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5e9bbd9d;<dacapo.xalan.XalanHarness$XalanWorker: void run()>;dacapo.xalan.XalanHarness$XalanWorker;false;false;638;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/PrintStream>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4ea56bdb;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;1111;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Ljava/lang/System, initializeSystemClass()V >:NEW <Primordial,Ljava/io/PrintStream>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3d2f3dcb;<java.lang.System: void initializeSystemClass()>;<Primordial,Ljava.lang.System;false;false;805;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, <init>(Ldacapo/parser/Config,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeePrintStream>@37 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@59845579;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;592;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, <init>(Ldacapo/parser/Config,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeePrintStream>@84 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@30c19bff;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;700;0;0;0;0;1796;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, enableValidationReport(Ljava/lang/String,)V >:NEW <Application,Ljava/io/PrintWriter>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4ea56bdb;<dacapo.Benchmark: void enableValidationReport(java.lang.String)>;dacapo.Benchmark;false;false;2381;52326;0;0;856;1796;0;
