QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<antlr.collections.impl.BitSet: void setSize(int)> r0.bits = r1,r0 (BitSet.setSize));BackwardQuery: (<antlr.collections.impl.BitSet: void orInPlace(antlr.collections.impl.BitSet)> $r4 = r0.bits,r0 (BitSet.orInPlace));false;357;false;true;480;false;true;1;false
BackwardQuery: (<antlr.DefineGrammarSymbols: void reset()> r0.grammar = varReplacer2407,r0 (DefineGrammarSymbols.reset));BackwardQuery: (<antlr.MakeGrammar: antlr.AlternativeBlock createOptionalRuleRef(java.lang.String,antlr.Token)> $r12 = r0.grammar,r0 (MakeGrammar.createOptionalRuleRef));true;-1;true;true;459;false;true;185;false
BackwardQuery: (<antlr.DefineGrammarSymbols: void endOptions()> $r15 = r0.grammar,r0 (DefineGrammarSymbols.endOptions));BackwardQuery: (<antlr.DefineGrammarSymbols: void startTreeWalker(java.lang.String,antlr.Token,java.lang.String,java.lang.String)> r0.grammar = $r7,r0 (DefineGrammarSymbols.startTreeWalker));true;-1;true;true;521;false;true;0;false
BackwardQuery: (<antlr.ANTLRParser: void rule()> $i8 = $r11.guessing,$r11 (ANTLRParser.rule));BackwardQuery: (<antlr.ANTLRParser: void classDef()> $r2.guessing = $i4,$r2 (ANTLRParser.classDef));true;-1;true;true;480;false;true;6;false
BackwardQuery: (<antlr.ANTLRParser: void classDef()> $r8.guessing = $i14,$r8 (ANTLRParser.classDef));BackwardQuery: (<antlr.ANTLRParser: void elementNoOptionSpec()> $i26 = $r36.guessing,$r36 (ANTLRParser.elementNoOptionSpec));true;-1;true;true;420;false;true;6;false
BackwardQuery: (<antlr.ANTLRParser: boolean lastInRule()> $i0 = r0.blockNesting,r0 (ANTLRParser.lastInRule));BackwardQuery: (<antlr.ANTLRParser: void block()> r0.blockNesting = $i5,r0 (ANTLRParser.block));true;735;false;true;246;false;true;5;false
BackwardQuery: (<antlr.ANTLRParser: java.lang.String superClass()> $i0 = $r1.guessing,$r1 (ANTLRParser.superClass));BackwardQuery: (<antlr.ParserSharedInputState: void <init>()> r0.guessing = varReplacer1577,r0 (ParserSharedInputState.<init>));true;-1;true;true;257;false;true;53;false
BackwardQuery: (<antlr.MakeGrammar: void refMemberAction(antlr.Token)> $r2 = r0.grammar,r0 (MakeGrammar.refMemberAction));BackwardQuery: (<antlr.DefineGrammarSymbols: void startParser(java.lang.String,antlr.Token,java.lang.String,java.lang.String)> r0.grammar = $r7,r0 (DefineGrammarSymbols.startParser));true;-1;true;true;242;false;true;0;false
BackwardQuery: (<antlr.preprocessor.PreprocessorLexer: void mBANG(boolean)> r0._returnToken = r6,r0 (PreprocessorLexer.mBANG));BackwardQuery: (<antlr.preprocessor.PreprocessorLexer: antlr.Token nextToken()> $r15 = r0._returnToken,r0 (PreprocessorLexer.nextToken));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<antlr.collections.impl.BitSet: void <init>(long[])> r0.bits = r1,r0 (BitSet.<init>));BackwardQuery: (<antlr.collections.impl.BitSet: int degree()> $r1 = r0.bits,r0 (BitSet.degree));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<antlr.ANTLRLexer: antlr.Token nextToken()> r0._returnToken = $r6,r0 (ANTLRLexer.nextToken));BackwardQuery: (<antlr.ANTLRLexer: void mARG_ACTION(boolean)> r0._returnToken = r8,r0 (ANTLRLexer.mARG_ACTION));true;-1;true;true;-1;true;true;14;false
BackwardQuery: (<antlr.preprocessor.Grammar: void expandInPlace()> $r11 = r0.options,r0 (Grammar.expandInPlace));BackwardQuery: (<antlr.preprocessor.Grammar: void addOption(antlr.preprocessor.Option)> r0.options = $r5,r0 (Grammar.addOption));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<antlr.TokenBuffer: void <init>(antlr.TokenStream)> r0.markerOffset = varReplacer1602,r0 (TokenBuffer.<init>));BackwardQuery: (<antlr.TokenBuffer: void syncConsume()> r0.markerOffset = $i5,r0 (TokenBuffer.syncConsume));true;-1;true;true;857;false;true;2;false
BackwardQuery: (<antlr.AlternativeBlock: void setOption(antlr.Token,antlr.Token)> r0.generateAmbigWarnings = varReplacer2587,r0 (AlternativeBlock.setOption));BackwardQuery: (<antlr.MakeGrammar: void setBlock(antlr.AlternativeBlock,antlr.AlternativeBlock)> r0.generateAmbigWarnings = $z3,r0 (MakeGrammar.setBlock));true;-1;true;true;-1;true;true;15;false
BackwardQuery: (<antlr.ANTLRLexer: void mESC(boolean)> r0._returnToken = r14,r0 (ANTLRLexer.mESC));BackwardQuery: (<antlr.ANTLRLexer: void mPLUS(boolean)> r0._returnToken = r6,r0 (ANTLRLexer.mPLUS));true;-1;true;true;-1;true;true;17;false
BackwardQuery: (<antlr.ANTLRParser: void classDef()> $r8.guessing = $i14,$r8 (ANTLRParser.classDef));BackwardQuery: (<antlr.ANTLRParser: void terminal(antlr.Token)> $i1 = $r2.guessing,$r2 (ANTLRParser.terminal));true;-1;true;true;279;false;true;4;false
BackwardQuery: (<antlr.ANTLRParser: void classDef()> $r9.guessing = $i16,$r9 (ANTLRParser.classDef));BackwardQuery: (<antlr.ANTLRParser: void terminal(antlr.Token)> $i10 = $r24.guessing,$r24 (ANTLRParser.terminal));true;-1;true;true;318;false;true;4;false
BackwardQuery: (<antlr.Grammar: void setTokenManager(antlr.TokenManager)> r0.tokenManager = r1,r0 (Grammar.setTokenManager));BackwardQuery: (<antlr.DefineGrammarSymbols: void defineToken(antlr.Token,antlr.Token)> $r28 = $r27.tokenManager,$r27 (DefineGrammarSymbols.defineToken));true;-1;true;true;658;false;true;0;false
BackwardQuery: (<antlr.DefineGrammarSymbols: void endOptions()> $r12 = r0.grammar,r0 (DefineGrammarSymbols.endOptions));BackwardQuery: (<antlr.DefineGrammarSymbols: void startTreeWalker(java.lang.String,antlr.Token,java.lang.String,java.lang.String)> r0.grammar = $r7,r0 (DefineGrammarSymbols.startTreeWalker));true;-1;true;true;482;false;true;0;false
BackwardQuery: (<antlr.Parser: void <init>(antlr.ParserSharedInputState)> r0.inputState = r1,r0 (Parser.<init>));BackwardQuery: (<antlr.ANTLRParser: void range(antlr.Token)> $r2 = r0.inputState,r0 (ANTLRParser.range));true;640;false;true;372;false;true;0;false
BackwardQuery: (<antlr.preprocessor.Tool: boolean preprocess()> $i0 = r0.nargs,r0 (Tool.preprocess));BackwardQuery: (<antlr.preprocessor.Tool: void processArguments(java.lang.String[])> r0.nargs = $i8,r0 (Tool.processArguments));true;35;false;true;285;false;true;0;false
BackwardQuery: (<antlr.preprocessor.PreprocessorLexer: void mCOMMENT(boolean)> r0._returnToken = r8,r0 (PreprocessorLexer.mCOMMENT));BackwardQuery: (<antlr.preprocessor.PreprocessorLexer: void mCOMMA(boolean)> r0._returnToken = r6,r0 (PreprocessorLexer.mCOMMA));true;-1;true;true;-1;true;true;8;false
BackwardQuery: (<antlr.ANTLRParser: void classDef()> $r3.guessing = $i7,$r3 (ANTLRParser.classDef));BackwardQuery: (<antlr.ANTLRParser: void ruleOptionsSpec()> $i1 = $r3.guessing,$r3 (ANTLRParser.ruleOptionsSpec));true;-1;true;true;313;false;true;7;false
BackwardQuery: (<antlr.LexerGrammar: void <init>(java.lang.String,antlr.Tool,java.lang.String)> r0.caseSensitive = varReplacer2444,r0 (LexerGrammar.<init>));BackwardQuery: (<antlr.LexerGrammar: boolean setOption(java.lang.String,antlr.Token)> r0.caseSensitive = varReplacer2657,r0 (LexerGrammar.setOption));true;-1;true;true;-1;true;true;12;false
BackwardQuery: (<antlr.Parser: void <init>(antlr.ParserSharedInputState)> r0.inputState = r1,r0 (Parser.<init>));BackwardQuery: (<antlr.ANTLRParser: void ebnf(antlr.Token,boolean)> $r21 = r0.inputState,r0 (ANTLRParser.ebnf));true;718;false;true;287;false;true;0;false
BackwardQuery: (<antlr.preprocessor.PreprocessorLexer: antlr.Token nextToken()> $r1 = r0._returnToken,r0 (PreprocessorLexer.nextToken));BackwardQuery: (<antlr.CharScanner: void <init>()> r0._returnToken = varReplacer1661,r0 (CharScanner.<init>));true;-1;true;true;-1;true;true;-1;true
