QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ConditionalPermissionSet: boolean isNonEmpty()> $r5 = r0.cpis,r0 (ConditionalPermissionSet.isNonEmpty));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ConditionalPermissionSet: void addConditionalPermissionInfo(org.eclipse.osgi.framework.internal.core.ConditionalPermissionInfoImpl)> r0.cpis = r15,r0 (ConditionalPermissionSet.addConditionalPermissionInfo));true;-1;true;true;-1;true;true;26;false
BackwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseLog: void closeFile()> $r4 = r0.writer,r0 (EclipseLog.closeFile));BackwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseLog: void log(org.eclipse.osgi.framework.log.FrameworkLogEntry)> r0.writer = $r11,r0 (EclipseLog.log));true;-1;true;true;789;false;true;0;false
BackwardQuery: (<org.osgi.framework.AdminPermission: void <init>(org.osgi.framework.Bundle,java.lang.String)> r0.action_mask = $i0,r0 (AdminPermission.<init>));BackwardQuery: (<org.osgi.framework.AdminPermission: java.lang.String getActions()> $i0 = r0.action_mask,r0 (AdminPermission.getActions));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.SystemBundle: void <init>(org.eclipse.osgi.framework.internal.core.Framework)> r0.state = varReplacer2408,r0 (SystemBundle.<init>));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleHost: void stopWorker(boolean)> r0.state = varReplacer3625,r0 (BundleHost.stopWorker));true;-1;true;true;-1;true;true;7;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.SystemBundle: void stop()> $i0 = r0.state,r0 (SystemBundle.stop));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.StartLevelManager: void resumeBundles(org.eclipse.osgi.framework.internal.core.AbstractBundle[],boolean)> $r18.state = varReplacer3376,$r18 (StartLevelManager.resumeBundles));true;-1;true;true;-1;true;true;20;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.AbstractBundle: java.net.URL getEntry(java.lang.String)> $r3 = r0.framework,r0 (AbstractBundle.getEntry));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.AbstractBundle: void <init>(org.eclipse.osgi.framework.adaptor.BundleData,org.eclipse.osgi.framework.internal.core.Framework)> r0.framework = r2,r0 (AbstractBundle.<init>));false;5;false;true;-1;true;true;11;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.String parse_value()> $i10 = r0.pos,r0 (FilterImpl$Parser.parse_value));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filtercomp(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i3,r0 (FilterImpl$Parser.parse_filtercomp));true;95;false;true;631;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)> r0.processor = $r21,r0 (BundleNativeCode.addAttribute));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleNativeCode: int matchProcessorOSNameFilter(java.lang.String,java.lang.String)> $r5 = r0.processor,r0 (BundleNativeCode.matchProcessorOSNameFilter));true;-1;true;true;581;false;true;0;false
BackwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseLog: void openFile()> $r1 = r0.writer,r0 (EclipseLog.openFile));BackwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseLog: void setOutput(java.io.File,java.io.Writer,boolean)> r0.writer = r2,r0 (EclipseLog.setOutput));true;-1;true;true;579;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.SingleSourcePackage: void <init>(java.lang.String,int,org.eclipse.osgi.framework.internal.core.BundleLoaderProxy)> r0.supplier = r2,r0 (SingleSourcePackage.<init>));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.SingleSourcePackage: java.lang.String toString()> $r5 = r0.supplier,r0 (SingleSourcePackage.toString));true;-1;true;true;-1;true;true;8;false
