QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<org.apache.fop.apps.FOPException: java.lang.String getMessage()> $i1 = r0.line,r0 (FOPException.getMessage));BackwardQuery: (<org.apache.fop.apps.FOPException: void <init>(java.lang.Throwable)> r0.line = varReplacer1488,r0 (FOPException.<init>));false;449;false;true;-1;true;true;49;false
BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void debug()> $r32 = r0.outfile,r0 (CommandLineOptions.debug));BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void <init>(java.lang.String[])> r0.outfile = varReplacer1289,r0 (CommandLineOptions.<init>));false;2;false;true;820;false;true;0;false
BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void <init>(java.lang.String[])> r0.inputmode = varReplacer1298,r0 (CommandLineOptions.<init>));BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: boolean parseOptions(java.lang.String[])> r0.inputmode = varReplacer1336,r0 (CommandLineOptions.parseOptions));true;-1;true;true;481;false;true;0;false
BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void debug()> $i1 = r0.outputmode,r0 (CommandLineOptions.debug));BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: boolean parseOptions(java.lang.String[])> r0.outputmode = varReplacer1349,r0 (CommandLineOptions.parseOptions));true;-1;true;true;616;false;true;0;false
BackwardQuery: (<org.apache.fop.apps.Options: void loadUserconfiguration(org.xml.sax.InputSource)> $z0 = r0.errorDump,r0 (Options.loadUserconfiguration));BackwardQuery: (<org.apache.fop.apps.Options: void setCommandLineOptions(org.apache.fop.apps.CommandLineOptions)> r0.errorDump = $z1,r0 (Options.setCommandLineOptions));true;155;false;true;561;false;true;0;false
BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void <init>(java.lang.String[])> r0.outfile = varReplacer1289,r0 (CommandLineOptions.<init>));BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void debug()> $r61 = r0.outfile,r0 (CommandLineOptions.debug));true;811;false;true;565;false;true;0;false
BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void checkSettings()> $r26 = r0.xmlfile,r0 (CommandLineOptions.checkSettings));BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void <init>(java.lang.String[])> r0.xmlfile = varReplacer1295,r0 (CommandLineOptions.<init>));true;868;false;true;531;false;true;0;false
BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void checkSettings()> $i1 = r0.outputmode,r0 (CommandLineOptions.checkSettings));BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void setOutputMode(int)> r0.outputmode = i0,r0 (CommandLineOptions.setOutputMode));true;-1;true;true;427;false;true;0;false
BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: boolean parseOptions(java.lang.String[])> r0.xsltfile = $r106,r0 (CommandLineOptions.parseOptions));BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void checkSettings()> $r25 = r0.xsltfile,r0 (CommandLineOptions.checkSettings));true;926;false;true;438;false;true;0;false
BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void setLogger(org.apache.avalon.framework.logger.Logger)> r0.log = r1,r0 (CommandLineOptions.setLogger));BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void debug()> $r3 = r0.log,r0 (CommandLineOptions.debug));true;980;false;true;451;false;true;0;false
BackwardQuery: (<org.apache.fop.apps.Options: void setCommandLineOptions(org.apache.fop.apps.CommandLineOptions)> r0.errorDump = $z1,r0 (Options.setCommandLineOptions));BackwardQuery: (<org.apache.fop.apps.Options: void loadStandardConfiguration()> $z0 = r0.errorDump,r0 (Options.loadStandardConfiguration));true;72;false;true;438;false;true;12;false
BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: void debug()> $r24 = r0.outfile,r0 (CommandLineOptions.debug));BackwardQuery: (<org.apache.fop.apps.CommandLineOptions: boolean parseOptions(java.lang.String[])> r0.outfile = $r65,r0 (CommandLineOptions.parseOptions));false;0;false;true;433;false;true;0;false
