QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.pstmt5 = $r43,r0 (PseudoJDBCBench$ClientThread.<init>));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r74 = r0.pstmt5,r0 (PseudoJDBCBench$ClientThread.doOne));false;41;false;true;104;false;true;30;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void run()> r0.Conn = null,r0 (PseudoJDBCBench$ClientThread.run));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> $r29 = r0.Conn,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;58;false;false;1;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void run()> r0.Conn = null,r0 (PseudoJDBCBench$ClientThread.run));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> $r21 = r0.Conn,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;56;false;false;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> $r37 = r0.Conn,r0 (PseudoJDBCBench$ClientThread.<init>));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void run()> r0.Conn = null,r0 (PseudoJDBCBench$ClientThread.run));false;1;false;true;50;false;true;16;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.Conn = $r5,r0 (PseudoJDBCBench$ClientThread.<init>));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r88 = r0.Conn,r0 (PseudoJDBCBench$ClientThread.doOne));true;-1;true;true;58;false;true;12;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r60 = r0.pstmt1,r0 (PseudoJDBCBench$ClientThread.doOne));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.pstmt1 = $r14,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;57;false;false;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$MemoryWatcherThread: void <init>(dacapo.hsqldb.PseudoJDBCBench)> r0.max = 0L,r0 (PseudoJDBCBench$MemoryWatcherThread.<init>));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench: void reportDone()> $l2 = $r11.max,$r11 (PseudoJDBCBench.reportDone));false;72;false;true;77;false;true;2;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$MemoryWatcherThread: void run()> r0.min = l2,r0 (PseudoJDBCBench$MemoryWatcherThread.run));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$MemoryWatcherThread: void reset()> r0.min = $l2,r0 (PseudoJDBCBench$MemoryWatcherThread.reset));true;201;false;true;43;false;false;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r3 = r0.Conn,r0 (PseudoJDBCBench$ClientThread.doOne));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void run()> r0.Conn = null,r0 (PseudoJDBCBench$ClientThread.run));true;-1;true;true;27;false;true;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void run()> $r5 = r0.pstmt5,r0 (PseudoJDBCBench$ClientThread.run));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.pstmt5 = $r43,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;20;false;false;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r70 = r0.pstmt4,r0 (PseudoJDBCBench$ClientThread.doOne));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.pstmt4 = null,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;22;false;false;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$MemoryWatcherThread: void <init>(dacapo.hsqldb.PseudoJDBCBench)> r0.keep_running = 1,r0 (PseudoJDBCBench$MemoryWatcherThread.<init>));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$MemoryWatcherThread: void end()> r0.keep_running = 0,r0 (PseudoJDBCBench$MemoryWatcherThread.end));false;67;false;true;23;false;true;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.pstmt5 = $r43,r0 (PseudoJDBCBench$ClientThread.<init>));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r77 = r0.pstmt5,r0 (PseudoJDBCBench$ClientThread.doOne));false;0;false;true;21;false;true;8;false
