QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<org.apache.lucene.search.TopFieldDocCollector: void collect(int,float)> $i2 = r0.totalHits,r0 (TopFieldDocCollector.collect));BackwardQuery: (<org.apache.lucene.search.TopDocCollector: void collect(int,float)> r0.totalHits = $i3,r0 (TopDocCollector.collect));true;-1;true;true;-1;true;true;13;false
BackwardQuery: (<org.apache.lucene.util.PriorityQueue: void put(java.lang.Object)> r0.size = $i1,r0 (PriorityQueue.put));BackwardQuery: (<org.apache.lucene.util.PriorityQueue: java.lang.Object pop()> r0.size = $i4,r0 (PriorityQueue.pop));true;-1;true;true;-1;true;true;4;false
BackwardQuery: (<org.apache.lucene.analysis.standard.FastCharStream: char readChar()> r0.bufferPosition = $i3,r0 (FastCharStream.readChar));BackwardQuery: (<org.apache.lucene.analysis.standard.FastCharStream: java.lang.String GetImage()> $i1 = r0.bufferPosition,r0 (FastCharStream.GetImage));true;-1;true;false;285;false;true;6;false
BackwardQuery: (<org.apache.lucene.search.PhraseScorer: void <init>(org.apache.lucene.search.Weight,org.apache.lucene.index.TermPositions[],int[],org.apache.lucene.search.Similarity,byte[])> r0.first = r6,r0 (PhraseScorer.<init>));BackwardQuery: (<org.apache.lucene.search.PhraseScorer: void pqToList()> r0.first = r1,r0 (PhraseScorer.pqToList));true;-1;true;true;-1;true;true;50;false
BackwardQuery: (<org.apache.lucene.search.FilteredTermEnum: boolean next()> $r2 = r0.actualEnum,r0 (FilteredTermEnum.next));BackwardQuery: (<org.apache.lucene.search.FilteredTermEnum: void close()> r0.actualEnum = varReplacer2451,r0 (FilteredTermEnum.close));true;174;false;true;269;false;true;9;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveStringLiteralDfa1_1(long)> r0.curChar = $c1,r0 (QueryParserTokenManager.jjMoveStringLiteralDfa1_1));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_0(int,int)> r0.curChar = $c18,r0 (QueryParserTokenManager.jjMoveNfa_0));true;-1;true;true;325;false;true;24;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: org.apache.lucene.queryParser.Token jjFillToken()> $r7 = r0.input_stream,r0 (QueryParserTokenManager.jjFillToken));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: void <init>(org.apache.lucene.queryParser.CharStream)> r0.input_stream = r1,r0 (QueryParserTokenManager.<init>));true;-1;true;true;272;false;true;-1;true
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: int jj_ntk()> r0.jj_ntk = $i1,r0 (QueryParser.jj_ntk));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Clause(java.lang.String)> $i5 = r0.jj_ntk,r0 (QueryParser.Clause));true;912;false;true;282;false;true;0;false
BackwardQuery: (<org.apache.lucene.index.MultipleTermPositions$IntQueue: void <init>()> r0._index = varReplacer3210,r0 (MultipleTermPositions$IntQueue.<init>));BackwardQuery: (<org.apache.lucene.index.MultipleTermPositions$IntQueue: int size()> $i0 = r0._index,r0 (MultipleTermPositions$IntQueue.size));true;-1;true;true;-1;true;true;10;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> $c112 = r0.curChar,r0 (QueryParserTokenManager.jjMoveNfa_3));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> r0.curChar = $c18,r0 (QueryParserTokenManager.jjMoveNfa_1));true;-1;true;true;268;false;true;1;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_0(int,int)> r0.jjmatchedPos = i28,r0 (QueryParserTokenManager.jjMoveNfa_0));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjStopAtPos(int,int)> r0.jjmatchedPos = i0,r0 (QueryParserTokenManager.jjStopAtPos));true;-1;true;true;270;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: void ReInit(org.apache.lucene.queryParser.CharStream)> r0.jj_ntk = varReplacer1336,r0 (QueryParser.ReInit));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: int Modifiers()> $i0 = r0.jj_ntk,r0 (QueryParser.Modifiers));true;591;false;true;268;false;true;0;false
BackwardQuery: (<org.apache.lucene.search.ReqExclScorer: void <init>(org.apache.lucene.search.Scorer,org.apache.lucene.search.Scorer)> r0.reqScorer = r1,r0 (ReqExclScorer.<init>));BackwardQuery: (<org.apache.lucene.search.ReqExclScorer: boolean toNonExcluded()> $r2 = r0.reqScorer,r0 (ReqExclScorer.toNonExcluded));true;-1;true;true;-1;true;true;63;false
BackwardQuery: (<org.apache.lucene.analysis.standard.StandardTokenizerTokenManager: int jjMoveNfa_0(int,int)> r0.jjnewStateCnt = $i21,r0 (StandardTokenizerTokenManager.jjMoveNfa_0));BackwardQuery: (<org.apache.lucene.analysis.standard.StandardTokenizerTokenManager: void jjAddStates(int,int)> $i1 = r0.jjnewStateCnt,r0 (StandardTokenizerTokenManager.jjAddStates));true;-1;true;false;261;false;true;3;false
BackwardQuery: (<org.apache.lucene.analysis.standard.StandardTokenizerTokenManager: int jjMoveNfa_0(int,int)> r0.jjnewStateCnt = i248,r0 (StandardTokenizerTokenManager.jjMoveNfa_0));BackwardQuery: (<org.apache.lucene.analysis.standard.StandardTokenizerTokenManager: void jjCheckNAdd(int)> $i3 = r0.jjnewStateCnt,r0 (StandardTokenizerTokenManager.jjCheckNAdd));true;-1;true;false;266;false;true;3;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjStopStringLiteralDfa_2(int,long)> r0.jjmatchedKind = varReplacer2375,r0 (QueryParserTokenManager.jjStopStringLiteralDfa_2));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: org.apache.lucene.queryParser.Token getNextToken()> $i3 = r0.jjmatchedKind,r0 (QueryParserTokenManager.getNextToken));true;-1;true;true;284;false;true;0;false
BackwardQuery: (<org.apache.lucene.search.PhraseScorer: void firstToLast()> r0.first = $r5,r0 (PhraseScorer.firstToLast));BackwardQuery: (<org.apache.lucene.search.PhraseScorer: boolean doNext()> $r2 = r0.first,r0 (PhraseScorer.doNext));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: void ReInit(org.apache.lucene.queryParser.CharStream)> r0.input_stream = r1,r0 (QueryParserTokenManager.ReInit));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: void <init>(org.apache.lucene.queryParser.CharStream)> r0.input_stream = r1,r0 (QueryParserTokenManager.<init>));true;-1;true;true;274;false;true;0;false
BackwardQuery: (<org.apache.lucene.store.Lock$With: void <init>(org.apache.lucene.store.Lock,long)> r0.lock = r1,r0 (Lock$With.<init>));BackwardQuery: (<org.apache.lucene.store.Lock$With: java.lang.Object run()> $r4 = r0.lock,r0 (Lock$With.run));true;31;false;true;247;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> r0.curChar = $c18,r0 (QueryParserTokenManager.jjMoveNfa_3));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> $c28 = r0.curChar,r0 (QueryParserTokenManager.jjMoveNfa_1));true;-1;true;true;276;false;true;1;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjStartNfaWithStates_1(int,int,int)> r0.curChar = $c3,r0 (QueryParserTokenManager.jjStartNfaWithStates_1));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> $c81 = r0.curChar,r0 (QueryParserTokenManager.jjMoveNfa_3));true;-1;true;true;272;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_0(int,int)> r0.jjmatchedKind = i31,r0 (QueryParserTokenManager.jjMoveNfa_0));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> r0.jjmatchedKind = i121,r0 (QueryParserTokenManager.jjMoveNfa_3));true;-1;true;true;271;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: org.apache.lucene.queryParser.Token getNextToken()> $c22 = r0.curChar,r0 (QueryParserTokenManager.getNextToken));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> r0.curChar = $c18,r0 (QueryParserTokenManager.jjMoveNfa_1));true;-1;true;true;277;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> r90.image = $r52,r90 (QueryParser.Term));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> r89.image = $r61,r89 (QueryParser.Term));true;-1;true;true;-1;true;true;276;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> $r59 = r89.image,r89 (QueryParser.Term));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: org.apache.lucene.queryParser.Token jjFillToken()> r1.image = $r10,r1 (QueryParserTokenManager.jjFillToken));true;-1;true;true;-1;true;true;4;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> $c113 = r0.curChar,r0 (QueryParserTokenManager.jjMoveNfa_3));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> r0.curChar = $c18,r0 (QueryParserTokenManager.jjMoveNfa_1));true;-1;true;true;314;false;true;1;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_2(int,int)> r0.jjmatchedKind = i35,r0 (QueryParserTokenManager.jjMoveNfa_2));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjStartNfaWithStates_1(int,int,int)> r0.jjmatchedKind = i1,r0 (QueryParserTokenManager.jjStartNfaWithStates_1));true;-1;true;true;300;false;true;1;false
BackwardQuery: (<org.apache.lucene.search.WildcardTermEnum: void <init>(org.apache.lucene.index.IndexReader,org.apache.lucene.index.Term)> r0.pre = varReplacer2474,r0 (WildcardTermEnum.<init>));BackwardQuery: (<org.apache.lucene.search.WildcardTermEnum: boolean termCompare(org.apache.lucene.index.Term)> $r5 = r0.pre,r0 (WildcardTermEnum.termCompare));true;44;false;true;289;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_2(int,int)> $c13 = r0.curChar,r0 (QueryParserTokenManager.jjMoveNfa_2));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveStringLiteralDfa1_2(long)> r0.curChar = $c1,r0 (QueryParserTokenManager.jjMoveStringLiteralDfa1_2));true;-1;true;true;304;false;true;0;false
BackwardQuery: (<org.apache.lucene.index.SegmentMergeInfo: boolean next()> r0.term = varReplacer2492,r0 (SegmentMergeInfo.next));BackwardQuery: (<org.apache.lucene.index.SegmentMergeInfo: void <init>(int,org.apache.lucene.index.TermEnum,org.apache.lucene.index.IndexReader)> r0.term = $r3,r0 (SegmentMergeInfo.<init>));true;-1;true;true;-1;true;true;2;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> r0.jjnewStateCnt = i33,r0 (QueryParserTokenManager.jjMoveNfa_1));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> $i63 = r0.jjnewStateCnt,r0 (QueryParserTokenManager.jjMoveNfa_3));true;-1;true;true;440;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.FastCharStream: char BeginToken()> r0.tokenStart = $i0,r0 (FastCharStream.BeginToken));BackwardQuery: (<org.apache.lucene.queryParser.FastCharStream: java.lang.String GetImage()> $i0 = r0.tokenStart,r0 (FastCharStream.GetImage));true;-1;true;true;514;false;true;5;false
BackwardQuery: (<org.apache.lucene.search.ConjunctionScorer: void init(boolean)> $r5 = r0.scorers,r0 (ConjunctionScorer.init));BackwardQuery: (<org.apache.lucene.search.ConjunctionScorer: void <init>(org.apache.lucene.search.Similarity)> r0.scorers = $r2,r0 (ConjunctionScorer.<init>));true;-1;true;true;-1;true;true;6;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_2(int,int)> r0.jjnewStateCnt = i33,r0 (QueryParserTokenManager.jjMoveNfa_2));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_0(int,int)> r0.jjnewStateCnt = i29,r0 (QueryParserTokenManager.jjMoveNfa_0));true;-1;true;true;278;false;true;0;false
BackwardQuery: (<org.apache.lucene.search.FuzzyTermEnum: void <init>(org.apache.lucene.index.IndexReader,org.apache.lucene.index.Term,float,int)> r0.prefix = $r13,r0 (FuzzyTermEnum.<init>));BackwardQuery: (<org.apache.lucene.search.FuzzyTermEnum: boolean termCompare(org.apache.lucene.index.Term)> $r6 = r0.prefix,r0 (FuzzyTermEnum.termCompare));true;105;false;true;269;false;true;3;false
BackwardQuery: (<org.apache.lucene.search.BooleanClause: void setOccur(org.apache.lucene.search.BooleanClause$Occur)> r0.occur = r1,r0 (BooleanClause.setOccur));BackwardQuery: (<org.apache.lucene.search.BooleanClause: void <init>(org.apache.lucene.search.Query,org.apache.lucene.search.BooleanClause$Occur)> r0.occur = r2,r0 (BooleanClause.<init>));true;-1;true;true;-1;true;true;6;false
BackwardQuery: (<org.apache.lucene.search.PhrasePositions: boolean skipTo(int)> r0.doc = $i1,r0 (PhrasePositions.skipTo));BackwardQuery: (<org.apache.lucene.search.PhraseQueue: boolean lessThan(java.lang.Object,java.lang.Object)> $i2 = r4.doc,r4 (PhraseQueue.lessThan));true;-1;true;true;-1;true;true;11;false
BackwardQuery: (<org.apache.lucene.queryParser.FastCharStream: void <init>(java.io.Reader)> r0.bufferLength = varReplacer1334,r0 (FastCharStream.<init>));BackwardQuery: (<org.apache.lucene.queryParser.FastCharStream: void refill()> r0.bufferLength = $i6,r0 (FastCharStream.refill));true;-1;true;true;376;false;true;0;false
BackwardQuery: (<org.apache.lucene.search.PhraseScorer: boolean skipTo(int)> r1 = r1.next,r1 (PhraseScorer.skipTo));BackwardQuery: (<org.apache.lucene.search.PhraseScorer: void pqToList()> $r7.next = r1,$r7 (PhraseScorer.pqToList));true;-1;true;true;-1;true;true;8;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_0(int,int)> r0.jjmatchedPos = i28,r0 (QueryParserTokenManager.jjMoveNfa_0));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: org.apache.lucene.queryParser.Token getNextToken()> r0.jjmatchedPos = varReplacer2218,r0 (QueryParserTokenManager.getNextToken));true;-1;true;true;295;false;true;0;false
BackwardQuery: (<org.apache.lucene.search.FuzzyQuery: java.lang.String toString(java.lang.String)> $f0 = r0.minimumSimilarity,r0 (FuzzyQuery.toString));BackwardQuery: (<org.apache.lucene.search.FuzzyQuery: void <init>(org.apache.lucene.index.Term,float,int)> r0.minimumSimilarity = f0,r0 (FuzzyQuery.<init>));false;8;false;true;-1;true;true;9;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: void <init>(org.apache.lucene.queryParser.CharStream)> r0.token = $r10,r0 (QueryParser.<init>));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.queryParser.ParseException generateParseException()> $r7 = r0.token,r0 (QueryParser.generateParseException));true;-1;true;true;398;false;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_2(int,int)> r0.curChar = $c18,r0 (QueryParserTokenManager.jjMoveNfa_2));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> $c7 = r0.curChar,r0 (QueryParserTokenManager.jjMoveNfa_1));true;-1;true;true;291;false;true;0;false
BackwardQuery: (<org.apache.lucene.search.PhraseScorer: boolean skipTo(int)> r0.more = $z3,r0 (PhraseScorer.skipTo));BackwardQuery: (<org.apache.lucene.search.PhraseScorer: boolean doNext()> $z1 = r0.more,r0 (PhraseScorer.doNext));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> $r24 = r91.image,r91 (QueryParser.Term));BackwardQuery: (<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Term(java.lang.String)> r89.image = $r61,r89 (QueryParser.Term));true;-1;true;true;-1;true;true;255;false
BackwardQuery: (<org.apache.lucene.analysis.standard.ParseException: java.lang.String getMessage()> $r16 = r0.expectedTokenSequences,r0 (ParseException.getMessage));BackwardQuery: (<org.apache.lucene.analysis.standard.ParseException: void <init>(org.apache.lucene.analysis.standard.Token,int[][],java.lang.String[])> r0.expectedTokenSequences = r2,r0 (ParseException.<init>));false;1;false;true;-1;true;true;4;false
BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_1(int,int)> r0.curChar = $c18,r0 (QueryParserTokenManager.jjMoveNfa_1));BackwardQuery: (<org.apache.lucene.queryParser.QueryParserTokenManager: int jjMoveNfa_3(int,int)> $c73 = r0.curChar,r0 (QueryParserTokenManager.jjMoveNfa_3));true;-1;true;true;278;false;true;0;false
BackwardQuery: (<org.apache.lucene.analysis.standard.ParseException: java.lang.String getMessage()> $r14 = r0.eol,r0 (ParseException.getMessage));BackwardQuery: (<org.apache.lucene.analysis.standard.ParseException: void <init>()> r0.eol = $r1,r0 (ParseException.<init>));false;1;false;true;-1;true;true;2;false
BackwardQuery: (<org.apache.lucene.search.WildcardTermEnum: boolean endEnum()> $z0 = r0.endEnum,r0 (WildcardTermEnum.endEnum));BackwardQuery: (<org.apache.lucene.search.WildcardTermEnum: boolean termCompare(org.apache.lucene.index.Term)> r0.endEnum = varReplacer2479,r0 (WildcardTermEnum.termCompare));true;51;false;true;264;false;true;0;false
