QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = varReplacer1327,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r12 = r0._workQueue,r0 (XalanHarness.iterate));false;436;false;true;445;false;true;1;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workers = varReplacer1326,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void preIteration(java.lang.String)> $r5 = r0._workers,r0 (XalanHarness.preIteration));false;5;false;true;162;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r17 = r0._workQueue,r0 (XalanHarness.iterate));false;32;false;true;314;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r12 = r0._workQueue,r0 (XalanHarness.iterate));false;24;false;true;286;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r8 = r0._workQueue,r0 (XalanHarness.iterate));BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));false;180;false;true;283;false;true;18;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r18 = r0._workQueue,r0 (XalanHarness.iterate));false;6;false;true;210;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r8 = r0._workQueue,r0 (XalanHarness.iterate));BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = varReplacer1327,r0 (XalanHarness.<init>));false;120;false;true;320;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = varReplacer1327,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r22 = r0._workQueue,r0 (XalanHarness.iterate));false;2;false;true;228;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness$XalanWorker: void <init>(dacapo.xalan.XalanHarness,dacapo.xalan.XalanHarness$WorkQueue,int)> r0.this$0 = r1,r0 (XalanHarness$XalanWorker.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness$XalanWorker: void run()> $r16 = r0.this$0,r0 (XalanHarness$XalanWorker.run));false;705;false;true;213;false;true;17;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = varReplacer1327,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r17 = r0._workQueue,r0 (XalanHarness.iterate));false;2;false;true;345;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r20 = r0._workQueue,r0 (XalanHarness.iterate));false;3;false;true;202;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r18 = r0._workQueue,r0 (XalanHarness.iterate));BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = varReplacer1327,r0 (XalanHarness.<init>));false;55;false;true;231;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r15 = r0._workQueue,r0 (XalanHarness.iterate));false;3;false;true;287;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = varReplacer1327,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r14 = r0._workQueue,r0 (XalanHarness.iterate));false;2;false;true;229;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness$XalanWorker: void <init>(dacapo.xalan.XalanHarness,dacapo.xalan.XalanHarness$WorkQueue,int)> r0.this$0 = r1,r0 (XalanHarness$XalanWorker.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness$XalanWorker: void run()> $r8 = r0.this$0,r0 (XalanHarness$XalanWorker.run));true;923;false;true;212;false;true;2;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r9 = r0._workQueue,r0 (XalanHarness.iterate));BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));false;43;false;true;170;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r21 = r0._workQueue,r0 (XalanHarness.iterate));false;5;false;true;299;false;true;0;false
