benchmark;ideal;fink;fink_apmust;seeds;timeouts_fink;timeouts_finkapmust;timeouts_ideal;errors_fink;errors_finkapmust;errors_ideal;index
antlr;0.2;2.4;2.3;30;0;0;0;6;6;4;1
bloat;0.7;14.6;25.4;58;0;30;16;16;34;24;2
chart;0.2;13.8;14.9;32;0;8;0;6;14;4;3
eclipse;0.3;5.2;5.0;40;0;0;0;6;6;4;4
fop;0.2;4.4;8.9;28;0;0;0;6;6;4;5
luindex;0.1;5.2;4.2;24;0;0;0;6;6;4;6
lusearch;0.2;3.1;2.6;26;0;0;0;6;6;4;7
pmd;0.1;8.2;10.7;32;0;0;0;6;12;4;8
xalan;0.2;3.1;3.2;24;0;0;0;6;6;4;9
org;2.9;15.4;21.8;60;0;31;16;10;35;16;10
