benchmark;ideal;ideal_ap;seeds;timeouts_ideal_ap;timeouts_ideal;errors_ideal_ap;errors_ideal;methods_ideal_ap;methods_ideal;containsFieldLoop;maxAccessPath;total_ideal;total_ideal_ap;timeouts_fraction_ideal_ap;timeouts_fraction_ideal;max_memory_ideal_ap;max_memory_ideal;index
antlr;8.4;273.5;18;7;0;0;0;21;63.0;5;4;150;4,923;38.9;0.0;207;486;1
bloat;170.8;339.4;23;13;5;3;0;132;333.0;8;8;3,928;7,805;56.5;21.7;9214;2399;2
chart;7.8;189.7;19;6;0;2;0;22;108.0;5;4;148;3,603;31.6;0.0;237;461;3
eclipse;51.6;245.9;26;10;1;0;0;27;218.0;11;5;1,340;6,394;38.5;3.8;333;1588;4
fop;27.5;247.2;17;7;0;2;1;29;157.0;6;4;467;4,203;41.2;0.0;291;614;5
hsqldb;404.4;400.1;3;2;2;0;0;17;318.0;3;3;1,213;1,200;66.7;66.7;319;2241;6
jython;159.9;389.9;31;20;6;2;2;283;391.0;14;8;4,957;12,086;64.5;19.4;9362;2547;7
luindex;9.3;172.1;7;2;0;2;0;27;45.0;2;1;64;1,204;28.6;0.0;154;215;8
lusearch;9.0;200.9;16;5;0;2;0;27;98.0;5;5;143;3,213;31.3;0.0;240;482;9
pmd;25.7;196.7;19;5;0;2;1;25;131.0;4;4;489;3,737;26.3;0.0;373;1003;10
xalan;8.4;187.4;17;5;0;1;0;25;93.0;6;4;142;3,186;29.4;0.0;429;368;11
