benchmark;ideal;ideal_ap;seeds;timeouts_ideal_ap;timeouts_ideal;errors_ideal_ap;errors_ideal;methods_ideal_ap;methods_ideal;containsFieldLoop;maxAccessPath;total_ideal;total_ideal_ap;timeouts_fraction_ideal_ap;timeouts_fraction_ideal;max_memory_ideal_ap;max_memory_ideal;index
antlr;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;1
bloat;16.7;249.0;574;208;2;170;220;15;18;4;9;9605.7;142924.5;36.2;0.3;0.0;0.0;2
chart;0.3;314.3;42;22;0;12;12;4;5;0;4;11.2;13202.6;52.4;0.0;0.0;0.0;3
eclipse;0.5;132.1;10;2;0;8;10;6;7;0;8;5.2;1321.4;20.0;0.0;0.0;0.0;4
fop;0.5;0.4;8;0;0;8;8;4;5;0;1;3.6;3.3;0.0;0.0;0.0;0.0;5
hsqldb;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;6
jython;0.5;36.2;20;0;0;20;20;6;7;0;9;9.8;723.7;0.0;0.0;0.0;0.0;7
luindex;0.2;5.2;12;0;0;2;2;4;5;0;1;2.4;62.0;0.0;0.0;0.0;0.0;8
lusearch;0.3;185.9;22;6;0;4;4;4;5;0;10;6.5;4088.7;27.3;0.0;0.0;0.0;9
pmd;0.1;196.9;108;34;0;24;48;4;5;0;8;13.7;21262.3;31.5;0.0;0.0;0.0;10
xalan;3.0;31.2;4;0;0;4;4;4;5;0;7;12.1;124.8;0.0;0.0;0.0;0.0;11
